Datacode,Rectype,Recyear,Recmonth,Recday,Season,Transect,Watershed_name,Observation_number,Species,AOU_code,Common_name,Distance,Count,Sex,Status,Comments,Time,Duration,Observer
CBP01,1,1992,1,10,1992-1,1,N4D,1,TRES,ATSP,American Tree Sparrow,30,1,U,U,NA,Start=0955 CT: End=???? CT,30.39999962,J.L. Zimmerman
CBP01,1,1992,1,10,1992-1,1,N4D,2,GHOW,GHOW,Great Horned Owl,15,1,U,U,NA,NA,NA,NA
CBP01,1,1992,1,3,1992-1,2,N4B,1,DOWN,DOWO,Downy Woodpecker,60,1,U,U,NA,Start=1015 CT: End=1035 CT,20,J.L. Zimmerman
CBP01,1,1992,1,10,1992-1,3,4B,1,MARH,NOHA,Northern Harrier,20,1,U,U,NA,Start=0850 CT: End=0935 CT,45,J.L. Zimmerman
CBP01,1,1992,1,4,1992-1,14,20B,1,TRES,ATSP,American Tree Sparrow,15,1,U,U,NA,Start=0800 CT: End=0830 CT,30,J.L. Zimmerman
CBP01,1,1992,1,4,1992-1,14,20B,2,TRES,ATSP,American Tree Sparrow,12,1,U,U,NA,NA,NA,NA
CBP01,1,1992,1,4,1992-1,14,20B,3,TRES,ATSP,American Tree Sparrow,12,1,U,U,NA,NA,NA,NA
CBP01,1,1992,1,4,1992-1,14,20B,4,TRES,ATSP,American Tree Sparrow,16,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,1,EMDL,EAME,Eastern Meadowlark,12,1,U,U,NA,Start=0840 CT: End=0920 CT,40,J.L. Zimmerman
CBP01,1,1992,6,9,1992-3,1,N4D,2,BLVO,BEVI,Bell's Vireo,60,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,3,BHCB,BHCO,Brown-headed Cowbird,30,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,4,DICK,DICK,Dickcissel,12,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,5,BLVO,BEVI,Bell's Vireo,12,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,6,DICK,DICK,Dickcissel,75,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,7,BOBW,NOBO,Northern Bobwhite,30,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,8,EMDL,EAME,Eastern Meadowlark,90,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,9,DICK,DICK,Dickcissel,75,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,10,THRA,BRTH,Brown Thrasher,30,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,11,YTHR,COYE,Common Yellowthroat,45,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,12,DICK,DICK,Dickcissel,45,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,13,FLDS,FISP,Field Sparrow,18,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,14,MDOV,MODO,Mourning Dove,60,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,15,YTHR,COYE,Common Yellowthroat,30,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,16,BHCB,BHCO,Brown-headed Cowbird,60,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,17,EMDL,EAME,Eastern Meadowlark,25,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,18,CATB,GRCA,Gray Catbird,24,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,19,THRA,BRTH,Brown Thrasher,30,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,20,DICK,DICK,Dickcissel,12,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,21,BHCB,BHCO,Brown-headed Cowbird,12,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,22,THRA,BRTH,Brown Thrasher,30,1,U,U,NA,NA,NA,NA
CBP01,1,1992,6,9,1992-3,1,N4D,23,BLVO,BEVI,Bell's Vireo,15,1,U,U,NA,NA,NA,NA
