DATACODE,RECTYPE,Recyear,Recmonth,Recday,Watershed_name,Soil_type,Repsite,Spp_code,Species,Genus,Spp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Total,COMMENTS,Family,Suborder
CGR02,2,2002,7,23,N4D,fl,b,16,Melanoplus bivittatus,Melanoplus,bivittatus,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,N4D,fl,b,22,Mermiria picta,Mermiria,picta,NA,NA,1,NA,NA,NA,NA,1,NA,1,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,N4D,fl,b,29,Ageneotettix deorum,Ageneotettix,deorum,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,N4D,fl,b,4,Hypochlora alba,Hypochlora,alba,NA,NA,NA,NA,1,NA,NA,2,1,NA,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,N4D,fl,b,6,Hesperotettix speciosus,Hesperotettix,speciosus,NA,NA,NA,NA,NA,1,NA,5,8,2,16,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,N4D,fl,b,12,Melanoplus femurrubrum,Melanoplus,femurrubrum,NA,NA,NA,NA,NA,NA,1,3,NA,NA,4,NA,Acrididae,Caelifera
CGR02,2,2002,7,23,N4D,fl,b,10,Melanoplus scudderi,Melanoplus,scudderi,NA,NA,NA,NA,NA,NA,NA,2,NA,1,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,4,Hypochlora alba,Hypochlora,alba,1,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,7,Hesperotettix viridis,Hesperotettix,viridis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,9,Phoetaliotes nebrascensis,Phoetaliotes,nebrascensis,3,1,NA,1,NA,NA,NA,4,3,3,15,NA,Acrididae,Caelifera
CGR02,2,2002,7,24,N20B,fl,a,10,Melanoplus scudderi,Melanoplus,scudderi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Acrididae,Caelifera
