ROWID,Datacode,Rectype,Recyear,Season,Watershed_name,Line,Species,Count,Common_name
NA,CSM01,1,2013,SP,4B,E,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2013,SP,4B,E,Reithrodontomys_megalotis,2,Western harvest mouse
NA,CSM01,1,2013,SP,4B,E,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,4B,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,4B,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,4B,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,4B,E,Microtus_ochrogaster,4,Prairie vole
NA,CSM01,1,2013,SP,4B,E,Peromyscus_leucopus,5,White-footed mouse
NA,CSM01,1,2013,SP,4B,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,4B,E,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,4B,E,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,4B,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,4B,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,4B,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,4B,W,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2013,SP,4B,W,Reithrodontomys_megalotis,2,Western harvest mouse
NA,CSM01,1,2013,SP,4B,W,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,4B,W,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,4B,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,4B,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,4B,W,Microtus_ochrogaster,1,Prairie vole
NA,CSM01,1,2013,SP,4B,W,Peromyscus_leucopus,10,White-footed mouse
NA,CSM01,1,2013,SP,4B,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,4B,W,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,4B,W,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,4B,W,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,4B,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,4B,W,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,1D,E,Peromyscus_maniculatus,5,Deer mouse
NA,CSM01,1,2013,SP,1D,E,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2013,SP,1D,E,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,1D,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,1D,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,1D,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,1D,E,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2013,SP,1D,E,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2013,SP,1D,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,1D,E,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,1D,E,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,1D,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,1D,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,1D,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,1D,W,Peromyscus_maniculatus,10,Deer mouse
NA,CSM01,1,2013,SP,1D,W,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2013,SP,1D,W,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,1D,W,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,1D,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,1D,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,1D,W,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2013,SP,1D,W,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2013,SP,1D,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,1D,W,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,1D,W,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,1D,W,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,1D,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,1D,W,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,20B,E,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2013,SP,20B,E,Reithrodontomys_megalotis,5,Western harvest mouse
NA,CSM01,1,2013,SP,20B,E,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,20B,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,20B,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,20B,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,20B,E,Microtus_ochrogaster,2,Prairie vole
NA,CSM01,1,2013,SP,20B,E,Peromyscus_leucopus,13,White-footed mouse
NA,CSM01,1,2013,SP,20B,E,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,20B,E,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,20B,E,Neotoma_floridana,1,Eastern woodrat
NA,CSM01,1,2013,SP,20B,E,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,20B,E,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,20B,E,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,20B,W,Peromyscus_maniculatus,0,Deer mouse
NA,CSM01,1,2013,SP,20B,W,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2013,SP,20B,W,Sigmodon_hispidus,2,Hispid cotton rat
NA,CSM01,1,2013,SP,20B,W,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,20B,W,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,20B,W,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,20B,W,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2013,SP,20B,W,Peromyscus_leucopus,52,White-footed mouse
NA,CSM01,1,2013,SP,20B,W,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,20B,W,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,20B,W,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,20B,W,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,20B,W,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,20B,W,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,N20B,N,Peromyscus_maniculatus,10,Deer mouse
NA,CSM01,1,2013,SP,N20B,N,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2013,SP,N20B,N,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,N20B,N,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,N20B,N,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,N20B,N,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,N20B,N,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2013,SP,N20B,N,Peromyscus_leucopus,1,White-footed mouse
NA,CSM01,1,2013,SP,N20B,N,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,N20B,N,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,N20B,N,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,N20B,N,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,N20B,N,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,N20B,N,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,N20B,S,Peromyscus_maniculatus,5,Deer mouse
NA,CSM01,1,2013,SP,N20B,S,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2013,SP,N20B,S,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,N20B,S,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,N20B,S,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,N20B,S,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
NA,CSM01,1,2013,SP,N20B,S,Microtus_ochrogaster,0,Prairie vole
NA,CSM01,1,2013,SP,N20B,S,Peromyscus_leucopus,0,White-footed mouse
NA,CSM01,1,2013,SP,N20B,S,Chaetodipus_hispidus,0,Hispid pocket mouse
NA,CSM01,1,2013,SP,N20B,S,Mus_musculus,0,House mouse
NA,CSM01,1,2013,SP,N20B,S,Neotoma_floridana,0,Eastern woodrat
NA,CSM01,1,2013,SP,N20B,S,Synaptomys_cooperi,0,Southern bog lemming
NA,CSM01,1,2013,SP,N20B,S,Zapus_hudsonius,0,Meadow jumping mouse
NA,CSM01,1,2013,SP,N20B,S,Cryptotis_parva,0,North American least shrew
NA,CSM01,1,2013,SP,N1B,E,Peromyscus_maniculatus,8,Deer mouse
NA,CSM01,1,2013,SP,N1B,E,Reithrodontomys_megalotis,0,Western harvest mouse
NA,CSM01,1,2013,SP,N1B,E,Sigmodon_hispidus,0,Hispid cotton rat
NA,CSM01,1,2013,SP,N1B,E,Blarina_hylophaga,0,Elliot's short-tailed shrew
NA,CSM01,1,2013,SP,N1B,E,Reithrodontomys_montanus,0,Plains harvest mouse
NA,CSM01,1,2013,SP,N1B,E,Spermophilus_tridecemlineatus,0,Thirteen-lined ground squirrel
