Recyear,Species.watershed,Watershed_name,Species,Common_name,Count
1992,Blarina_hylophaga.1D,1D,Blarina_hylophaga,Elliot's short-tailed shrew,12
1992,Chaetodipus_hispidus.1D,1D,Chaetodipus_hispidus,Hispid pocket mouse,0
1992,Cryptotis_parva.1D,1D,Cryptotis_parva,North American least shrew,1
1992,Microtus_ochrogaster.1D,1D,Microtus_ochrogaster,Prairie vole,0
1992,Mus_musculus.1D,1D,Mus_musculus,House mouse,0
1992,Neotoma_floridana.1D,1D,Neotoma_floridana,Eastern woodrat,0
1992,Peromyscus_leucopus.1D,1D,Peromyscus_leucopus,White-footed mouse,0
1992,Peromyscus_maniculatus.1D,1D,Peromyscus_maniculatus,Deer mouse,9
1992,Reithrodontomys_megalotis.1D,1D,Reithrodontomys_megalotis,Western harvest mouse,1
1992,Reithrodontomys_montanus.1D,1D,Reithrodontomys_montanus,Plains harvest mouse,0
1992,Sigmodon_hispidus.1D,1D,Sigmodon_hispidus,Hispid cotton rat,1
1992,Spermophilus_tridecemlineatus.1D,1D,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,0
1992,Synaptomys_cooperi.1D,1D,Synaptomys_cooperi,Southern bog lemming,0
1992,Zapus_hudsonius.1D,1D,Zapus_hudsonius,Meadow jumping mouse,0
1992,Blarina_hylophaga.20B,20B,Blarina_hylophaga,Elliot's short-tailed shrew,2
1992,Chaetodipus_hispidus.20B,20B,Chaetodipus_hispidus,Hispid pocket mouse,0
1992,Cryptotis_parva.20B,20B,Cryptotis_parva,North American least shrew,0
1992,Microtus_ochrogaster.20B,20B,Microtus_ochrogaster,Prairie vole,1
1992,Mus_musculus.20B,20B,Mus_musculus,House mouse,0
1992,Neotoma_floridana.20B,20B,Neotoma_floridana,Eastern woodrat,0
1992,Peromyscus_leucopus.20B,20B,Peromyscus_leucopus,White-footed mouse,36
1992,Peromyscus_maniculatus.20B,20B,Peromyscus_maniculatus,Deer mouse,19
1992,Reithrodontomys_megalotis.20B,20B,Reithrodontomys_megalotis,Western harvest mouse,0
1992,Reithrodontomys_montanus.20B,20B,Reithrodontomys_montanus,Plains harvest mouse,0
1992,Sigmodon_hispidus.20B,20B,Sigmodon_hispidus,Hispid cotton rat,10
1992,Spermophilus_tridecemlineatus.20B,20B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,2
1992,Synaptomys_cooperi.20B,20B,Synaptomys_cooperi,Southern bog lemming,0
1992,Zapus_hudsonius.20B,20B,Zapus_hudsonius,Meadow jumping mouse,0
1992,Blarina_hylophaga.4B,4B,Blarina_hylophaga,Elliot's short-tailed shrew,5
1992,Chaetodipus_hispidus.4B,4B,Chaetodipus_hispidus,Hispid pocket mouse,0
1992,Cryptotis_parva.4B,4B,Cryptotis_parva,North American least shrew,0
1992,Microtus_ochrogaster.4B,4B,Microtus_ochrogaster,Prairie vole,0
1992,Mus_musculus.4B,4B,Mus_musculus,House mouse,0
1992,Neotoma_floridana.4B,4B,Neotoma_floridana,Eastern woodrat,1
1992,Peromyscus_leucopus.4B,4B,Peromyscus_leucopus,White-footed mouse,2
1992,Peromyscus_maniculatus.4B,4B,Peromyscus_maniculatus,Deer mouse,24
1992,Reithrodontomys_megalotis.4B,4B,Reithrodontomys_megalotis,Western harvest mouse,1
1992,Reithrodontomys_montanus.4B,4B,Reithrodontomys_montanus,Plains harvest mouse,0
1992,Sigmodon_hispidus.4B,4B,Sigmodon_hispidus,Hispid cotton rat,3
1992,Spermophilus_tridecemlineatus.4B,4B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,7
1992,Synaptomys_cooperi.4B,4B,Synaptomys_cooperi,Southern bog lemming,0
1992,Zapus_hudsonius.4B,4B,Zapus_hudsonius,Meadow jumping mouse,0
1992,Blarina_hylophaga.N1B,N1B,Blarina_hylophaga,Elliot's short-tailed shrew,1
1992,Chaetodipus_hispidus.N1B,N1B,Chaetodipus_hispidus,Hispid pocket mouse,0
1992,Cryptotis_parva.N1B,N1B,Cryptotis_parva,North American least shrew,0
1992,Microtus_ochrogaster.N1B,N1B,Microtus_ochrogaster,Prairie vole,1
1992,Mus_musculus.N1B,N1B,Mus_musculus,House mouse,1
1992,Neotoma_floridana.N1B,N1B,Neotoma_floridana,Eastern woodrat,0
1992,Peromyscus_leucopus.N1B,N1B,Peromyscus_leucopus,White-footed mouse,12
1992,Peromyscus_maniculatus.N1B,N1B,Peromyscus_maniculatus,Deer mouse,32
1992,Reithrodontomys_megalotis.N1B,N1B,Reithrodontomys_megalotis,Western harvest mouse,0
1992,Reithrodontomys_montanus.N1B,N1B,Reithrodontomys_montanus,Plains harvest mouse,0
1992,Sigmodon_hispidus.N1B,N1B,Sigmodon_hispidus,Hispid cotton rat,0
1992,Spermophilus_tridecemlineatus.N1B,N1B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,0
1992,Synaptomys_cooperi.N1B,N1B,Synaptomys_cooperi,Southern bog lemming,0
1992,Zapus_hudsonius.N1B,N1B,Zapus_hudsonius,Meadow jumping mouse,0
1992,Blarina_hylophaga.N20B,N20B,Blarina_hylophaga,Elliot's short-tailed shrew,0
1992,Chaetodipus_hispidus.N20B,N20B,Chaetodipus_hispidus,Hispid pocket mouse,0
1992,Cryptotis_parva.N20B,N20B,Cryptotis_parva,North American least shrew,0
1992,Microtus_ochrogaster.N20B,N20B,Microtus_ochrogaster,Prairie vole,0
1992,Mus_musculus.N20B,N20B,Mus_musculus,House mouse,0
1992,Neotoma_floridana.N20B,N20B,Neotoma_floridana,Eastern woodrat,0
1992,Peromyscus_leucopus.N20B,N20B,Peromyscus_leucopus,White-footed mouse,0
1992,Peromyscus_maniculatus.N20B,N20B,Peromyscus_maniculatus,Deer mouse,14
1992,Reithrodontomys_megalotis.N20B,N20B,Reithrodontomys_megalotis,Western harvest mouse,0
1992,Reithrodontomys_montanus.N20B,N20B,Reithrodontomys_montanus,Plains harvest mouse,0
1992,Sigmodon_hispidus.N20B,N20B,Sigmodon_hispidus,Hispid cotton rat,0
1992,Spermophilus_tridecemlineatus.N20B,N20B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,1
1992,Synaptomys_cooperi.N20B,N20B,Synaptomys_cooperi,Southern bog lemming,0
1992,Zapus_hudsonius.N20B,N20B,Zapus_hudsonius,Meadow jumping mouse,0
1992,Blarina_hylophaga.N4D,N4D,Blarina_hylophaga,Elliot's short-tailed shrew,1
1992,Chaetodipus_hispidus.N4D,N4D,Chaetodipus_hispidus,Hispid pocket mouse,0
1992,Cryptotis_parva.N4D,N4D,Cryptotis_parva,North American least shrew,0
1992,Microtus_ochrogaster.N4D,N4D,Microtus_ochrogaster,Prairie vole,0
1992,Mus_musculus.N4D,N4D,Mus_musculus,House mouse,0
1992,Neotoma_floridana.N4D,N4D,Neotoma_floridana,Eastern woodrat,0
