"","species.watershed","Watershed_name","AOU_code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"1","BHCO.1D","1D","BHCO",6,5,10,4,8,11,4,5,8,3,11,8,8,7,11,9,17,26
"2","BRTH.1D","1D","BRTH",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"3","COYE.1D","1D","COYE",1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,1,1,0
"4","DICK.1D","1D","DICK",15,11,14,2,15,13,7,2,10,11,12,22,25,19,34,14,21,33
"5","EAKI.1D","1D","EAKI",1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"6","EAME.1D","1D","EAME",13,13,9,9,9,12,9,12,9,3,11,12,16,11,9,8,10,8
"7","GRSP.1D","1D","GRSP",2,1,4,1,2,4,4,5,6,4,5,11,4,8,4,6,6,4
"8","NOBO.1D","1D","NOBO",1,3,4,0,2,2,1,1,2,0,0,0,1,0,1,1,1,0
"9","RNEP.1D","1D","RNEP",1,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"10","RWBL.1D","1D","RWBL",7,7,8,6,6,12,10,2,4,10,5,7,11,18,11,5,17,10
"11","AMRO.20B","20B","AMRO",2,1,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0
"12","ATSP.20B","20B","ATSP",4,0,0,0,0,0,0,3,0,0,0,1,0,1,0,24,1,0
"13","BAOR.20B","20B","BAOR",1,0,1,0,1,2,0,0,0,1,1,0,2,3,0,1,4,1
"14","BEVI.20B","20B","BEVI",1,0,2,1,4,3,4,5,4,7,3,9,7,8,9,5,8,9
"15","BHCO.20B","20B","BHCO",12,6,4,8,1,3,8,1,4,7,4,11,11,13,14,9,18,18
"16","BRTH.20B","20B","BRTH",3,0,2,1,7,2,1,2,1,3,3,5,2,8,1,2,3,1
"17","COYE.20B","20B","COYE",1,1,1,2,2,1,2,2,3,2,0,5,6,2,4,2,4,4
"18","DICK.20B","20B","DICK",11,1,4,1,6,1,7,7,6,5,5,8,23,12,8,8,3,7
"19","EAKI.20B","20B","EAKI",2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"20","EAME.20B","20B","EAME",7,3,3,7,8,3,6,7,6,1,2,1,7,1,1,1,1,2
"21","GRSP.20B","20B","GRSP",2,1,0,0,1,1,3,0,3,0,0,1,2,0,3,0,1,0
"22","MODO.20B","20B","MODO",2,1,3,1,0,0,3,2,2,0,1,2,0,2,6,2,5,8
"23","NOBO.20B","20B","NOBO",4,1,0,3,1,0,3,0,0,0,1,2,4,1,0,0,0,0
