"","Species","Watershed_name","slope","p_value","rsquared"
"1","ACFL","20B",0.0103199174406605,0.644202624667714,0.0136587142596977
"2","AMCR","1D",0.0185758513931889,0.402102057877883,0.0442542342014205
"3","AMCR","20B",-0.0113519091847265,0.64157978876834,0.0138745556702213
"4","AMCR","4A",0.0175438596491228,0.102494766923601,0.157894736842105
"5","AMCR","4B",0.00309597523219813,0.969189988496182,9.61925561212304e-05
"6","AMCR","N1B",-0.0144478844169247,0.516510120841883,0.0267710799490075
"7","AMCR","N20B",-0.0268317853457173,0.807309968551713,0.00382843766518161
"8","AMCR","N4B",-0.0464396284829721,0.460495686515385,0.0345101826341353
"9","AMCR","N4D",-0.0773993808049536,0.282824537264518,0.07166609333792
"10","AMGO","1D",0.0402476780185759,0.0846287278434127,0.174406604747162
"11","AMGO","20B",0.292053663570691,0.000802100225153585,0.514782478279966
"12","AMGO","4A",0.00412796697626416,0.943070726463737,0.000328776130852897
"13","AMGO","4B",0.00309597523219813,0.949007956455626,0.00026369505132287
"14","AMGO","N1B",0.0567595459236326,0.146397077299228,0.127131109647955
"15","AMGO","N20B",0.293085655314757,0.0202061933134477,0.293545037219639
"16","AMGO","N4B",-0.00619195046439632,0.948269236979863,0.00027140042619919
"17","AMGO","N4D",0.0773993808049536,0.426004779432854,0.0400341624853208
"18","AMRO","1D",-0.0154798761609907,0.153728944850024,0.122928428337279
"19","AMRO","20B",0.0350877192982456,0.701153899886591,0.00945144551519644
"20","AMRO","4A",0.134158926728586,0.220245253705631,0.0923329083955564
"21","AMRO","4B",0.29514963880289,0.218591725019699,0.0929656351295445
"22","AMRO","N1B",0.59545923632611,0.215514441223169,0.0941572977144876
"23","AMRO","N20B",0.065015479876161,0.148653608403076,0.12581493887298
"24","AMRO","N4B",0.065015479876161,0.402102057877883,0.0442542342014205
"25","AMRO","N4D",0.324045407636739,0.234607857104652,0.0870486998081201
"26","ATSP","1D",0.0392156862745098,0.867259505362598,0.00179975371791228
"27","ATSP","20B",0.272445820433437,0.301068648171372,0.0666252850298317
"28","ATSP","4A",0.0825593395252838,0.509026056301846,0.0277251513331177
"29","ATSP","4B",0.0474716202270382,0.793821253492236,0.00439473407289665
"30","ATSP","N1B",0.484004127966976,0.0820381395619307,0.177080820330121
"31","ATSP","N20B",0.328173374613003,0.0361459054037991,0.246388299617633
"32","ATSP","N4B",0.622291021671827,0.0283526153892823,0.266317591247772
"33","ATSP","N4D",-0.037151702786378,0.831877502080563,0.00290191699681445
"34","BAOR","20B",0.0846233230134159,0.102717790514134,0.157707101979548
"35","BAOR","4A",-0.0154798761609907,0.153728944850024,0.122928428337279
"36","BAOR","4B",-0.00515995872033024,0.776987107786797,0.00515995872033024
"37","BAOR","N20B",-0.0567595459236326,0.0972763003174091,0.162404481110972
"38","BAOR","N4B",0.00515995872033024,0.644202624667714,0.0136587142596977
"39","BAOR","N4D",-0.0175438596491228,0.102494766923601,0.157894736842105
"40","BARS","1D",0.0546955624355005,0.0839502189770141,0.175099216655931
"41","BARS","4A",0.0763673890608875,0.0455855549450808,0.227056612118532
"42","BARS","4B",0.0629514963880289,0.062940939338414,0.199770933624439
"43","BARS","N1B",0.00515995872033024,0.644202624667714,0.0136587142596977
"44","BARS","N20B",-0.00309597523219814,0.782175108752155,0.00491713713349117
"45","BCCH","20B",0.0350877192982456,0.305451733528933,0.0654685494223363
"46","BCCH","N20B",0.106295149638803,0.0241986205776292,0.279137687578386
"47","BCCH","N4B",0.0577915376676987,0.0692425159245992,0.19162457226658
"48","BCCH","N4D",0.0794633642930856,0.117537061715196,0.146069261154134
"49","BEVI","20B",0.484004127966976,3.19160190154565e-06,0.751925441350242
"50","BEVI","4A",0.156862745098039,0.0004480035098541,0.547418967587035
"51","BEVI","4B",0.0185758513931888,0.779338194490008,0.00504914081492718
"52","BEVI","N1B",0.0464396284829722,0.0991566115895496,0.160752560133365
"53","BEVI","N20B",1.04747162022704,0.000273370017731616,0.573488357852802
"54","BEVI","N4B",0.0423116615067079,0.588924762636592,0.0186535281911293
"55","BEVI","N4D",0.203302373581011,0.0432270504290045,0.231506171072019
"56","BEWR","N20B",-0.00309597523219814,0.782175108752155,0.00491713713349117
"57","BEWR","N4D",0.0154798761609907,0.153728944850024,0.122928428337279
"58","BGGN","N20B",0.0773993808049536,0.0250269693378161,0.276426360017691
"59","BGGN","N4D",0.214654282765738,0.00126714037344989,0.487661186089152
"60","BHCO","1D",0.60577915376677,0.00908293623568772,0.354921955123638
"61","BHCO","20B",0.623323013415893,0.00472789139544973,0.401848185594022
"62","BHCO","4A",-0.0546955624355006,0.698881280964369,0.00960242299658952
"63","BHCO","4B",-0.0443756449948403,0.884824938487962,0.00135212775474397
"64","BHCO","N1B",0.513931888544892,0.00371144323253563,0.418503401972784
"65","BHCO","N20B",0.48297213622291,0.207678011706086,0.0972780526860606
"66","BHCO","N4B",0.13312693498452,0.477704971297227,0.0319802134320356
"67","BHCO","N4D",0.713106295149639,0.00974121895354732,0.34972068839489
"68","BLGR","20B",0.0485036119711043,0.0332425271981534,0.253296640293544
