"","baseline.Watershed1","baseline.Year1","baseline.Watershed2","baseline.Year2","baseline.jaccard_diss","baseline.bray_diss"
"1","1D",1992,"1D",1992,0,0
"2","1D",1992,"1D",1993,0.4,0.193627450980392
"3","1D",1992,"1D",1994,0.5,0.2625
"4","1D",1992,"1D",1995,0.538461538461538,0.3375
"5","1D",1992,"1D",1996,0.454545454545455,0.159090909090909
"6","1D",1992,"1D",1997,0.272727272727273,0.226478494623656
"7","1D",1992,"1D",1998,0.461538461538462,0.283028455284553
"8","1D",1992,"1D",1999,0.6,0.424019607843137
"9","1D",1992,"1D",2000,0.333333333333333,0.270833333333333
"10","1D",1992,"1D",2001,0.583333333333333,0.323529411764706
"11","1D",1992,"1D",2002,0.538461538461538,0.423611111111111
"12","1D",1992,"1D",2003,0.642857142857143,0.236742424242424
"13","1D",1992,"1D",2004,0.5,0.126865671641791
"14","1D",1992,"1D",2005,0.6,0.305833333333333
"15","1D",1992,"1D",2006,0.6,0.251602564102564
"16","1D",1992,"1D",2007,0.384615384615385,0.2325
"17","1D",1992,"1D",2008,0.461538461538462,0.258928571428571
"18","1D",1992,"1D",2009,0.642857142857143,0.313936781609195
"19","20B",1992,"20B",1992,0,0
"20","20B",1992,"20B",1993,0.470588235294118,0.413043478260869
"21","20B",1992,"20B",1994,0.652173913043478,0.485185185185185
"22","20B",1992,"20B",1995,0.526315789473684,0.408004778972521
"23","20B",1992,"20B",1996,0.4,0.486312399355878
"24","20B",1992,"20B",1997,0.6,0.548309178743961
"25","20B",1992,"20B",1998,0.571428571428572,0.34621578099839
"26","20B",1992,"20B",1999,0.636363636363636,0.465811965811966
"27","20B",1992,"20B",2000,0.55,0.465740740740741
"28","20B",1992,"20B",2001,0.631578947368421,0.555555555555556
"29","20B",1992,"20B",2002,0.666666666666667,0.535978835978836
"30","20B",1992,"20B",2003,0.473684210526316,0.408831908831909
"31","20B",1992,"20B",2004,0.666666666666667,0.431216931216931
"32","20B",1992,"20B",2005,0.5,0.515394912985274
"33","20B",1992,"20B",2006,0.565217391304348,0.522904483430799
"34","20B",1992,"20B",2007,0.56,0.546046046046046
"35","20B",1992,"20B",2008,0.583333333333333,0.563563563563564
"36","20B",1992,"20B",2009,0.62962962962963,0.535185185185185
"37","4A",1992,"4A",1992,0,0
"38","4A",1992,"4A",1993,0.6,0.444444444444444
"39","4A",1992,"4A",1994,0.571428571428572,0.467836257309942
"40","4A",1992,"4A",1995,0.615384615384615,0.388888888888889
"41","4A",1992,"4A",1996,0.5,0.396825396825397
"42","4A",1992,"4A",1997,0.5,0.467432950191571
"43","4A",1992,"4A",1998,0.545454545454545,0.523809523809524
"44","4A",1992,"4A",1999,0.571428571428572,0.713675213675214
"45","4A",1992,"4A",2000,0.5,0.505050505050505
"46","4A",1992,"4A",2001,0.571428571428572,0.490196078431373
"47","4A",1992,"4A",2002,0.857142857142857,0.75
"48","4A",1992,"4A",2003,0.5625,0.571895424836601
"49","4A",1992,"4A",2004,0.705882352941176,0.480392156862745
"50","4A",1992,"4A",2005,0.625,0.456456456456456
"51","4A",1992,"4A",2006,0.785714285714286,0.711111111111111
"52","4A",1992,"4A",2007,0.6,0.581196581196581
"53","4A",1992,"4A",2008,0.625,0.504444444444444
"54","4A",1992,"4A",2009,0.705882352941176,0.525252525252525
"55","4B",1992,"4B",1992,0,0
"56","4B",1992,"4B",1993,0.45,0.280473912052859
"57","4B",1992,"4B",1994,0.388888888888889,0.267471958584987
"58","4B",1992,"4B",1995,0.4375,0.276315789473684
"59","4B",1992,"4B",1996,0.294117647058824,0.220760233918129
"60","4B",1992,"4B",1997,0.444444444444444,0.296594427244582
"61","4B",1992,"4B",1998,0.666666666666667,0.330634278002699
"62","4B",1992,"4B",1999,0.523809523809524,0.421710526315789
"63","4B",1992,"4B",2000,0.526315789473684,0.363955342902711
"64","4B",1992,"4B",2001,0.588235294117647,0.370065789473684
"65","4B",1992,"4B",2002,0.6,0.346416889681832
"66","4B",1992,"4B",2003,0.631578947368421,0.489878542510122
"67","4B",1992,"4B",2004,0.521739130434783,0.213815789473684
"68","4B",1992,"4B",2005,0.708333333333333,0.48127782141922
"69","4B",1992,"4B",2006,0.473684210526316,0.336032388663968
"70","4B",1992,"4B",2007,0.565217391304348,0.369783682507239
"71","4B",1992,"4B",2008,0.470588235294118,0.331607707794075
"72","4B",1992,"4B",2009,0.631578947368421,0.3582995951417
"73","N1B",1992,"N1B",1992,0,0
"74","N1B",1992,"N1B",1993,0.363636363636364,0.348484848484848
"75","N1B",1992,"N1B",1994,0.538461538461538,0.5
"76","N1B",1992,"N1B",1995,1,1
"77","N1B",1992,"N1B",1996,0.538461538461538,0.575757575757576
"78","N1B",1992,"N1B",1997,0.384615384615385,0.472332015810277
"79","N1B",1992,"N1B",1998,0.461538461538462,0.476430976430976
"80","N1B",1992,"N1B",1999,0.3,0.327751196172249
"81","N1B",1992,"N1B",2000,0.363636363636364,0.431818181818182
"82","N1B",1992,"N1B",2001,0.642857142857143,0.549090909090909
"83","N1B",1992,"N1B",2002,0.5,0.564171122994652
"84","N1B",1992,"N1B",2003,0.647058823529412,0.570707070707071
"85","N1B",1992,"N1B",2004,0.5,0.567340067340067
"86","N1B",1992,"N1B",2005,0.714285714285714,0.653198653198653
"87","N1B",1992,"N1B",2006,0.692307692307692,0.655844155844156
"88","N1B",1992,"N1B",2007,0.588235294117647,0.704545454545455
"89","N1B",1992,"N1B",2008,0.5,0.555555555555556
"90","N1B",1992,"N1B",2009,0.461538461538462,0.633939393939394
"91","N20B",1992,"N20B",1992,0,0
"92","N20B",1992,"N20B",1993,0.5,0.326923076923077
"93","N20B",1992,"N20B",1994,0.363636363636364,0.21734693877551
"94","N20B",1992,"N20B",1995,0.526315789473684,0.483333333333333
"95","N20B",1992,"N20B",1996,0.476190476190476,0.395094936708861
"96","N20B",1992,"N20B",1997,0.4,0.321173469387755
"97","N20B",1992,"N20B",1998,0.565217391304348,0.348275862068965
"98","N20B",1992,"N20B",1999,0.678571428571428,0.553296703296703
"99","N20B",1992,"N20B",2000,0.6,0.371268656716418
"100","N20B",1992,"N20B",2001,0.64,0.415589887640449
"101","N20B",1992,"N20B",2002,0.62962962962963,0.505042016806723
"102","N20B",1992,"N20B",2003,0.583333333333333,0.447122302158273
"103","N20B",1992,"N20B",2004,0.62962962962963,0.418791390728477
"104","N20B",1992,"N20B",2005,0.67741935483871,0.505812101910828
"105","N20B",1992,"N20B",2006,0.62962962962963,0.456521739130435
"106","N20B",1992,"N20B",2007,0.7,0.5140625
"107","N20B",1992,"N20B",2008,0.62962962962963,0.499537037037037
"108","N20B",1992,"N20B",2009,0.521739130434783,0.396875
"109","N4B",1992,"N4B",1992,0,0
"110","N4B",1992,"N4B",1993,0.545454545454545,0.677187948350072
"111","N4B",1992,"N4B",1994,0.5,0.398373983739838
"112","N4B",1992,"N4B",1995,0.6,0.639372822299652
"113","N4B",1992,"N4B",1996,0.444444444444444,0.411924119241193
"114","N4B",1992,"N4B",1997,0.444444444444444,0.478791092258749
"115","N4B",1992,"N4B",1998,0.5,0.309146341463415
"116","N4B",1992,"N4B",1999,0.6,0.624140087554722
"117","N4B",1992,"N4B",2000,0.619047619047619,0.494773519163763
"118","N4B",1992,"N4B",2001,0.666666666666667,0.62059620596206
"119","N4B",1992,"N4B",2002,0.72,0.462543554006969
"120","N4B",1992,"N4B",2003,0.565217391304348,0.392911585365854
"121","N4B",1992,"N4B",2004,0.571428571428572,0.43075651095494
"122","N4B",1992,"N4B",2005,0.636363636363636,0.675224646983312
"123","N4B",1992,"N4B",2006,0.526315789473684,0.530166880616175
"124","N4B",1992,"N4B",2007,0.583333333333333,0.665290806754221
"125","N4B",1992,"N4B",2008,0.545454545454545,0.613396432471788
"126","N4B",1992,"N4B",2009,0.545454545454545,0.571909167367536
"127","N4D",1992,"N4D",1992,0,0
"128","N4D",1992,"N4D",1993,0.461538461538462,0.442460317460318
"129","N4D",1992,"N4D",1994,0.538461538461538,0.281362007168459
"130","N4D",1992,"N4D",1995,0.434782608695652,0.328703703703704
"131","N4D",1992,"N4D",1996,0.409090909090909,0.351190476190476
"132","N4D",1992,"N4D",1997,0.428571428571429,0.308333333333333
"133","N4D",1992,"N4D",1998,0.52,0.411786786786787
"134","N4D",1992,"N4D",1999,0.52,0.366269841269841
"135","N4D",1992,"N4D",2000,0.478260869565217,0.286904761904762
"136","N4D",1992,"N4D",2001,0.6,0.430555555555556
"137","N4D",1992,"N4D",2002,0.454545454545455,0.392290249433107
"138","N4D",1992,"N4D",2003,0.5,0.345588235294118
"139","N4D",1992,"N4D",2004,0.391304347826087,0.384485094850949
"140","N4D",1992,"N4D",2005,0.576923076923077,0.444444444444445
"141","N4D",1992,"N4D",2006,0.59375,0.48202614379085
"142","N4D",1992,"N4D",2007,0.6,0.486997635933806
"143","N4D",1992,"N4D",2008,0.607142857142857,0.454248366013072
"144","N4D",1992,"N4D",2009,0.575757575757576,0.437118437118437
