"","Watershed_name","Recyear","Richness"
"1","1D",1992,10
"2","1D",1993,14
"3","1D",1994,14
"4","1D",1995,9
"5","1D",1996,7
"6","1D",1997,9
"7","1D",1998,10
"8","1D",1999,11
"9","1D",2000,10
"10","1D",2001,7
"11","1D",2002,9
"12","1D",2003,9
"13","1D",2004,8
"14","1D",2005,11
"15","1D",2006,11
"16","1D",2007,11
"17","1D",2008,10
"18","1D",2009,9
"19","20B",1992,15
"20","20B",1993,11
"21","20B",1994,16
"22","20B",1995,13
"23","20B",1996,17
"24","20B",1997,13
"25","20B",1998,15
"26","20B",1999,15
"27","20B",2000,14
"28","20B",2001,11
"29","20B",2002,17
"30","20B",2003,14
"31","20B",2004,21
"32","20B",2005,18
"33","20B",2006,18
"34","20B",2007,21
"35","20B",2008,19
"36","20B",2009,22
"37","4A",1992,9
"38","4A",1993,12
"39","4A",1994,11
"40","4A",1995,9
"41","4A",1996,9
"42","4A",1997,12
"43","4A",1998,7
"44","4A",1999,11
"45","4A",2000,12
"46","4A",2001,11
"47","4A",2002,7
"48","4A",2003,14
"49","4A",2004,13
"50","4A",2005,13
"51","4A",2006,8
"52","4A",2007,12
"53","4A",2008,13
"54","4A",2009,13
"55","4B",1992,13
"56","4B",1993,18
"57","4B",1994,16
"58","4B",1995,12
"59","4B",1996,16
"60","4B",1997,15
"61","4B",1998,15
"62","4B",1999,18
"63","4B",2000,15
"64","4B",2001,11
"65","4B",2002,15
"66","4B",2003,13
"67","4B",2004,21
"68","4B",2005,18
"69","4B",2006,16
"70","4B",2007,20
"71","4B",2008,13
"72","4B",2009,13
"73","N1B",1992,9
"74","N1B",1993,9
"75","N1B",1994,10
"76","N1B",1995,1
"77","N1B",1996,10
"78","N1B",1997,12
"79","N1B",1998,11
"80","N1B",1999,8
"81","N1B",2000,9
"82","N1B",2001,10
"83","N1B",2002,6
"84","N1B",2003,14
"85","N1B",2004,9
"86","N1B",2005,9
"87","N1B",2006,8
"88","N1B",2007,15
"89","N1B",2008,12
"90","N1B",2009,11
"91","N20B",1992,15
"92","N20B",1993,18
"93","N20B",1994,21
"94","N20B",1995,13
"95","N20B",1996,17
"96","N20B",1997,17
"97","N20B",1998,18
"98","N20B",1999,22
"99","N20B",2000,20
"100","N20B",2001,19
"101","N20B",2002,22
"102","N20B",2003,19
"103","N20B",2004,22
"104","N20B",2005,26
"105","N20B",2006,22
"106","N20B",2007,24
"107","N20B",2008,22
"108","N20B",2009,19
"109","N4B",1992,15
"110","N4B",1993,17
"111","N4B",1994,15
"112","N4B",1995,6
"113","N4B",1996,13
"114","N4B",1997,13
"115","N4B",1998,12
"116","N4B",1999,13
"117","N4B",2000,14
"118","N4B",2001,13
"119","N4B",2002,17
"120","N4B",2003,18
"121","N4B",2004,15
"122","N4B",2005,15
"123","N4B",2006,13
"124","N4B",2007,19
"125","N4B",2008,17
"126","N4B",2009,17
"127","N4D",1992,19
"128","N4D",1993,21
"129","N4D",1994,19
"130","N4D",1995,17
"131","N4D",1996,16
"132","N4D",1997,14
"133","N4D",1998,18
"134","N4D",1999,18
"135","N4D",2000,16
"136","N4D",2001,16
"137","N4D",2002,15
"138","N4D",2003,23
"139","N4D",2004,18
"140","N4D",2005,18
"141","N4D",2006,26
"142","N4D",2007,23
"143","N4D",2008,20
"144","N4D",2009,28
