"","Species.watershed","Watershed_name","Species","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","Ageneotettix deorum.1D","1D","Ageneotettix deorum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Arphia xanthoptera.1D","1D","Arphia xanthoptera",2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"3","Boopedon auriventris.1D","1D","Boopedon auriventris",1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1
"4","Chortophaga viridifasciata.1D","1D","Chortophaga viridifasciata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Hippiscus ocelote.1D","1D","Hippiscus ocelote",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Hypochlora alba.1D","1D","Hypochlora alba",26,0,0,0,0,0,0,1,0,4,9,2,0,0,6,0,0,0,0
"7","Melanoplus bivittatus.1D","1D","Melanoplus bivittatus",8,14,1,1,0,1,0,1,0,1,2,12,0,1,0,2,0,4,2
"8","Melanoplus keeleri.1D","1D","Melanoplus keeleri",20,27,9,12,5,1,7,5,0,2,10,17,17,9,2,8,6,12,5
"9","Melanoplus scudderi.1D","1D","Melanoplus scudderi",3,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,1,0
"10","Mermiria bivittata.1D","1D","Mermiria bivittata",21,10,5,2,1,6,1,1,1,2,6,0,1,4,3,5,3,16,6
"11","Opeia obscura.1D","1D","Opeia obscura",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Orphulella speciosa.1D","1D","Orphulella speciosa",278,293,85,124,60,71,156,35,20,32,156,479,108,53,64,80,85,138,44
"13","Phoetaliotes nebrascensis.1D","1D","Phoetaliotes nebrascensis",200,112,38,61,68,55,139,60,17,27,82,343,57,15,18,45,95,62,25
"14","Pseudopomala brachyptera.1D","1D","Pseudopomala brachyptera",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"15","Syrbula admirabilis.1D","1D","Syrbula admirabilis",6,5,1,0,1,3,3,2,0,2,1,17,0,3,2,1,4,2,1
"16","Ageneotettix deorum.20B","20B","Ageneotettix deorum",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Arphia xanthoptera.20B","20B","Arphia xanthoptera",1,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0
"18","Chortophaga viridifasciata.20B","20B","Chortophaga viridifasciata",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Hesperotettix speciosus.20B","20B","Hesperotettix speciosus",2,2,0,1,0,1,1,1,0,0,0,4,0,6,1,10,0,1,0
"20","Hesperotettix viridis.20B","20B","Hesperotettix viridis",1,7,3,2,1,0,1,1,0,0,2,2,2,0,0,0,0,1,0
"21","Hypochlora alba.20B","20B","Hypochlora alba",19,18,2,0,3,5,3,11,3,23,34,9,5,3,6,25,31,13,6
"22","Melanoplus bivittatus.20B","20B","Melanoplus bivittatus",14,12,1,0,0,3,0,1,0,2,5,16,7,2,0,0,0,5,6
"23","Melanoplus confusus.20B","20B","Melanoplus confusus",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Melanoplus femurrubrum.20B","20B","Melanoplus femurrubrum",6,6,4,1,0,0,9,2,1,1,22,1,2,1,0,7,0,2,0
"25","Melanoplus keeleri.20B","20B","Melanoplus keeleri",60,35,10,8,1,7,21,3,0,1,1,8,6,4,1,2,6,7,2
"26","Melanoplus scudderi.20B","20B","Melanoplus scudderi",20,24,0,3,2,8,17,5,1,8,15,12,4,4,3,8,0,3,5
"27","Mermiria bivittata.20B","20B","Mermiria bivittata",19,16,1,3,0,2,3,2,0,2,3,0,7,3,5,1,0,5,2
"28","Mermiria picta.20B","20B","Mermiria picta",5,6,0,0,0,0,4,4,0,0,4,0,3,0,2,1,4,1,0
"29","Opeia obscura.20B","20B","Opeia obscura",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Orphulella speciosa.20B","20B","Orphulella speciosa",28,49,3,3,2,12,25,8,2,0,3,23,12,3,2,4,6,6,4
"31","Paratylotropidia brunneri.20B","20B","Paratylotropidia brunneri",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Phoetaliotes nebrascensis.20B","20B","Phoetaliotes nebrascensis",196,56,12,24,16,57,187,100,15,162,476,193,32,33,45,187,127,79,53
"33","Pseudopomala brachyptera.20B","20B","Pseudopomala brachyptera",2,17,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Syrbula admirabilis.20B","20B","Syrbula admirabilis",2,3,0,1,1,7,8,1,0,2,1,14,2,0,2,5,12,11,6
"35","Arphia xanthoptera.4B","4B","Arphia xanthoptera",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"36","Boopedon auriventris.4B","4B","Boopedon auriventris",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"37","Brachystola magna.4B","4B","Brachystola magna",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Chortophaga viridifasciata.4B","4B","Chortophaga viridifasciata",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39","Hadrotettix trifasciatus.4B","4B","Hadrotettix trifasciatus",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Hesperotettix speciosus.4B","4B","Hesperotettix speciosus",2,4,1,0,1,2,1,1,0,1,0,0,2,2,0,19,1,1,0
"41","Hesperotettix viridis.4B","4B","Hesperotettix viridis",5,6,2,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0
"42","Hippiscus ocelote.4B","4B","Hippiscus ocelote",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Hypochlora alba.4B","4B","Hypochlora alba",4,2,0,3,1,0,8,11,2,24,23,35,11,2,5,39,44,11,6
"44","Melanoplus bivittatus.4B","4B","Melanoplus bivittatus",4,7,0,0,0,0,0,2,0,0,3,15,0,0,3,1,2,1,2
"45","Melanoplus confusus.4B","4B","Melanoplus confusus",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Melanoplus keeleri.4B","4B","Melanoplus keeleri",45,24,13,14,20,5,14,22,1,1,4,33,17,5,1,35,40,20,7
"47","Melanoplus sanguinipes.4B","4B","Melanoplus sanguinipes",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"48","Melanoplus scudderi.4B","4B","Melanoplus scudderi",16,4,0,7,6,4,8,10,0,21,21,58,14,3,4,35,14,4,5
"49","Mermiria bivittata.4B","4B","Mermiria bivittata",7,3,4,1,0,0,0,0,0,1,1,0,1,2,1,0,4,15,2
"50","Orphulella speciosa.4B","4B","Orphulella speciosa",21,16,15,28,8,10,21,10,0,8,6,38,7,4,6,14,48,28,14
"51","Phoetaliotes nebrascensis.4B","4B","Phoetaliotes nebrascensis",157,66,19,21,24,19,73,139,12,95,151,466,33,8,31,171,136,74,48
"52","Syrbula admirabilis.4B","4B","Syrbula admirabilis",1,0,0,0,1,0,0,0,1,1,1,5,1,0,0,0,13,10,5
"53","Ageneotettix deorum.4F","4F","Ageneotettix deorum",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"54","Arphia simplex.4F","4F","Arphia simplex",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Arphia xanthoptera.4F","4F","Arphia xanthoptera",1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,0,0
"56","Boopedon auriventris.4F","4F","Boopedon auriventris",2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"57","Chortophaga viridifasciata.4F","4F","Chortophaga viridifasciata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Hadrotettix trifasciatus.4F","4F","Hadrotettix trifasciatus",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Hesperotettix speciosus.4F","4F","Hesperotettix speciosus",1,2,0,0,0,4,0,0,1,1,0,1,1,2,1,4,0,2,1
"60","Hesperotettix viridis.4F","4F","Hesperotettix viridis",2,2,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"61","Hypochlora alba.4F","4F","Hypochlora alba",7,0,0,2,0,5,0,2,3,12,25,6,7,0,3,2,12,20,4
"62","Melanoplus bivittatus.4F","4F","Melanoplus bivittatus",8,6,1,1,0,0,0,2,0,3,2,4,2,3,0,0,0,0,1
"63","Melanoplus confusus.4F","4F","Melanoplus confusus",25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Melanoplus differentialis.4F","4F","Melanoplus differentialis",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","Melanoplus femurrubrum.4F","4F","Melanoplus femurrubrum",6,1,5,0,0,0,4,5,1,16,43,13,1,4,0,6,5,43,1
"66","Melanoplus keeleri.4F","4F","Melanoplus keeleri",53,19,12,3,4,16,23,6,1,7,9,11,5,2,1,1,2,10,0
"67","Melanoplus sanguinipes.4F","4F","Melanoplus sanguinipes",2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"68","Melanoplus scudderi.4F","4F","Melanoplus scudderi",10,3,0,0,0,4,5,4,1,4,19,11,1,2,1,4,1,12,0
"69","Mermiria bivittata.4F","4F","Mermiria bivittata",26,21,3,2,1,3,3,2,0,2,36,0,2,0,2,3,1,6,0
"70","Mermiria picta.4F","4F","Mermiria picta",3,12,0,1,0,0,0,0,0,0,5,0,0,0,0,1,2,0,0
"71","Opeia obscura.4F","4F","Opeia obscura",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","Orphulella speciosa.4F","4F","Orphulella speciosa",89,31,23,11,3,22,46,8,2,16,27,59,14,5,2,5,13,18,6
"73","Phoetaliotes nebrascensis.4F","4F","Phoetaliotes nebrascensis",218,96,44,35,9,95,81,43,16,99,221,212,93,62,17,88,236,224,21
"74","Syrbula admirabilis.4F","4F","Syrbula admirabilis",9,4,1,3,4,3,10,1,0,1,18,9,0,0,1,3,13,0,3
"75","Ageneotettix deorum.N1B","N1B","Ageneotettix deorum",78,72,20,15,6,7,7,0,0,1,9,14,4,0,0,0,2,0,0
"76","Arphia conspersa.N1B","N1B","Arphia conspersa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Arphia simplex.N1B","N1B","Arphia simplex",3,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,1
"78","Arphia xanthoptera.N1B","N1B","Arphia xanthoptera",2,0,1,0,0,0,0,1,2,1,4,0,0,0,0,1,0,0,0
"79","Chortophaga viridifasciata.N1B","N1B","Chortophaga viridifasciata",7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"80","Eritettix simplex.N1B","N1B","Eritettix simplex",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Hesperotettix speciosus.N1B","N1B","Hesperotettix speciosus",10,15,2,1,0,4,5,2,1,0,6,2,4,14,9,18,6,1,1
"82","Hesperotettix viridis.N1B","N1B","Hesperotettix viridis",4,46,1,6,0,0,0,1,0,0,3,3,3,1,1,0,0,1,0
"83","Hippiscus ocelote.N1B","N1B","Hippiscus ocelote",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"84","Hypochlora alba.N1B","N1B","Hypochlora alba",50,7,1,1,1,6,5,1,1,2,10,4,5,5,4,8,1,8,2
"85","Melanoplus bivittatus.N1B","N1B","Melanoplus bivittatus",14,7,4,0,1,3,1,2,0,2,9,12,9,1,0,0,0,3,0
"86","Melanoplus confusus.N1B","N1B","Melanoplus confusus",29,14,3,1,0,0,0,1,0,0,2,5,0,5,0,0,0,0,0
"87","Melanoplus femurrubrum.N1B","N1B","Melanoplus femurrubrum",3,74,70,21,17,2,39,51,22,27,77,49,19,13,7,12,18,41,2
"88","Melanoplus keeleri.N1B","N1B","Melanoplus keeleri",132,79,50,16,10,14,20,5,4,3,7,17,12,6,2,6,14,41,7
"89","Melanoplus packardii.N1B","N1B","Melanoplus packardii",4,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0
"90","Melanoplus sanguinipes.N1B","N1B","Melanoplus sanguinipes",14,11,2,6,10,13,4,0,0,0,1,0,2,0,0,0,7,2,1
"91","Melanoplus scudderi.N1B","N1B","Melanoplus scudderi",22,9,0,1,1,8,10,7,0,4,2,7,1,4,4,1,7,2,2
"92","Mermiria bivittata.N1B","N1B","Mermiria bivittata",12,7,0,0,1,1,1,0,2,5,3,0,0,0,0,1,0,3,0
"93","Mermiria picta.N1B","N1B","Mermiria picta",8,7,1,1,0,2,0,2,0,0,2,0,0,1,0,1,0,0,0
"94","Opeia obscura.N1B","N1B","Opeia obscura",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","Orphulella speciosa.N1B","N1B","Orphulella speciosa",301,174,62,35,20,42,59,40,12,26,83,132,16,8,5,22,25,43,13
"96","Pardalophora haldemani.N1B","N1B","Pardalophora haldemani",1,2,0,4,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0
