Species,Watershed_name,numyears,numpresent,percyears,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
Ageneotettix_deorum,1D,19,1,0.05263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999988,0.1,0,0.0017757324038530425,1,0,Random
Arphia_conspersa,1D,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Arphia_simplex,1D,19,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9568165666843745,0,0.1111111111111111,0.6341997055200497,2,0,Random
Arphia_xanthoptera,1D,19,3,0.15789473684210525,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,0,Recurrent
Boopedon_auriventris,1D,19,5,0.2631578947368421,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0.23771606319569707,0.1,0.4444444444444444,0.0184794760433135,4,0,Recurrent
Brachystola_magna,1D,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Chortophaga_viridifasciata,1D,19,1,0.05263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999988,0.1,0,0.0017757324038530425,1,0,Random
Eritettix_simplex,1D,19,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9568165666843745,0,0.1111111111111111,0.6341997055200497,2,0,Random
Hadrotettix_trifasciatus,1D,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Hesperotettix_speciosus,1D,19,7,0.3684210526315789,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.2593316328514193,0.2,0.5555555555555556,0.33394321996291126,8,0,Random
Hesperotettix_viridis,1D,19,2,0.10526315789473684,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,0,Random
Hippiscus_ocelote,1D,19,1,0.05263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999988,0.1,0,0.0017757324038530425,1,0,Random
Hypochlora_alba,1D,19,6,0.3157894736842105,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0.3,0.3333333333333333,0.2522311962198547,7,0,Random
Melanoplus_bivittatus,1D,19,13,0.6842105263157895,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0.7,0.6666666666666666,0.981669451035829,12,0,Random
Melanoplus_confusus,1D,19,2,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.40802131594572477,0,0.2222222222222222,0.721732225569599,4,0,Random
Melanoplus_differentialis,1D,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Melanoplus_femurrubrum,1D,19,15,0.7894736842105263,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0.6564077338807046,0.7,0.8888888888888888,0.1676632257762835,5,0,Random
Melanoplus_keeleri,1D,19,18,0.9473684210526315,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.9999999999999988,0.9,1,0.6341997055200497,2,0,Random
Melanoplus_packardii,1D,19,6,0.3157894736842105,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0.5154941021428626,0.2,0.4444444444444444,0.4537928472806693,8,0,Random
Melanoplus_sanguinipes,1D,19,2,0.10526315789473684,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,0,Random
Melanoplus_scudderi,1D,19,5,0.2631578947368421,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0.23771606319569707,0.1,0.4444444444444444,0.4097531517012759,7,0,Random
Mermiria_bivittata,1D,19,18,0.9473684210526315,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.9568165666843745,1,0.8888888888888888,0.6341997055200497,2,0,Random
Mermiria_picta,1D,19,8,0.42105263157894735,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0.9999999999999998,0.4,0.4444444444444444,0.2700870617817851,8,0,Random
Opeia_obscura,1D,19,1,0.05263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999988,0.1,0,0.0017757324038530425,1,0,Random
Orphulella_speciosa,1D,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Paratylotropidia_brunneri,1D,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Pardalophora_haldemani,1D,19,2,0.10526315789473684,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9999999999999997,0.1,0.1111111111111111,0.721732225569599,4,0,Random
Phoetaliotes_nebrascensis,1D,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Pseudopomala_brachyptera,1D,19,3,0.15789473684210525,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,0,Recurrent
Schistocerca_lineata,1D,19,3,0.15789473684210525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.9207589109365504,0.1,0.2222222222222222,0.027145425154787246,3,0,Recurrent
Syrbula_admirabilis,1D,19,16,0.8421052631578947,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.9999999999999996,0.8,0.8888888888888888,0.8127927652624913,6,0,Random
Boopedon_gracile,1D,19,1,0.05263157894736842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999988,0.1,0,0.6341997055200497,2,0,Random
Campylacantha_olivacea,1D,19,12,0.631578947368421,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0.2593316328514193,0.8,0.4444444444444444,0.07380214949467263,6,0,Random
Pardalophora_apiculata,1D,19,1,0.05263157894736842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999988,0.1,0,0.6341997055200497,2,0,Random
Encoptolophus_sordidus,1D,19,2,0.10526315789473684,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5029952545024349,0.2,0,0.013727685530756891,2,0,Random
Melanoplus_angustipennis,1D,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
