Species.watershed,Watershed_name,Species,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,countblocks,trend,classification,group
Ageneotettix deorum.1D,1D,Ageneotettix deorum,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Arphia xanthoptera.1D,1D,Arphia xanthoptera,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,2,0,Recurrent,Non-directional
Boopedon auriventris.1D,1D,Boopedon auriventris,19,0.26,0.23771606319569707,0.1,0.4444444444444444,0.0184794760433135,4,3,0,Recurrent,Non-directional
Chortophaga viridifasciata.1D,1D,Chortophaga viridifasciata,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hippiscus ocelote.1D,1D,Hippiscus ocelote,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hypochlora alba.1D,1D,Hypochlora alba,19,0.31999999999999995,1,0.3,0.3333333333333333,0.2522311962198547,7,4,0,Random,Undetermined
Melanoplus bivittatus.1D,1D,Melanoplus bivittatus,19,0.6799999999999999,0.2593316328514193,0.2,0.5555555555555556,0.07380214949467263,6,4,0,Random,Undetermined
Melanoplus keeleri.1D,1D,Melanoplus keeleri,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.017071011582221376,5,3,0,Recurrent,Non-directional
Melanoplus scudderi.1D,1D,Melanoplus scudderi,19,0.26,0.23771606319569707,0.1,0.4444444444444444,0.4097531517012759,7,4,0,Random,Undetermined
Mermiria bivittata.1D,1D,Mermiria bivittata,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.5984056207050737,10,6,0,Random,Undetermined
Opeia obscura.1D,1D,Opeia obscura,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Orphulella speciosa.1D,1D,Orphulella speciosa,19,1,0.9999999999999998,0.4,0.4444444444444444,0.4492270192577427,9,5,0,Random,Undetermined
Phoetaliotes nebrascensis.1D,1D,Phoetaliotes nebrascensis,19,1,1,0.5,0.4444444444444444,0.41126187826070393,9,5,0,Random,Undetermined
Pseudopomala brachyptera.1D,1D,Pseudopomala brachyptera,19,0.16000000000000003,0.9999999999999996,0.2,0.1111111111111111,0.027145425154787246,3,2,0,Recurrent,Non-directional
Syrbula admirabilis.1D,1D,Syrbula admirabilis,19,0.84,1,0.4,0.3333333333333333,0.5320591173824899,9,5,0,Random,Undetermined
Ageneotettix deorum.20B,20B,Ageneotettix deorum,19,0.10999999999999999,0.5029952545024349,0.2,0,1.5821129522314477e-4,1,1,0,Clumped,Non-directional
Arphia xanthoptera.20B,20B,Arphia xanthoptera,19,0.20999999999999996,0.6564077338807046,0.3,0.1111111111111111,0.6918106102047528,7,4,0,Random,Undetermined
Chortophaga viridifasciata.20B,20B,Chortophaga viridifasciata,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Hesperotettix speciosus.20B,20B,Hesperotettix speciosus,19,0.5800000000000001,0.890799668115198,0.2,0.3333333333333333,0.4097531517012759,7,4,0,Random,Undetermined
Hesperotettix viridis.20B,20B,Hesperotettix viridis,19,0.5800000000000001,1,0.3,0.3333333333333333,0.010124899570946632,4,2,0,Recurrent,Non-directional
Hypochlora alba.20B,20B,Hypochlora alba,19,0.95,0.8274720060191045,0.4,0.5555555555555556,0.12073001534261926,7,4,0,Random,Undetermined
Melanoplus bivittatus.20B,20B,Melanoplus bivittatus,19,0.63,0.5084692874662828,0.3,0.5555555555555556,0.05677685322398764,6,4,0,Random,Undetermined
Melanoplus confusus.20B,20B,Melanoplus confusus,19,0.050000000000000044,NA,NA,NA,NA,1,1,NA,Rare,Undetermined
Melanoplus femurrubrum.20B,20B,Melanoplus femurrubrum,19,0.74,1,0.5,0.4444444444444444,0.7650816999385301,11,6,0,Random,Undetermined
Melanoplus keeleri.20B,20B,Melanoplus keeleri,19,0.95,0.23014036204786886,0.6,0.2222222222222222,0.13621474210639106,7,4,0,Random,Undetermined
