"","Watershed1","Watershed2","JaccDiss_year1","JaccDiss_year19","JaccDiss_overall","BrayDiss_overall"
"1","1D","1D",0,0,0,0
"2","20B","1D",0.380952380952381,0.454545454545455,0.21875,0.441208519328129
"3","4B","1D",0.428571428571429,0.428571428571429,0.171428571428571,0.424642284526234
"4","4F","1D",0.458333333333333,0.583333333333333,0.181818181818182,0.38458006510845
"5","N1B","1D",0.481481481481481,0.666666666666667,0.114285714285714,0.48971620077775
"6","N20B","1D",0.476190476190476,0.625,0.142857142857143,0.42609535412659
"7","N4A","1D",0.5,0.5625,0.225,0.486278306198469
"8","N4D","1D",0.576923076923077,0.461538461538462,0.189189189189189,0.580768023832746
"9","1D","20B",0.380952380952381,0.454545454545455,0.21875,0.441208519328129
"10","20B","20B",0,0,0,0
"11","4B","20B",0.458333333333333,0.384615384615385,0.212121212121212,0.157041803246187
"12","4F","20B",0.291666666666667,0.545454545454545,0.28125,0.113096307719451
"13","N1B","20B",0.333333333333333,0.538461538461538,0.257142857142857,0.609166180655453
"14","N20B","20B",0.285714285714286,0.6,0.235294117647059,0.411007772590234
"15","N4A","20B",0.346153846153846,0.428571428571429,0.390243902439024,0.575316428352763
"16","N4D","20B",0.481481481481481,0.538461538461538,0.324324324324324,0.596310170983608
"17","1D","4B",0.428571428571429,0.428571428571429,0.171428571428571,0.424642284526234
"18","20B","4B",0.458333333333333,0.384615384615385,0.212121212121212,0.157041803246187
"19","4B","4B",0,0,0,0
"20","4F","4B",0.333333333333333,0.5,0.277777777777778,0.15897179587119
"21","N1B","4B",0.482758620689655,0.5,0.111111111111111,0.51952279171679
"22","N20B","4B",0.333333333333333,0.470588235294118,0.236842105263158,0.35731233343204
"23","N4A","4B",0.384615384615385,0.411764705882353,0.219512195121951,0.489862344711483
"24","N4D","4B",0.461538461538462,0.4,0.18421052631579,0.510646741571632
"25","1D","4F",0.458333333333333,0.583333333333333,0.181818181818182,0.38458006510845
"26","20B","4F",0.291666666666667,0.545454545454545,0.28125,0.113096307719451
"27","4B","4F",0.333333333333333,0.5,0.277777777777778,0.15897179587119
"28","4F","4F",0,0,0,0
"29","N1B","4F",0.344827586206897,0.416666666666667,0.222222222222222,0.531372025143677
"30","N20B","4F",0.227272727272727,0.384615384615385,0.297297297297297,0.35325033311403
"31","N4A","4F",0.230769230769231,0.428571428571429,0.275,0.509531969893451
"32","N4D","4F",0.37037037037037,0.538461538461538,0.243243243243243,0.520998202526398
"33","1D","N1B",0.481481481481481,0.666666666666667,0.114285714285714,0.48971620077775
"34","20B","N1B",0.333333333333333,0.538461538461538,0.257142857142857,0.609166180655453
"35","4B","N1B",0.482758620689655,0.5,0.111111111111111,0.51952279171679
"36","4F","N1B",0.344827586206897,0.416666666666667,0.222222222222222,0.531372025143677
"37","N1B","N1B",0,0,0,0
"38","N20B","N1B",0.407407407407407,0.4,0.18421052631579,0.24838511995692
"39","N4A","N1B",0.148148148148148,0.333333333333333,0.170731707317073,0.160099398770824
"40","N4D","N1B",0.222222222222222,0.533333333333333,0.131578947368421,0.148955295055333
"41","1D","N20B",0.476190476190476,0.625,0.142857142857143,0.42609535412659
"42","20B","N20B",0.285714285714286,0.6,0.235294117647059,0.411007772590234
"43","4B","N20B",0.333333333333333,0.470588235294118,0.236842105263158,0.35731233343204
"44","4F","N20B",0.227272727272727,0.384615384615385,0.297297297297297,0.35325033311403
"45","N1B","N20B",0.407407407407407,0.4,0.18421052631579,0.24838511995692
"46","N20B","N20B",0,0,0,0
"47","N4A","N20B",0.36,0.3125,0.318181818181818,0.266700665723467
"48","N4D","N20B",0.375,0.5,0.205128205128205,0.219642962668049
"49","1D","N4A",0.5,0.5625,0.225,0.486278306198469
"50","20B","N4A",0.346153846153846,0.428571428571429,0.390243902439024,0.575316428352763
"51","4B","N4A",0.384615384615385,0.411764705882353,0.219512195121951,0.489862344711483
"52","4F","N4A",0.230769230769231,0.428571428571429,0.275,0.509531969893451
"53","N1B","N4A",0.148148148148148,0.333333333333333,0.170731707317073,0.160099398770824
"54","N20B","N4A",0.36,0.3125,0.318181818181818,0.266700665723467
"55","N4A","N4A",0,0,0,0
"56","N4D","N4A",0.16,0.529411764705882,0.146341463414634,0.171450241878176
"57","1D","N4D",0.576923076923077,0.461538461538462,0.189189189189189,0.580768023832746
"58","20B","N4D",0.481481481481481,0.538461538461538,0.324324324324324,0.596310170983608
"59","4B","N4D",0.461538461538462,0.4,0.18421052631579,0.510646741571632
"60","4F","N4D",0.37037037037037,0.538461538461538,0.243243243243243,0.520998202526398
"61","N1B","N4D",0.222222222222222,0.533333333333333,0.131578947368421,0.148955295055333
"62","N20B","N4D",0.375,0.5,0.205128205128205,0.219642962668049
"63","N4A","N4D",0.16,0.529411764705882,0.146341463414634,0.171450241878176
"64","N4D","N4D",0,0,0,0
