"","watershed.Watershed1","watershed.Year1","watershed.Watershed2","watershed.Year2","watershed.jaccard_diss","watershed.bray_diss"
"1","1D",2002,"1D",2002,0,0
"2","1D",2002,"20B",2002,0.380952380952381,0.427263855852088
"3","1D",2002,"4B",2002,0.428571428571429,0.465810896634014
"4","1D",2002,"4F",2002,0.458333333333333,0.338650647693495
"5","1D",2002,"N1B",2002,0.481481481481481,0.424385662708043
"6","1D",2002,"N20B",2002,0.476190476190476,0.419082119809035
"7","1D",2002,"N4A",2002,0.5,0.518223847941358
"8","1D",2002,"N4D",2002,0.576923076923077,0.520312648279313
"9","1D",2003,"1D",2003,0,0
"10","1D",2003,"20B",2003,0.35,0.397258668307656
"11","1D",2003,"4B",2003,0.428571428571429,0.476999212686987
"12","1D",2003,"4F",2003,0.277777777777778,0.482020302786784
"13","1D",2003,"N1B",2003,0.36,0.465537225606593
"14","1D",2003,"N20B",2003,0.375,0.424466776349919
"15","1D",2003,"N4A",2003,0.461538461538462,0.356089995100152
"16","1D",2003,"N4D",2003,0.423076923076923,0.466740248976276
"17","1D",2004,"1D",2004,0,0
"18","1D",2004,"20B",2004,0.461538461538462,0.581574130567419
"19","1D",2004,"4B",2004,0.416666666666667,0.442242400315831
"20","1D",2004,"4F",2004,0.333333333333333,0.348111992407294
"21","1D",2004,"N1B",2004,0.555555555555556,0.622448369944039
"22","1D",2004,"N20B",2004,0.466666666666667,0.456417013216947
"23","1D",2004,"N4A",2004,0.526315789473684,0.419584670751872
"24","1D",2004,"N4D",2004,0.428571428571429,0.737321272249781
"25","1D",2005,"1D",2005,0,0
"26","1D",2005,"20B",2005,0.615384615384615,0.555922330097087
"27","1D",2005,"4B",2005,0.583333333333333,0.326442033123929
"28","1D",2005,"4F",2005,0.583333333333333,0.473935772964899
"29","1D",2005,"N1B",2005,0.777777777777778,0.608621359223301
"30","1D",2005,"N20B",2005,0.722222222222222,0.527045769764216
"31","1D",2005,"N4A",2005,0.722222222222222,0.55395428802589
"32","1D",2005,"N4D",2005,0.666666666666667,0.788988570726312
"33","1D",2006,"1D",2006,0,0
"34","1D",2006,"20B",2006,0.5,0.371757274983081
"35","1D",2006,"4B",2006,0.5,0.530004878842088
"36","1D",2006,"4F",2006,0.142857142857143,0.380358771663119
"37","1D",2006,"N1B",2006,0.5,0.652386448502953
"38","1D",2006,"N20B",2006,0.666666666666667,0.463378726536621
"39","1D",2006,"N4A",2006,0.5625,0.540028936580661
"40","1D",2006,"N4D",2006,0.5,0.76077653689594
"41","1D",2007,"1D",2007,0,0
"42","1D",2007,"20B",2007,0.5,0.4375
"43","1D",2007,"4B",2007,0.692307692307692,0.389705882352941
"44","1D",2007,"4F",2007,0.461538461538462,0.412547080979284
"45","1D",2007,"N1B",2007,0.470588235294118,0.639251207729469
"46","1D",2007,"N20B",2007,0.307692307692308,0.390202702702703
"47","1D",2007,"N4A",2007,0.608695652173913,0.53673835125448
"48","1D",2007,"N4D",2007,0.631578947368421,0.853718637992832
"49","1D",2008,"1D",2008,0,0
"50","1D",2008,"20B",2008,0.466666666666667,0.370992380212052
"51","1D",2008,"4B",2008,0.666666666666667,0.326785890722261
"52","1D",2008,"4F",2008,0.363636363636364,0.222540592168099
"53","1D",2008,"N1B",2008,0.529411764705882,0.524705192582295
"54","1D",2008,"N20B",2008,0.611111111111111,0.451002865329513
"55","1D",2008,"N4A",2008,0.65,0.596195173021821
"56","1D",2008,"N4D",2008,0.636363636363636,0.730982724101138
"57","1D",2009,"1D",2009,0,0
"58","1D",2009,"20B",2009,0.3125,0.353919480782882
"59","1D",2009,"4B",2009,0.5,0.442267851991713
"60","1D",2009,"4F",2009,0.25,0.340643274853801
"61","1D",2009,"N1B",2009,0.411764705882353,0.34468924248606
"62","1D",2009,"N20B",2009,0.4375,0.210126943374697
