"","baseline.Watershed1","baseline.Year1","baseline.Watershed2","baseline.Year2","baseline.jaccard_diss","baseline.bray_diss"
"1","1D",2002,"1D",2002,0,0
"2","1D",2002,"1D",2003,0.708333333333333,0.217765618669069
"3","1D",2002,"1D",2004,0.666666666666667,0.176095158617285
"4","1D",2002,"1D",2005,0.6875,0.167428969785592
"5","1D",2002,"1D",2006,0.705882352941176,0.181205834445764
"6","1D",2002,"1D",2007,0.666666666666667,0.101697801128624
"7","1D",2002,"1D",2008,0.736842105263158,0.171227274323938
"8","1D",2002,"1D",2009,0.631578947368421,0.387767433762456
"9","1D",2002,"1D",2010,0.823529411764706,0.283018867924528
"10","1D",2002,"1D",2011,0.555555555555556,0.178550579601368
"11","1D",2002,"1D",2012,0.571428571428572,0.148068706252817
"12","1D",2002,"1D",2013,0.578947368421053,0.113564147469577
"13","1D",2002,"1D",2014,0.789473684210526,0.182190214089138
"14","1D",2002,"1D",2015,0.666666666666667,0.251047836439127
"15","1D",2002,"1D",2016,0.647058823529412,0.253552996605862
"16","1D",2002,"1D",2017,0.611111111111111,0.128698796824891
"17","1D",2002,"1D",2018,0.7,0.208254364289199
"18","1D",2002,"1D",2019,0.571428571428572,0.156760427463455
"19","1D",2002,"1D",2020,0.588235294117647,0.124363621553374
"20","20B",2002,"20B",2002,0,0
"21","20B",2002,"20B",2003,0.285714285714286,0.351489678046549
"22","20B",2002,"20B",2004,0.571428571428572,0.482903663500678
"23","20B",2002,"20B",2005,0.523809523809524,0.181393034825871
"24","20B",2002,"20B",2006,0.65,0.311186005456588
"25","20B",2002,"20B",2007,0.523809523809524,0.278370054489457
"26","20B",2002,"20B",2008,0.5,0.269880879514101
"27","20B",2002,"20B",2009,0.409090909090909,0.316423662036638
"28","20B",2002,"20B",2010,0.75,0.343559977888336
"29","20B",2002,"20B",2011,0.55,0.390403750478377
"30","20B",2002,"20B",2012,0.45,0.393060339328996
"31","20B",2002,"20B",2013,0.545454545454545,0.298748194511314
"32","20B",2002,"20B",2014,0.521739130434783,0.2834105335392
"33","20B",2002,"20B",2015,0.526315789473684,0.195716333586306
"34","20B",2002,"20B",2016,0.473684210526316,0.308527783617126
"35","20B",2002,"20B",2017,0.473684210526316,0.376298507462686
"36","20B",2002,"20B",2018,0.714285714285714,0.390068886337543
"37","20B",2002,"20B",2019,0.4,0.240132669983416
"38","20B",2002,"20B",2020,0.578947368421053,0.280383795309168
"39","4B",2002,"4B",2002,0,0
"40","4B",2002,"4B",2003,0.541666666666667,0.228399051928464
"41","4B",2002,"4B",2004,0.727272727272727,0.495324283559578
"42","4B",2002,"4B",2005,0.681818181818182,0.42262443438914
"43","4B",2002,"4B",2006,0.619047619047619,0.39428401056308
"44","4B",2002,"4B",2007,0.761904761904762,0.386554621848739
"45","4B",2002,"4B",2008,0.619047619047619,0.235796387520525
"46","4B",2002,"4B",2009,0.666666666666667,0.208462688283316
"47","4B",2002,"4B",2010,0.789473684210526,0.353961827646038
"48","4B",2002,"4B",2011,0.6,0.284522706209453
"49","4B",2002,"4B",2012,0.636363636363636,0.293297847985348
"50","4B",2002,"4B",2013,0.636363636363636,0.238773747841105
"51","4B",2002,"4B",2014,0.55,0.308810487757856
"52","4B",2002,"4B",2015,0.631578947368421,0.355718355718356
"53","4B",2002,"4B",2016,0.631578947368421,0.224053724053724
"54","4B",2002,"4B",2017,0.652173913043478,0.330554502968296
"55","4B",2002,"4B",2018,0.56,0.383819496384941
"56","4B",2002,"4B",2019,0.590909090909091,0.307692307692308
"57","4B",2002,"4B",2020,0.523809523809524,0.230196886446886
"58","4F",2002,"4F",2002,0,0
"59","4F",2002,"4F",2003,0.52,0.177543795951711
"60","4F",2002,"4F",2004,0.565217391304348,0.181459690854263
"61","4F",2002,"4F",2005,0.625,0.239505379797655
"62","4F",2002,"4F",2006,0.782608695652174,0.305346283017155
"63","4F",2002,"4F",2007,0.625,0.253069601217225
"64","4F",2002,"4F",2008,0.708333333333333,0.213856993736952
"65","4F",2002,"4F",2009,0.608695652173913,0.267667014613779
"66","4F",2002,"4F",2010,0.652173913043478,0.390605427974948
"67","4F",2002,"4F",2011,0.478260869565217,0.326564887276799
"68","4F",2002,"4F",2012,0.5,0.331577884032595
"69","4F",2002,"4F",2013,0.541666666666667,0.246591058699618
"70","4F",2002,"4F",2014,0.625,0.332871216075157
"71","4F",2002,"4F",2015,0.652173913043478,0.405239574316411
"72","4F",2002,"4F",2016,0.636363636363636,0.327095138681778
"73","4F",2002,"4F",2017,0.545454545454545,0.392805524329533
"74","4F",2002,"4F",2018,0.583333333333333,0.433749240683978
"75","4F",2002,"4F",2019,0.608695652173913,0.396466186577842
"76","4F",2002,"4F",2020,0.695652173913044,0.340632130892848
"77","N1B",2002,"N1B",2002,0,0
"78","N1B",2002,"N1B",2003,0.241379310344828,0.331600547195623
"79","N1B",2002,"N1B",2004,0.407407407407407,0.516823829801053
"80","N1B",2002,"N1B",2005,0.444444444444444,0.370889192886457
"81","N1B",2002,"N1B",2006,0.518518518518518,0.543251032632516
"82","N1B",2002,"N1B",2007,0.517241379310345,0.564230060072563
"83","N1B",2002,"N1B",2008,0.551724137931034,0.589580709096902
"84","N1B",2002,"N1B",2009,0.5,0.714546283629731
"85","N1B",2002,"N1B",2010,0.666666666666667,0.681903459058042
"86","N1B",2002,"N1B",2011,0.607142857142857,0.610099119207046
"87","N1B",2002,"N1B",2012,0.357142857142857,0.512500114764183
"88","N1B",2002,"N1B",2013,0.551724137931034,0.423173580903488
"89","N1B",2002,"N1B",2014,0.518518518518518,0.599092350118342
"90","N1B",2002,"N1B",2015,0.535714285714286,0.573958112560452
"91","N1B",2002,"N1B",2016,0.666666666666667,0.67327861377109
"92","N1B",2002,"N1B",2017,0.5,0.491010357631425
"93","N1B",2002,"N1B",2018,0.555555555555556,0.51795328756636
"94","N1B",2002,"N1B",2019,0.5,0.440948472412221
"95","N1B",2002,"N1B",2020,0.62962962962963,0.315249478004176
"96","N20B",2002,"N20B",2002,0,0
"97","N20B",2002,"N20B",2003,0.333333333333333,0.316448975257513
"98","N20B",2002,"N20B",2004,0.368421052631579,0.450542062358181
"99","N20B",2002,"N20B",2005,0.521739130434783,0.392645998558039
"100","N20B",2002,"N20B",2006,0.583333333333333,0.474116798846431
"101","N20B",2002,"N20B",2007,0.5,0.37652721214365
"102","N20B",2002,"N20B",2008,0.5,0.432929399367756
"103","N20B",2002,"N20B",2009,0.523809523809524,0.464283327764784
"104","N20B",2002,"N20B",2010,0.473684210526316,0.401257579160117
"105","N20B",2002,"N20B",2011,0.578947368421053,0.326544688188524
"106","N20B",2002,"N20B",2012,0.380952380952381,0.485730593607306
"107","N20B",2002,"N20B",2013,0.380952380952381,0.474967893835616
"108","N20B",2002,"N20B",2014,0.380952380952381,0.365523093708328
"109","N20B",2002,"N20B",2015,0.526315789473684,0.389776144336786
"110","N20B",2002,"N20B",2016,0.411764705882353,0.404972095383054
"111","N20B",2002,"N20B",2017,0.473684210526316,0.584840182648402
"112","N20B",2002,"N20B",2018,0.476190476190476,0.570452574995665
"113","N20B",2002,"N20B",2019,0.380952380952381,0.473710845475962
"114","N20B",2002,"N20B",2020,0.421052631578947,0.567954990215264
"115","N4A",2002,"N4A",2002,0,0
"116","N4A",2002,"N4A",2003,0.222222222222222,0.280813838673349
"117","N4A",2002,"N4A",2004,0.346153846153846,0.320847886306155
"118","N4A",2002,"N4A",2005,0.423076923076923,0.344875346260388
"119","N4A",2002,"N4A",2006,0.571428571428572,0.422628713344159
"120","N4A",2002,"N4A",2007,0.379310344827586,0.394563091373028
"121","N4A",2002,"N4A",2008,0.5,0.554473861779956
"122","N4A",2002,"N4A",2009,0.44,0.662745487745798
"123","N4A",2002,"N4A",2010,0.52,0.653780956712283
"124","N4A",2002,"N4A",2011,0.461538461538462,0.519355067831522
"125","N4A",2002,"N4A",2012,0.4,0.521791320406279
"126","N4A",2002,"N4A",2013,0.535714285714286,0.505709989537517
"127","N4A",2002,"N4A",2014,0.518518518518518,0.569071419968686
"128","N4A",2002,"N4A",2015,0.52,0.359597824971786
"129","N4A",2002,"N4A",2016,0.653846153846154,0.66916393855452
"130","N4A",2002,"N4A",2017,0.571428571428572,0.543843729104977
"131","N4A",2002,"N4A",2018,0.461538461538462,0.456182967540308
"132","N4A",2002,"N4A",2019,0.464285714285714,0.46169291119002
"133","N4A",2002,"N4A",2020,0.538461538461538,0.570230840258541
"134","N4D",2002,"N4D",2002,0,0
"135","N4D",2002,"N4D",2003,0.379310344827586,0.319726632698366
"136","N4D",2002,"N4D",2004,0.478260869565217,0.526108374384236
"137","N4D",2002,"N4D",2005,0.434782608695652,0.456335349504271
"138","N4D",2002,"N4D",2006,0.56,0.595875303286523
"139","N4D",2002,"N4D",2007,0.607142857142857,0.681378780655755
"140","N4D",2002,"N4D",2008,0.464285714285714,0.610074819135561
"141","N4D",2002,"N4D",2009,0.416666666666667,0.726456571621123
"142","N4D",2002,"N4D",2010,0.652173913043478,0.560788177339901
"143","N4D",2002,"N4D",2011,0.458333333333333,0.561089471875358
"144","N4D",2002,"N4D",2012,0.333333333333333,0.62920497352546
"145","N4D",2002,"N4D",2013,0.461538461538462,0.527516211254771
"146","N4D",2002,"N4D",2014,0.375,0.524469030121941
"147","N4D",2002,"N4D",2015,0.583333333333333,0.569988898910705
"148","N4D",2002,"N4D",2016,0.666666666666667,0.670589308520343
"149","N4D",2002,"N4D",2017,0.583333333333333,0.502990851513019
"150","N4D",2002,"N4D",2018,0.5,0.421991030071318
"151","N4D",2002,"N4D",2019,0.391304347826087,0.447142857142857
"152","N4D",2002,"N4D",2020,0.565217391304348,0.506493506493507
