"","Watershed_name","Recyear","Richness"
"1","1D",2002,15
"2","1D",2003,16
"3","1D",2004,9
"4","1D",2005,6
"5","1D",2006,7
"6","1D",2007,9
"7","1D",2008,9
"8","1D",2009,11
"9","1D",2010,5
"10","1D",2011,11
"11","1D",2012,15
"12","1D",2013,12
"13","1D",2014,8
"14","1D",2015,9
"15","1D",2016,8
"16","1D",2017,10
"17","1D",2018,11
"18","1D",2019,15
"19","1D",2020,9
"20","20B",2002,19
"21","20B",2003,17
"22","20B",2004,11
"23","20B",2005,12
"24","20B",2006,8
"25","20B",2007,12
"26","20B",2008,14
"27","20B",2009,16
"28","20B",2010,6
"29","20B",2011,10
"30","20B",2012,12
"31","20B",2013,13
"32","20B",2014,15
"33","20B",2015,9
"34","20B",2016,10
"35","20B",2017,10
"36","20B",2018,8
"37","20B",2019,13
"38","20B",2020,8
"39","4B",2002,18
"40","4B",2003,17
"41","4B",2004,10
"42","4B",2005,11
"43","4B",2006,11
"44","4B",2007,8
"45","4B",2008,11
"46","4B",2009,10
"47","4B",2010,5
"48","4B",2011,10
"49","4B",2012,12
"50","4B",2013,12
"51","4B",2014,11
"52","4B",2015,8
"53","4B",2016,8
"54","4B",2017,13
"55","4B",2018,18
"56","4B",2019,13
"57","4B",2020,13
"58","4F",2002,22
"59","4F",2003,15
"60","4F",2004,11
"61","4F",2005,11
"62","4F",2006,6
"63","4F",2007,11
"64","4F",2008,9
"65","4F",2009,10
"66","4F",2010,9
"67","4F",2011,13
"68","4F",2012,14
"69","4F",2013,13
"70","4F",2014,11
"71","4F",2015,9
"72","4F",2016,8
"73","4F",2017,10
"74","4F",2018,12
"75","4F",2019,10
"76","4F",2020,8
"77","N1B",2002,26
"78","N1B",2003,25
"79","N1B",2004,17
"80","N1B",2005,16
"81","N1B",2006,14
"82","N1B",2007,17
"83","N1B",2008,16
"84","N1B",2009,16
"85","N1B",2010,10
"86","N1B",2011,13
"87","N1B",2012,20
"88","N1B",2013,16
"89","N1B",2014,14
"90","N1B",2015,15
"91","N1B",2016,10
"92","N1B",2017,13
"93","N1B",2018,13
"94","N1B",2019,16
"95","N1B",2020,11
"96","N20B",2002,17
"97","N20B",2003,23
"98","N20B",2004,14
"99","N20B",2005,17
"100","N20B",2006,17
"101","N20B",2007,13
"102","N20B",2008,16
"103","N20B",2009,14
"104","N20B",2010,12
"105","N20B",2011,10
"106","N20B",2012,17
"107","N20B",2013,17
"108","N20B",2014,17
"109","N20B",2015,11
"110","N20B",2016,10
"111","N20B",2017,12
"112","N20B",2018,15
"113","N20B",2019,17
"114","N20B",2020,13
"115","N4A",2002,24
"116","N4A",2003,24
"117","N4A",2004,19
"118","N4A",2005,17
"119","N4A",2006,16
"120","N4A",2007,23
"121","N4A",2008,18
"122","N4A",2009,15
"123","N4A",2010,13
"124","N4A",2011,16
"125","N4A",2012,16
"126","N4A",2013,17
"127","N4A",2014,16
"128","N4A",2015,13
"129","N4A",2016,11
"130","N4A",2017,16
"131","N4A",2018,16
"132","N4A",2019,19
"133","N4A",2020,14
"134","N4D",2002,22
"135","N4D",2003,25
"136","N4D",2004,13
"137","N4D",2005,14
"138","N4D",2006,14
"139","N4D",2007,17
"140","N4D",2008,21
"141","N4D",2009,16
"142","N4D",2010,9
"143","N4D",2011,15
"144","N4D",2012,18
"145","N4D",2013,18
"146","N4D",2014,17
"147","N4D",2015,12
"148","N4D",2016,10
"149","N4D",2017,12
"150","N4D",2018,17
"151","N4D",2019,15
"152","N4D",2020,11
