"","Species.watershed","Watershed_name","Genus_spp","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1","achill_mille.1D","1D","achill_mille",1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"2","ambros_psilo.1D","1D","ambros_psilo",1,2,2,2,2,2,2,1,1,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"3","amorph_canes.1D","1D","amorph_canes",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2
"4","androp_gerar.1D","1D","androp_gerar",4,4,3,4,4,4,3,4,4,5,4,5,4.5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4.5,5
"5","antenn_negle.1D","1D","antenn_negle",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"6","apocyn_canna.1D","1D","apocyn_canna",2,0,1.5,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1
"7","arnogl_plant.1D","1D","arnogl_plant",1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
"8","artemi_ludov.1D","1D","artemi_ludov",1,1,1,1.5,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"9","asclep_steno.1D","1D","asclep_steno",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10","asclep_syria.1D","1D","asclep_syria",1,2,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"11","asclep_verti.1D","1D","asclep_verti",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12","asclep_virdf.1D","1D","asclep_virdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13","asclep_virds.1D","1D","asclep_virds",2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1.5,1,1,1,2,1.5,2,2,2,2,2,2,2,2,1,1
"14","astrag_crass.1D","1D","astrag_crass",3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","baptis_bract.1D","1D","baptis_bract",2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16","boutel_curti.1D","1D","boutel_curti",2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
"17","boutel_graci.1D","1D","boutel_graci",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
"18","boutel_hirsu.1D","1D","boutel_hirsu",3,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0
"19","bricke_eupat.1D","1D","bricke_eupat",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","callir_invol.1D","1D","callir_invol",1.5,2,1.5,2,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"21","carex_brevi.1D","1D","carex_brevi",2,0,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22","carex_gravi.1D","1D","carex_gravi",1.5,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"23","carex_inops.1D","1D","carex_inops",2,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","carex_meadi.1D","1D","carex_meadi",1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","ceanot_herba.1D","1D","ceanot_herba",3,2,2,2.5,2,2,2,2,3,3,3,2.5,2.5,2.5,3,2.5,2.5,2.5,2,1.5,1,1.5,0,2,2,2,2,2,2,2,2
"26","cirsiu_undul.1D","1D","cirsiu_undul",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27","dalea_candi.1D","1D","dalea_candi",1.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28","dalea_multi.1D","1D","dalea_multi",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29","dalea_purpu.1D","1D","dalea_purpu",2,2,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30","delphi_carol.1D","1D","delphi_carol",1,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"31","desmod_illin.1D","1D","desmod_illin",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1
"32","dichan_oligo.1D","1D","dichan_oligo",2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33","dichan_ovale.1D","1D","dichan_ovale",2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"34","digita_cogna.1D","1D","digita_cogna",2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"35","echina_angus.1D","1D","echina_angus",2,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","eragro_spect.1D","1D","eragro_spect",2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37","eriger_strig.1D","1D","eriger_strig",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38","euphor_serpe.1D","1D","euphor_serpe",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","gerani_carol.1D","1D","gerani_carol",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","koeler_macra.1D","1D","koeler_macra",2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
"41","lesped_capit.1D","1D","lesped_capit",2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"42","lesped_viola.1D","1D","lesped_viola",1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,2,2,1.5,2,1,1
"43","mimosa_quadr.1D","1D","mimosa_quadr",3,2,2,2,2,2,2,2,2,3,2.5,2.5,2.5,2.5,3,2,2.5,2.5,2,2,1,2,2,2.5,2,2,2,2,2,2,2
"44","muhlen_cuspi.1D","1D","muhlen_cuspi",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","oxalis_stric.1D","1D","oxalis_stric",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","packer_platt.1D","1D","packer_platt",1.5,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","panicu_virga.1D","1D","panicu_virga",3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,3.5,4,4,4,4,4,4
"48","pediom_argop.1D","1D","pediom_argop",3,2,2,2,2,2,2,2,3,4,4,5,6,6,5,4,4,3,2,2,1,2,2,2,1,2,2,2,2,2,2
"49","pediom_escul.1D","1D","pediom_escul",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50","pediom_tenui.1D","1D","pediom_tenui",1,1,0,0,0,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
"51","physal_pumil.1D","1D","physal_pumil",1.5,2,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"52","ratibi_colum.1D","1D","ratibi_colum",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"53","rosa_arkan.1D","1D","rosa_arkan",2,1,0,2,1,1.5,1.5,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1
"54","ruelli_humil.1D","1D","ruelli_humil",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55","salvia_azure.1D","1D","salvia_azure",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1.5,2,2,2,2,2,2,2,2
"56","schiza_scopa.1D","1D","schiza_scopa",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4
"57","sisyri_campe.1D","1D","sisyri_campe",2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1
"58","solanu_carol.1D","1D","solanu_carol",1.5,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"59","solida_altis.1D","1D","solida_altis",2,2,2,2,1,1,1,1.5,2,1,1.5,1,2,2,2,1.5,1,1,1.5,2,1,1,2,1.5,2,2,2,2,2.5,3,3
"60","solida_misso.1D","1D","solida_misso",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.5,1.5,1,1,1,1,1,1.5
"61","solida_rigid.1D","1D","solida_rigid",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","sorgha_nutan.1D","1D","sorgha_nutan",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2.5,3,3,3,3,3,3,3
"63","sporob_compo.1D","1D","sporob_compo",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","sporob_heter.1D","1D","sporob_heter",2,2,2,2,1.5,1.5,1,1,1,1,1.5,2,2,2,1,2,2,2,2,2,1,2,0,1,2,1.5,2,2,2,1,1.5
"65","stroph_leios.1D","1D","stroph_leios",1.5,1,2,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"66","sympho_orbic.1D","1D","sympho_orbic",1,1,1.5,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"67","symphy_erico.1D","1D","symphy_erico",2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68","symphy_oblon.1D","1D","symphy_oblon",2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1.5,0,2,1,1,1.5,1.5,1.5,1.5,1.5
"69","symphy_seric.1D","1D","symphy_seric",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"70","tragia_beton.1D","1D","tragia_beton",1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
"71","verben_stric.1D","1D","verben_stric",1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0
"72","vernon_baldw.1D","1D","vernon_baldw",2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1
"73","viola_nephr.1D","1D","viola_nephr",1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","viola_pedat.1D","1D","viola_pedat",1.5,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0
"75","acalyp_virgi.20B","20B","acalyp_virgi",2,2,1,2,2,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"76","achill_mille.20B","20B","achill_mille",1,2,2,2,2,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77","agrost_hyema.20B","20B","agrost_hyema",1.5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,1,0
"78","ambros_psilo.20B","20B","ambros_psilo",1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1.5,1,1.5,2,2,2,2,2,1,1,1,1,1
"79","amorph_canes.20B","20B","amorph_canes",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"80","androp_gerar.20B","20B","androp_gerar",4,4,5,5,5,5,5,5,4.5,4,5,4,4,4,4,4,4,4,3.5,4,4,4,3,4,4,4,4,4,4,4,4
"81","antenn_negle.20B","20B","antenn_negle",2,2,1.5,2,1.5,2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"82","apocyn_canna.20B","20B","apocyn_canna",1,2,1.5,2,2,2,2,2,2,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"83","argemo_polya.20B","20B","argemo_polya",1.5,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","arnogl_plant.20B","20B","arnogl_plant",1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85","artemi_ludov.20B","20B","artemi_ludov",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2
"86","asclep_steno.20B","20B","asclep_steno",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1
"87","asclep_syria.20B","20B","asclep_syria",2,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
