species.watershed,Watershed_name,Genus_spp,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
achill_mille.1D,1D,achill_mille,31,0.48,0.0068781768234081634,0.75,0.2,NA,9,-1,Decreasing
ambros_psilo.1D,1D,ambros_psilo,31,1,0.0607219234556129,0.6875,1,0.009213517951520575,5,0,Recurrent
amorph_canes.1D,1D,amorph_canes,31,1,0.9738274065893568,1,0.9333333333333333,0.6035755086858975,2,0,Random
androp_gerar.1D,1D,androp_gerar,31,1,0.01805085266521226,0.3125,0.8,NA,11,1,Increasing
antenn_negle.1D,1D,antenn_negle,31,0.71,0.001030537674362584,1,0.4,NA,3,-1,Decreasing
apocyn_canna.1D,1D,apocyn_canna,31,0.71,0.9084960462271647,0.75,0.6666666666666666,0.7079676781006858,14,0,Random
arnogl_plant.1D,1D,arnogl_plant,31,0.52,1,0.5,0.5333333333333333,0.18181665042692735,13,0,Random
artemi_ludov.1D,1D,artemi_ludov,31,1,0.24735482306428383,0.1875,0,0.0560820490128325,4,0,Random
asclep_steno.1D,1D,asclep_steno,31,1,NA,NA,NA,NA,0,NA,Invariant
asclep_syria.1D,1D,asclep_syria,31,0.42000000000000004,0.9999999999999997,0.4375,0.4,3.1840052171206096e-4,6,0,Recurrent
asclep_verti.1D,1D,asclep_verti,31,1,0.4938029646320821,0.125,0,1.3755538820213215e-6,1,0,Recurrent
asclep_virdf.1D,1D,asclep_virdf,31,1,NA,NA,NA,NA,0,NA,Invariant
asclep_virds.1D,1D,asclep_virds,31,1,0.5856318386342959,0.4375,0.6,9.580607150506351e-4,7,0,Recurrent
astrag_crass.1D,1D,astrag_crass,31,0.13,0.12381749876088588,0.25,0,0.047322364103480605,5,0,Recurrent
baptis_bract.1D,1D,baptis_bract,31,1,8.508286324362016e-4,0.625,0,NA,5,-1,Decreasing
boutel_curti.1D,1D,boutel_curti,31,1,0.4457475743700233,0.3125,0.13333333333333333,9.779564656475287e-4,5,0,Recurrent
boutel_graci.1D,1D,boutel_graci,31,0.94,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
boutel_hirsu.1D,1D,boutel_hirsu,31,0.5800000000000001,0.0021691433174929574,0.875,0.26666666666666666,NA,7,-1,Decreasing
bricke_eupat.1D,1D,bricke_eupat,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
callir_invol.1D,1D,callir_invol,31,0.61,2.6574051326725527e-5,1,0.2,NA,1,-1,Decreasing
carex_brevi.1D,1D,carex_brevi,31,0.9,0.24735482306428383,0.8125,1,6.487325970637214e-5,2,0,Recurrent
carex_gravi.1D,1D,carex_gravi,31,0.39,0.0887889536306751,0.5625,0.2,0.25481427188414496,13,0,Random
carex_inops.1D,1D,carex_inops,31,0.87,0.0607219234556129,0.3125,0,8.89012572017322e-5,3,0,Recurrent
carex_meadi.1D,1D,carex_meadi,31,0.94,0.4938029646320821,0.875,1,0.001447721282176437,2,0,Recurrent
ceanot_herba.1D,1D,ceanot_herba,31,0.97,0.014700550967152358,0.625,0.13333333333333333,NA,5,-1,Decreasing
cirsiu_undul.1D,1D,cirsiu_undul,31,1,NA,NA,NA,NA,0,NA,Invariant
dalea_candi.1D,1D,dalea_candi,31,1,0.24735482306428383,0.1875,0,3.7850061085042235e-7,1,0,Recurrent
dalea_multi.1D,1D,dalea_multi,31,0.09999999999999998,NA,NA,NA,NA,3,NA,Rare
dalea_purpu.1D,1D,dalea_purpu,31,1,0.12381749876088588,0.25,0,1.9998841638841e-7,1,0,Recurrent
delphi_carol.1D,1D,delphi_carol,31,0.26,0.2601470231694908,0.375,0.13333333333333333,0.009423484253754045,7,0,Recurrent
