"","Watershed1","Watershed2","JaccDiss_year1","JaccDiss_year31","JaccDiss_overall","BrayDiss_overall"
"1","1D","1D",0,0,0,0
"2","20B","1D",0.470588235294118,0.676691729323308,0.522388059701492,0.600947757564111
"3","4A","1D",0.394230769230769,0.509615384615385,0.452127659574468,0.422969252762171
"4","4B","1D",0.464912280701754,0.544554455445545,0.49746192893401,0.489993176812326
"5","N1B","1D",0.466101694915254,0.630872483221476,0.545045045045045,0.492384266610362
"6","N20B","1D",0.694214876033058,0.714285714285714,0.612781954887218,0.595031340183805
"7","N4A","1D",0.461538461538462,0.678787878787879,0.539823008849558,0.477185331823049
"8","N4D","1D",0.472,0.685393258426966,0.59349593495935,0.558285572446963
"9","1D","20B",0.470588235294118,0.676691729323308,0.522388059701492,0.600947757564111
"10","20B","20B",0,0,0,0
"11","4A","20B",0.441860465116279,0.507142857142857,0.393162393162393,0.425809295795434
"12","4B","20B",0.3671875,0.522058823529412,0.350649350649351,0.34918725238951
"13","N1B","20B",0.407407407407407,0.59016393442623,0.436781609195402,0.466818084107831
"14","N20B","20B",0.556390977443609,0.541666666666667,0.355072463768116,0.319069230804331
"15","N4A","20B",0.46031746031746,0.575916230366492,0.43984962406015,0.39004210196947
"16","N4D","20B",0.357664233576642,0.530612244897959,0.373584905660377,0.382173027362866
"17","1D","4A",0.394230769230769,0.509615384615385,0.452127659574468,0.422969252762171
"18","20B","4A",0.441860465116279,0.507142857142857,0.393162393162393,0.425809295795434
"19","4A","4A",0,0,0,0
"20","4B","4A",0.40983606557377,0.407079646017699,0.295454545454545,0.261179093418279
"21","N1B","4A",0.461538461538462,0.527950310559006,0.37246963562753,0.42341136699433
"22","N20B","4A",0.659090909090909,0.572815533980582,0.376811594202899,0.402567011523091
"23","N4A","4A",0.372727272727273,0.497005988023952,0.323770491803279,0.312561681879642
"24","N4D","4A",0.455882352941176,0.540983606557377,0.33984375,0.356566912906828
"25","1D","4B",0.464912280701754,0.544554455445545,0.49746192893401,0.489993176812326
"26","20B","4B",0.3671875,0.522058823529412,0.350649350649351,0.34918725238951
"27","4A","4B",0.40983606557377,0.407079646017699,0.295454545454545,0.261179093418279
"28","4B","4B",0,0,0,0
"29","N1B","4B",0.4,0.603658536585366,0.358870967741935,0.427265204663927
"30","N20B","4B",0.52,0.598039215686274,0.328413284132841,0.345618790039156
"31","N4A","4B",0.359649122807018,0.553571428571429,0.323886639676113,0.309363558741709
"32","N4D","4B",0.373134328358209,0.576923076923077,0.313725490196078,0.336822904912793
"33","1D","N1B",0.466101694915254,0.630872483221476,0.545045045045045,0.492384266610362
"34","20B","N1B",0.407407407407407,0.59016393442623,0.436781609195402,0.466818084107831
"35","4A","N1B",0.461538461538462,0.527950310559006,0.37246963562753,0.42341136699433
"36","4B","N1B",0.4,0.603658536585366,0.358870967741935,0.427265204663927
"37","N1B","N1B",0,0,0,0
"38","N20B","N1B",0.530769230769231,0.350961538461538,0.303886925795053,0.397022871833171
"39","N4A","N1B",0.430894308943089,0.305084745762712,0.263779527559055,0.245603289429952
"40","N4D","N1B",0.340740740740741,0.282608695652174,0.262357414448669,0.344949941058344
"41","1D","N20B",0.694214876033058,0.714285714285714,0.612781954887218,0.595031340183805
"42","20B","N20B",0.556390977443609,0.541666666666667,0.355072463768116,0.319069230804331
"43","4A","N20B",0.659090909090909,0.572815533980582,0.376811594202899,0.402567011523091
"44","4B","N20B",0.52,0.598039215686274,0.328413284132841,0.345618790039156
"45","N1B","N20B",0.530769230769231,0.350961538461538,0.303886925795053,0.397022871833171
"46","N20B","N20B",0,0,0,0
"47","N4A","N20B",0.60655737704918,0.354838709677419,0.297202797202797,0.322013268526263
"48","N4D","N20B",0.5,0.265116279069767,0.241258741258741,0.207619616765013
"49","1D","N4A",0.461538461538462,0.678787878787879,0.539823008849558,0.477185331823049
"50","20B","N4A",0.46031746031746,0.575916230366492,0.43984962406015,0.39004210196947
"51","4A","N4A",0.372727272727273,0.497005988023952,0.323770491803279,0.312561681879642
"52","4B","N4A",0.359649122807018,0.553571428571429,0.323886639676113,0.309363558741709
"53","N1B","N4A",0.430894308943089,0.305084745762712,0.263779527559055,0.245603289429952
"54","N20B","N4A",0.60655737704918,0.354838709677419,0.297202797202797,0.322013268526263
"55","N4A","N4A",0,0,0,0
"56","N4D","N4A",0.4140625,0.333333333333333,0.262172284644195,0.287472149152563
"57","1D","N4D",0.472,0.685393258426966,0.59349593495935,0.558285572446963
"58","20B","N4D",0.357664233576642,0.530612244897959,0.373584905660377,0.382173027362866
"59","4A","N4D",0.455882352941176,0.540983606557377,0.33984375,0.356566912906828
"60","4B","N4D",0.373134328358209,0.576923076923077,0.313725490196078,0.336822904912793
"61","N1B","N4D",0.340740740740741,0.282608695652174,0.262357414448669,0.344949941058344
"62","N20B","N4D",0.5,0.265116279069767,0.241258741258741,0.207619616765013
"63","N4A","N4D",0.4140625,0.333333333333333,0.262172284644195,0.287472149152563
"64","N4D","N4D",0,0,0,0
