"","watershed.Watershed1","watershed.Year1","watershed.Watershed2","watershed.Year2","watershed.jaccard_diss","watershed.gower_diss"
"1","1D",1992,"1D",1992,0,0
"2","1D",1992,"20B",1992,0.470588235294118,0.149741258741259
"3","1D",1992,"4A",1992,0.394230769230769,0.123383616383616
"4","1D",1992,"4B",1992,0.464912280701754,0.153527805527806
"5","1D",1992,"N1B",1992,0.466101694915254,0.141575091575092
"6","1D",1992,"N20B",1992,0.694214876033058,0.177311688311688
"7","1D",1992,"N4A",1992,0.461538461538462,0.131624042624043
"8","1D",1992,"N4D",1992,0.472,0.159168831168831
"9","1D",1993,"1D",1993,0,0
"10","1D",1993,"20B",1993,0.490566037735849,0.131261627261627
"11","1D",1993,"4A",1993,0.5,0.146464535464535
"12","1D",1993,"4B",1993,0.481481481481481,0.147034632034632
"13","1D",1993,"N1B",1993,0.43010752688172,0.0859010989010989
"14","1D",1993,"N20B",1993,0.550387596899225,0.168674325674326
"15","1D",1993,"N4A",1993,0.539130434782609,0.145835497835498
"16","1D",1993,"N4D",1993,0.525862068965517,0.134615717615718
"17","1D",1994,"1D",1994,0,0
"18","1D",1994,"20B",1994,0.52,0.12581351981352
"19","1D",1994,"4A",1994,0.532710280373832,0.132977355977356
"20","1D",1994,"4B",1994,0.5,0.12138628038628
"21","1D",1994,"N1B",1994,0.489130434782609,0.0982051282051282
"22","1D",1994,"N20B",1994,0.592307692307692,0.160795204795205
"23","1D",1994,"N4A",1994,0.51,0.101624042624043
"24","1D",1994,"N4D",1994,0.548672566371681,0.148725607725608
"25","1D",1995,"1D",1995,0,0
"26","1D",1995,"20B",1995,0.514563106796116,0.140439893439893
"27","1D",1995,"4A",1995,0.509433962264151,0.122175158175158
"28","1D",1995,"4B",1995,0.474747474747475,0.123359307359307
"29","1D",1995,"N1B",1995,0.518181818181818,0.117648351648352
"30","1D",1995,"N20B",1995,0.573643410852713,0.146641358641359
"31","1D",1995,"N4A",1995,0.475728155339806,0.118051615051615
"32","1D",1995,"N4D",1995,0.553719008264463,0.145784215784216
"33","1D",1996,"1D",1996,0,0
"34","1D",1996,"20B",1996,0.471153846153846,0.146982017982018
"35","1D",1996,"4A",1996,0.475728155339806,0.0835048285048285
"36","1D",1996,"4B",1996,0.450980392156863,0.111820845820846
"37","1D",1996,"N1B",1996,0.432692307692308,0.0851611721611721
"38","1D",1996,"N20B",1996,0.53968253968254,0.171073593073593
"39","1D",1996,"N4A",1996,0.470588235294118,0.10710656010656
"40","1D",1996,"N4D",1996,0.53968253968254,0.111686535686536
"41","1D",1997,"1D",1997,0,0
"42","1D",1997,"20B",1997,0.459459459459459,0.125571761571762
"43","1D",1997,"4A",1997,0.456140350877193,0.0943153513153513
"44","1D",1997,"4B",1997,0.440366972477064,0.11947286047286
"45","1D",1997,"N1B",1997,0.418181818181818,0.0795091575091575
"46","1D",1997,"N20B",1997,0.49618320610687,0.137083583083583
"47","1D",1997,"N4A",1997,0.461538461538462,0.110443556443556
"48","1D",1997,"N4D",1997,0.496124031007752,0.112393495393495
"49","1D",1998,"1D",1998,0,0
"50","1D",1998,"20B",1998,0.469565217391304,0.114824508824509
"51","1D",1998,"4A",1998,0.491071428571429,0.0976277056277056
"52","1D",1998,"4B",1998,0.42,0.0993166833166833
"53","1D",1998,"N1B",1998,0.468468468468469,0.0964908424908425
"54","1D",1998,"N20B",1998,0.521739130434783,0.15081351981352
"55","1D",1998,"N4A",1998,0.473684210526316,0.115051615051615
"56","1D",1998,"N4D",1998,0.51937984496124,0.113623043623044
"57","1D",1999,"1D",1999,0,0
"58","1D",1999,"20B",1999,0.52755905511811,0.153725607725608
"59","1D",1999,"4A",1999,0.436974789915966,0.0816460206460206
"60","1D",1999,"4B",1999,0.487603305785124,0.139545121545122
"61","1D",1999,"N1B",1999,0.482456140350877,0.0938571428571428
"62","1D",1999,"N20B",1999,0.559440559440559,0.184614718614719
"63","1D",1999,"N4A",1999,0.5,0.118634032634033
"64","1D",1999,"N4D",1999,0.496240601503759,0.106792873792874
"65","1D",2000,"1D",2000,0,0
"66","1D",2000,"20B",2000,0.53448275862069,0.124614718614719
"67","1D",2000,"4A",2000,0.548387096774194,0.123820845820846
"68","1D",2000,"4B",2000,0.495575221238938,0.118998334998335
"69","1D",2000,"N1B",2000,0.508771929824561,0.0945567765567765
"70","1D",2000,"N20B",2000,0.564285714285714,0.160966366966367
"71","1D",2000,"N4A",2000,0.477477477477477,0.0859087579087579
"72","1D",2000,"N4D",2000,0.524193548387097,0.122511155511156
"73","1D",2001,"1D",2001,0,0
"74","1D",2001,"20B",2001,0.472727272727273,0.110449883449883
"75","1D",2001,"4A",2001,0.495798319327731,0.118787878787879
"76","1D",2001,"4B",2001,0.458715596330275,0.109149517149517
"77","1D",2001,"N1B",2001,0.531746031746032,0.12903663003663
"78","1D",2001,"N20B",2001,0.556338028169014,0.150894105894106
"79","1D",2001,"N4A",2001,0.532258064516129,0.124267732267732
"80","1D",2001,"N4D",2001,0.496062992125984,0.10786013986014
"81","1D",2002,"1D",2002,0,0
"82","1D",2002,"20B",2002,0.408163265306122,0.107083361083361
"83","1D",2002,"4A",2002,0.441176470588235,0.0963802863802863
"84","1D",2002,"4B",2002,0.454545454545455,0.103737262737263
"85","1D",2002,"N1B",2002,0.453703703703704,0.0927106227106227
"86","1D",2002,"N20B",2002,0.567375886524823,0.163528138528139
"87","1D",2002,"N4A",2002,0.477064220183486,0.0934875124875124
"88","1D",2002,"N4D",2002,0.532846715328467,0.130434232434232
"89","1D",2003,"1D",2003,0,0
"90","1D",2003,"20B",2003,0.495049504950495,0.114924741924742
"91","1D",2003,"4A",2003,0.455445544554455,0.102259407259407
"92","1D",2003,"4B",2003,0.434343434343434,0.0992354312354312
"93","1D",2003,"N1B",2003,0.478260869565217,0.110450549450549
"94","1D",2003,"N20B",2003,0.570422535211268,0.166585414585415
"95","1D",2003,"N4A",2003,0.552,0.126308025308025
"96","1D",2003,"N4D",2003,0.550724637681159,0.14254045954046
"97","1D",2004,"1D",2004,0,0
"98","1D",2004,"20B",2004,0.555555555555556,0.110930735930736
"99","1D",2004,"4A",2004,0.48,0.0965194805194805
"100","1D",2004,"4B",2004,0.458333333333333,0.0951132201132201
"101","1D",2004,"N1B",2004,0.531531531531532,0.102168498168498
"102","1D",2004,"N20B",2004,0.560606060606061,0.134556110556111
"103","1D",2004,"N4A",2004,0.525423728813559,0.10110656010656
"104","1D",2004,"N4D",2004,0.57037037037037,0.140045954045954
"105","1D",2005,"1D",2005,0,0
"106","1D",2005,"20B",2005,0.525773195876289,0.105271395271395
"107","1D",2005,"4A",2005,0.5,0.0874891774891774
"108","1D",2005,"4B",2005,0.472527472527473,0.0807261627261627
"109","1D",2005,"N1B",2005,0.530434782608696,0.111168498168498
"110","1D",2005,"N20B",2005,0.623188405797101,0.143508491508492
"111","1D",2005,"N4A",2005,0.580645161290323,0.111575424575425
"112","1D",2005,"N4D",2005,0.578947368421053,0.130654012654013
"113","1D",2006,"1D",2006,0,0
"114","1D",2006,"20B",2006,0.526315789473684,0.127241092241092
"115","1D",2006,"4A",2006,0.491071428571429,0.0957712287712287
"116","1D",2006,"4B",2006,0.481481481481481,0.103680874680875
"117","1D",2006,"N1B",2006,0.548387096774194,0.122732600732601
"118","1D",2006,"N20B",2006,0.579310344827586,0.160932400932401
"119","1D",2006,"N4A",2006,0.52755905511811,0.119809856809857
"120","1D",2006,"N4D",2006,0.572413793103448,0.15067476967477
"121","1D",2007,"1D",2007,0,0
"122","1D",2007,"20B",2007,0.555555555555556,0.109747585747586
"123","1D",2007,"4A",2007,0.518867924528302,0.111338994338994
"124","1D",2007,"4B",2007,0.474226804123711,0.0984979464979465
"125","1D",2007,"N1B",2007,0.574803149606299,0.135326007326007
"126","1D",2007,"N20B",2007,0.591549295774648,0.154463536463536
"127","1D",2007,"N4A",2007,0.547619047619048,0.111751248751249
"128","1D",2007,"N4D",2007,0.590277777777778,0.159085026085026
"129","1D",2008,"1D",2008,0,0
"130","1D",2008,"20B",2008,0.504424778761062,0.111977355977356
"131","1D",2008,"4A",2008,0.466019417475728,0.101130203130203
"132","1D",2008,"4B",2008,0.480392156862745,0.103399156399156
"133","1D",2008,"N1B",2008,0.533333333333333,0.119714285714286
"134","1D",2008,"N20B",2008,0.586206896551724,0.144441558441559
"135","1D",2008,"N4A",2008,0.534883720930233,0.114312687312687
"136","1D",2008,"N4D",2008,0.58041958041958,0.160351204351204
"137","1D",2009,"1D",2009,0,0
"138","1D",2009,"20B",2009,0.548672566371681,0.109507270507271
"139","1D",2009,"4A",2009,0.475728155339806,0.0956173826173826
"140","1D",2009,"4B",2009,0.41,0.0817910977910978
"141","1D",2009,"N1B",2009,0.512,0.113886446886447
"142","1D",2009,"N20B",2009,0.587096774193548,0.157188811188811
"143","1D",2009,"N4A",2009,0.551470588235294,0.128619380619381
"144","1D",2009,"N4D",2009,0.525179856115108,0.123259629259629
"145","1D",2010,"1D",2010,0,0
"146","1D",2010,"20B",2010,0.560747663551402,0.11578465978466
"147","1D",2010,"4A",2010,0.48,0.0894855144855145
"148","1D",2010,"4B",2010,0.494623655913978,0.0873052503052503
"149","1D",2010,"N1B",2010,0.577235772357724,0.133992673992674
"150","1D",2010,"N20B",2010,0.618055555555556,0.146177822177822
"151","1D",2010,"N4A",2010,0.624113475177305,0.14744721944722
"152","1D",2010,"N4D",2010,0.624161073825503,0.159069153069153
"153","1D",2011,"1D",2011,0,0
"154","1D",2011,"20B",2011,0.56,0.0993744033744033
"155","1D",2011,"4A",2011,0.472527472527473,0.0751228771228771
"156","1D",2011,"4B",2011,0.458823529411765,0.0756849816849817
"157","1D",2011,"N1B",2011,0.582608695652174,0.114553113553114
"158","1D",2011,"N20B",2011,0.627737226277372,0.137420801420801
"159","1D",2011,"N4A",2011,0.570247933884298,0.121217782217782
"160","1D",2011,"N4D",2011,0.574803149606299,0.123239982239982
"161","1D",2012,"1D",2012,0,0
"162","1D",2012,"20B",2012,0.520833333333333,0.09206549006549
"163","1D",2012,"4A",2012,0.510869565217391,0.0798115218115218
"164","1D",2012,"4B",2012,0.528735632183908,0.0794517704517704
"165","1D",2012,"N1B",2012,0.615384615384615,0.118274725274725
"166","1D",2012,"N20B",2012,0.638297872340426,0.159722610722611
"167","1D",2012,"N4A",2012,0.579831932773109,0.11164035964036
"168","1D",2012,"N4D",2012,0.581967213114754,0.115147075147075
"169","1D",2013,"1D",2013,0,0
"170","1D",2013,"20B",2013,0.564356435643564,0.100602841602842
"171","1D",2013,"4A",2013,0.494949494949495,0.0808398268398268
"172","1D",2013,"4B",2013,0.53,0.0954627594627594
"173","1D",2013,"N1B",2013,0.591666666666667,0.123695970695971
"174","1D",2013,"N20B",2013,0.655629139072848,0.165552780552781
"175","1D",2013,"N4A",2013,0.580152671755725,0.136288711288711
"176","1D",2013,"N4D",2013,0.627737226277372,0.157255744255744
"177","1D",2014,"1D",2014,0,0
"178","1D",2014,"20B",2014,0.633663366336634,0.106682095682096
"179","1D",2014,"4A",2014,0.510416666666667,0.0852037962037962
"180","1D",2014,"4B",2014,0.580645161290323,0.0942673992673992
"181","1D",2014,"N1B",2014,0.612068965517241,0.124150183150183
"182","1D",2014,"N20B",2014,0.676056338028169,0.155390276390276
"183","1D",2014,"N4A",2014,0.609756097560976,0.130105561105561
"184","1D",2014,"N4D",2014,0.661870503597122,0.167427905427905
"185","1D",2015,"1D",2015,0,0
"186","1D",2015,"20B",2015,0.625,0.124854478854479
"187","1D",2015,"4A",2015,0.514851485148515,0.0989726939726939
"188","1D",2015,"4B",2015,0.575757575757576,0.112489621489621
"189","1D",2015,"N1B",2015,0.669172932330827,0.160860805860806
"190","1D",2015,"N20B",2015,0.703488372093023,0.211500166500167
"191","1D",2015,"N4A",2015,0.645833333333333,0.171026196026196
"192","1D",2015,"N4D",2015,0.664556962025316,0.187476745476746
"193","1D",2016,"1D",2016,0,0
"194","1D",2016,"20B",2016,0.611570247933884,0.128230547230547
"195","1D",2016,"4A",2016,0.528846153846154,0.107987345987346
"196","1D",2016,"4B",2016,0.551020408163265,0.103346764346764
"197","1D",2016,"N1B",2016,0.62589928057554,0.157461538461539
"198","1D",2016,"N20B",2016,0.687150837988827,0.214708957708958
"199","1D",2016,"N4A",2016,0.640522875816993,0.167918636918637
"200","1D",2016,"N4D",2016,0.654320987654321,0.180378843378843
"201","1D",2017,"1D",2017,0,0
"202","1D",2017,"20B",2017,0.62992125984252,0.151960705960706
"203","1D",2017,"4A",2017,0.570175438596491,0.118690642690643
"204","1D",2017,"4B",2017,0.520833333333333,0.0929240759240759
"205","1D",2017,"N1B",2017,0.678832116788321,0.16548717948718
"206","1D",2017,"N20B",2017,0.723404255319149,0.23416317016317
"207","1D",2017,"N4A",2017,0.673202614379085,0.175070152070152
"208","1D",2017,"N4D",2017,0.71264367816092,0.214877011877012
"209","1D",2018,"1D",2018,0,0
"210","1D",2018,"20B",2018,0.622950819672131,0.135935064935065
"211","1D",2018,"4A",2018,0.485714285714286,0.092038628038628
"212","1D",2018,"4B",2018,0.510416666666667,0.087053502053502
"213","1D",2018,"N1B",2018,0.62406015037594,0.148249084249084
"214","1D",2018,"N20B",2018,0.655172413793103,0.202357309357309
"215","1D",2018,"N4A",2018,0.62987012987013,0.169916305916306
"216","1D",2018,"N4D",2018,0.679558011049724,0.227037185037185
"217","1D",2019,"1D",2019,0,0
"218","1D",2019,"20B",2019,0.669230769230769,0.157294039294039
"219","1D",2019,"4A",2019,0.53448275862069,0.12576023976024
"220","1D",2019,"4B",2019,0.619469026548673,0.121422466422466
"221","1D",2019,"N1B",2019,0.664473684210526,0.192996336996337
"222","1D",2019,"N20B",2019,0.691099476439791,0.230694305694306
"223","1D",2019,"N4A",2019,0.668674698795181,0.199425463425463
"224","1D",2019,"N4D",2019,0.679775280898876,0.21646941946942
"225","1D",2020,"1D",2020,0,0
"226","1D",2020,"20B",2020,0.661417322834646,0.154642024642025
"227","1D",2020,"4A",2020,0.545454545454545,0.109616161616162
"228","1D",2020,"4B",2020,0.564356435643564,0.103136752136752
"229","1D",2020,"N1B",2020,0.675324675324675,0.196941391941392
"230","1D",2020,"N20B",2020,0.715025906735751,0.246717726717727
"231","1D",2020,"N4A",2020,0.695402298850575,0.218601287601288
"232","1D",2020,"N4D",2020,0.702857142857143,0.222515817515818
"233","1D",2021,"1D",2021,0,0
"234","1D",2021,"20B",2021,0.674074074074074,0.169605394605395
"235","1D",2021,"4A",2021,0.531531531531532,0.103927516927517
"236","1D",2021,"4B",2021,0.574074074074074,0.119095016095016
"237","1D",2021,"N1B",2021,0.655405405405405,0.170494505494506
"238","1D",2021,"N20B",2021,0.71,0.25233411033411
"239","1D",2021,"N4A",2021,0.67065868263473,0.192564657564658
"240","1D",2021,"N4D",2021,0.702247191011236,0.216996891996892
