"","baseline.Watershed1","baseline.Year1","Watershed_name","baseline.Year2","baseline.jaccard_diss","baseline.gower_diss"
"1","1D",1992,"1D",1992,0,0
"2","1D",1992,"1D",1993,0.275,0.0715274725274725
"3","1D",1992,"1D",1994,0.333333333333333,0.0695567765567766
"4","1D",1992,"1D",1995,0.256410256410256,0.0618571428571429
"5","1D",1992,"1D",1996,0.207792207792208,0.0821208791208791
"6","1D",1992,"1D",1997,0.214285714285714,0.0897142857142857
"7","1D",1992,"1D",1998,0.2125,0.0919230769230769
"8","1D",1992,"1D",1999,0.228915662650602,0.0984029304029304
"9","1D",1992,"1D",2000,0.205128205128205,0.0897032967032967
"10","1D",1992,"1D",2001,0.234567901234568,0.0922930402930403
"11","1D",1992,"1D",2002,0.27710843373494,0.0888608058608058
"12","1D",1992,"1D",2003,0.225,0.0784725274725275
"13","1D",1992,"1D",2004,0.3125,0.094021978021978
"14","1D",1992,"1D",2005,0.30379746835443,0.0970622710622711
"15","1D",1992,"1D",2006,0.227848101265823,0.0908534798534799
"16","1D",1992,"1D",2007,0.275,0.0996336996336996
"17","1D",1992,"1D",2008,0.234567901234568,0.100505494505494
"18","1D",1992,"1D",2009,0.209876543209877,0.0975567765567765
"19","1D",1992,"1D",2010,0.291139240506329,0.0985091575091575
"20","1D",1992,"1D",2011,0.285714285714286,0.0943333333333333
"21","1D",1992,"1D",2012,0.285714285714286,0.102472527472527
"22","1D",1992,"1D",2013,0.307692307692308,0.101333333333333
"23","1D",1992,"1D",2014,0.40506329113924,0.106150183150183
"24","1D",1992,"1D",2015,0.375,0.101879120879121
"25","1D",1992,"1D",2016,0.36144578313253,0.103842490842491
"26","1D",1992,"1D",2017,0.37037037037037,0.103901098901099
"27","1D",1992,"1D",2018,0.349397590361446,0.100106227106227
"28","1D",1992,"1D",2019,0.357142857142857,0.102307692307692
"29","1D",1992,"1D",2020,0.409638554216867,0.108003663003663
"30","1D",1992,"1D",2021,0.416666666666667,0.109190476190476
"31","1D",1992,"1D",2022,0.392857142857143,0.111571428571429
"32","20B",1992,"20B",1992,0,0
"33","20B",1992,"20B",1993,0.31404958677686,0.111487401487401
"34","20B",1992,"20B",1994,0.333333333333333,0.124332334332334
"35","20B",1992,"20B",1995,0.368852459016393,0.126958707958708
"36","20B",1992,"20B",1996,0.322314049586777,0.117281052281052
"37","20B",1992,"20B",1997,0.376,0.144746253746254
"38","20B",1992,"20B",1998,0.252032520325203,0.117782883782884
"39","20B",1992,"20B",1999,0.27906976744186,0.120255411255411
"40","20B",1992,"20B",2000,0.304,0.117433899433899
"41","20B",1992,"20B",2001,0.37007874015748,0.115954045954046
"42","20B",1992,"20B",2002,0.401639344262295,0.125821955821956
"43","20B",1992,"20B",2003,0.372881355932203,0.119634032634033
"44","20B",1992,"20B",2004,0.403361344537815,0.130500832500833
"45","20B",1992,"20B",2005,0.394957983193277,0.12493672993673
"46","20B",1992,"20B",2006,0.346456692913386,0.133012654012654
"47","20B",1992,"20B",2007,0.333333333333333,0.122321345321345
"48","20B",1992,"20B",2008,0.336,0.126089577089577
"49","20B",1992,"20B",2009,0.379032258064516,0.140626817626818
"50","20B",1992,"20B",2010,0.417322834645669,0.150105672105672
"51","20B",1992,"20B",2011,0.40983606557377,0.138222888222888
"52","20B",1992,"20B",2012,0.451612903225806,0.146935952935953
"53","20B",1992,"20B",2013,0.42741935483871,0.14552824952825
"54","20B",1992,"20B",2014,0.435483870967742,0.145142302142302
"55","20B",1992,"20B",2015,0.496350364963504,0.183790875790876
"56","20B",1992,"20B",2016,0.471428571428571,0.176815295815296
"57","20B",1992,"20B",2017,0.486486486486487,0.186640692640693
"58","20B",1992,"20B",2018,0.510489510489511,0.178409923409923
"59","20B",1992,"20B",2019,0.471830985915493,0.179508824508825
"60","20B",1992,"20B",2020,0.533333333333333,0.208516150516151
"61","20B",1992,"20B",2021,0.566037735849057,0.229875124875125
"62","20B",1992,"20B",2022,0.551948051948052,0.22471028971029
"63","4A",1992,"4A",1992,0,0
"64","4A",1992,"4A",1993,0.355932203389831,0.140007659007659
"65","4A",1992,"4A",1994,0.327586206896552,0.120395937395937
"66","4A",1992,"4A",1995,0.3125,0.115696303696304
"67","4A",1992,"4A",1996,0.324324324324324,0.0941322011322011
"68","4A",1992,"4A",1997,0.307017543859649,0.0993053613053613
"69","4A",1992,"4A",1998,0.35042735042735,0.09805994005994
"70","4A",1992,"4A",1999,0.32520325203252,0.102404262404262
"71","4A",1992,"4A",2000,0.37007874015748,0.123847485847486
"72","4A",1992,"4A",2001,0.362903225806452,0.116012321012321
"73","4A",1992,"4A",2002,0.351351351351351,0.116956376956377
"74","4A",1992,"4A",2003,0.398230088495575,0.115077256077256
"75","4A",1992,"4A",2004,0.385964912280702,0.105187146187146
"76","4A",1992,"4A",2005,0.390909090909091,0.0984498834498834
"77","4A",1992,"4A",2006,0.310344827586207,0.103658674658675
