"","Watershed_name","Recyear","Richness"
"1","1D",1992,74
"2","1D",1993,64
"3","1D",1994,56
"4","1D",1995,62
"5","1D",1996,64
"6","1D",1997,76
"7","1D",1998,69
"8","1D",1999,73
"9","1D",2000,66
"10","1D",2001,69
"11","1D",2002,69
"12","1D",2003,68
"13","1D",2004,61
"14","1D",2005,60
"15","1D",2006,66
"16","1D",2007,64
"17","1D",2008,69
"18","1D",2009,71
"19","1D",2010,61
"20","1D",2011,58
"21","1D",2012,58
"22","1D",2013,58
"23","1D",2014,52
"24","1D",2015,56
"25","1D",2016,62
"26","1D",2017,58
"27","1D",2018,63
"28","1D",2019,64
"29","1D",2020,58
"30","1D",2021,59
"31","1D",2022,61
"32","20B",1992,108
"33","20B",1993,96
"34","20B",1994,92
"35","20B",1995,91
"36","20B",1996,95
"37","20B",1997,95
"38","20B",1998,107
"39","20B",1999,114
"40","20B",2000,104
"41","20B",2001,99
"42","20B",2002,87
"43","20B",2003,84
"44","20B",2004,82
"45","20B",2005,83
"46","20B",2006,102
"47","20B",2007,92
"48","20B",2008,100
"49","20B",2009,93
"50","20B",2010,93
"51","20B",2011,86
"52","20B",2012,84
"53","20B",2013,87
"54","20B",2014,86
"55","20B",2015,98
"56","20B",2016,106
"57","20B",2017,116
"58","20B",2018,105
"59","20B",2019,109
"60","20B",2020,112
"61","20B",2021,120
"62","20B",2022,115
"63","4A",1992,93
"64","4A",1993,101
"65","4A",1994,101
"66","4A",1995,96
"67","4A",1996,93
"68","4A",1997,100
"69","4A",1998,100
"70","4A",1999,113
"71","4A",2000,114
"72","4A",2001,110
"73","4A",2002,90
"74","4A",2003,88
"75","4A",2004,91
"76","4A",2005,84
"77","4A",2006,103
"78","4A",2007,93
"79","4A",2008,89
"80","4A",2009,86
"81","4A",2010,91
"82","4A",2011,81
"83","4A",2012,79
"84","4A",2013,91
"85","4A",2014,91
"86","4A",2015,94
"87","4A",2016,91
"88","4A",2017,105
"89","4A",2018,96
"90","4A",2019,106
"91","4A",2020,102
"92","4A",2021,104
"93","4A",2022,94
"94","4B",1992,101
