Species,Watershed_name,Common_name,numyears,numpresent,percyears,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
Blarina_hylophaga,1D,Elliot's short-tailed shrew,22,14,0.6363636363636364,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0.65761917660119,0.7272727272727273,0.5454545454545454,0.2876978177404397,9,0,Random
Chaetodipus_hispidus,1D,Hispid pocket mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Cryptotis_parva,1D,North American least shrew,22,2,0.09090909090909091,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,NA,Rare
Microtus_ochrogaster,1D,Prairie vole,22,10,0.45454545454545453,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.19895893109240237,0.2727272727272727,0.6363636363636364,0.34432511390263826,10,0,Random
Mus_musculus,1D,House mouse,22,1,0.045454545454545456,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,Rare
Neotoma_floridana,1D,Eastern woodrat,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Peromyscus_leucopus,1D,White-footed mouse,22,6,0.2727272727272727,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.6321424221485428,0.36363636363636365,0.18181818181818182,0.3424301840860956,8,0,Random
Peromyscus_maniculatus,1D,Deer mouse,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Reithrodontomys_megalotis,1D,Western harvest mouse,22,13,0.5909090909090909,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0.6363636363636364,0.5454545454545454,0.8576644805494112,13,0,Random
Reithrodontomys_montanus,1D,Plains harvest mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Sigmodon_hispidus,1D,Hispid cotton rat,22,6,0.2727272727272727,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0.6321424221485428,0.18181818181818182,0.36363636363636365,0.8976455033305815,11,0,Random
Spermophilus_tridecemlineatus,1D,Thirteen-lined ground squirrel,22,2,0.09090909090909091,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,NA,Rare
Synaptomys_cooperi,1D,Southern bog lemming,22,3,0.13636363636363635,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.18181818181818182,0.09090909090909091,0.12232949847844306,4,0,Random
