Species.watershed,Watershed_name,Species,numyears,percyears,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
Blarina_hylophaga.1D,1D,Blarina_hylophaga,22,0.64,1,0.36363636363636365,0.2727272727272727,0.39098244340240584,9,0,Random
Chaetodipus_hispidus.1D,1D,Chaetodipus_hispidus,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Cryptotis_parva.1D,1D,Cryptotis_parva,22,0.08999999999999997,NA,NA,NA,NA,3,NA,Rare
Microtus_ochrogaster.1D,1D,Microtus_ochrogaster,22,0.44999999999999996,0.30891846698495584,0.09090909090909091,0.36363636363636365,0.568808972561399,8,0,Random
Mus_musculus.1D,1D,Mus_musculus,22,0.050000000000000044,NA,NA,NA,NA,2,NA,Rare
Neotoma_floridana.1D,1D,Neotoma_floridana,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Peromyscus_leucopus.1D,1D,Peromyscus_leucopus,22,0.27,0.6321424221485428,0.36363636363636365,0.18181818181818182,0.3424301840860956,8,0,Random
Peromyscus_maniculatus.1D,1D,Peromyscus_maniculatus,22,1,0.65761917660119,0.45454545454545453,0.2727272727272727,0.8055812512426159,12,0,Random
Reithrodontomys_megalotis.1D,1D,Reithrodontomys_megalotis,22,0.5900000000000001,1,0.2727272727272727,0.18181818181818182,0.13613780161735298,6,0,Random
Reithrodontomys_montanus.1D,1D,Reithrodontomys_montanus,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Sigmodon_hispidus.1D,1D,Sigmodon_hispidus,22,0.27,0.6321424221485428,0.18181818181818182,0.36363636363636365,0.8976455033305815,11,0,Random
Spermophilus_tridecemlineatus.1D,1D,Spermophilus_tridecemlineatus,22,0.08999999999999997,NA,NA,NA,NA,4,NA,Rare
Synaptomys_cooperi.1D,1D,Synaptomys_cooperi,22,0.14,1,0.18181818181818182,0.09090909090909091,0.12232949847844306,4,0,Random
Zapus_hudsonius.1D,1D,Zapus_hudsonius,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Blarina_hylophaga.20B,20B,Blarina_hylophaga,22,0.5900000000000001,1,0.36363636363636365,0.2727272727272727,0.8935107702540115,12,0,Random
Chaetodipus_hispidus.20B,20B,Chaetodipus_hispidus,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Cryptotis_parva.20B,20B,Cryptotis_parva,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Microtus_ochrogaster.20B,20B,Microtus_ochrogaster,22,0.86,0.35994210247514724,0.18181818181818182,0.45454545454545453,0.03601441397590354,6,0,Recurrent
Mus_musculus.20B,20B,Mus_musculus,22,0.050000000000000044,NA,NA,NA,NA,2,NA,Rare
Neotoma_floridana.20B,20B,Neotoma_floridana,22,0.36,0.0019194644992197596,0,0.7272727272727273,NA,3,1,Increasing
Peromyscus_leucopus.20B,20B,Peromyscus_leucopus,22,1,0.06710788204818692,0.09090909090909091,0.5454545454545454,0.010546155307753992,5,0,Recurrent
Peromyscus_maniculatus.20B,20B,Peromyscus_maniculatus,22,0.6799999999999999,0.30891846698495584,0.36363636363636365,0.09090909090909091,0.32195202078927604,7,0,Random
Reithrodontomys_megalotis.20B,20B,Reithrodontomys_megalotis,22,0.95,1,0.2727272727272727,0.2727272727272727,0.7612159906282363,10,0,Random
Reithrodontomys_montanus.20B,20B,Reithrodontomys_montanus,22,0,NA,NA,NA,NA,0,NA,No_change-absent
Sigmodon_hispidus.20B,20B,Sigmodon_hispidus,22,0.6799999999999999,0.38580056450828254,0.2727272727272727,0.5454545454545454,0.22944081148725978,9,0,Random
