"","Watershed1","Watershed2","JaccDiss_year1","JaccDiss_year22","JaccDiss_overall","BrayDiss_overall"
"1","1D","1D",0,0,0,0
"2","20B","1D",0.625,1,0.181818181818182,0.653706162029845
"3","4B","1D",0.5,1,0.230769230769231,0.335672857357891
"4","N1B","1D",0.75,0.5,0.384615384615385,0.306415632826606
"5","N20B","1D",0.833333333333333,0.5,0.384615384615385,0.338319683200572
"6","N4D","1D",0.571428571428572,0.75,0.25,0.276844337208452
"7","1D","20B",0.625,1,0.181818181818182,0.653706162029845
"8","20B","20B",0,0,0,0
"9","4B","20B",0.375,0.4,0.230769230769231,0.431745075259482
"10","N1B","20B",0.428571428571429,0.833333333333333,0.25,0.746937543533782
"11","N20B","20B",0.666666666666667,0.833333333333333,0.25,0.426292093886137
"12","N4D","20B",0.428571428571429,0.5,0.0909090909090909,0.490792771786651
"13","1D","4B",0.5,1,0.230769230769231,0.335672857357891
"14","20B","4B",0.375,0.4,0.230769230769231,0.431745075259482
"15","4B","4B",0,0,0,0
"16","N1B","4B",0.666666666666667,0.75,0.285714285714286,0.503035999178606
"17","N20B","4B",0.714285714285714,0.75,0.285714285714286,0.31761912435723
"18","N4D","4B",0.285714285714286,0.6,0.153846153846154,0.286417084729631
"19","1D","N1B",0.75,0.5,0.384615384615385,0.306415632826606
"20","20B","N1B",0.428571428571429,0.833333333333333,0.25,0.746937543533782
"21","4B","N1B",0.666666666666667,0.75,0.285714285714286,0.503035999178606
"22","N1B","N1B",0,0,0,0
"23","N20B","N1B",0.833333333333333,0,0.166666666666667,0.349551165126145
"24","N4D","N1B",0.571428571428572,0.5,0.166666666666667,0.283177064551028
"25","1D","N20B",0.833333333333333,0.5,0.384615384615385,0.338319683200572
"26","20B","N20B",0.666666666666667,0.833333333333333,0.25,0.426292093886137
"27","4B","N20B",0.714285714285714,0.75,0.285714285714286,0.31761912435723
"28","N1B","N20B",0.833333333333333,0,0.166666666666667,0.349551165126145
"29","N20B","N20B",0,0,0,0
"30","N4D","N20B",0.6,0.5,0.166666666666667,0.0923126398929738
"31","1D","N4D",0.571428571428572,0.75,0.25,0.276844337208452
"32","20B","N4D",0.428571428571429,0.5,0.0909090909090909,0.490792771786651
"33","4B","N4D",0.285714285714286,0.6,0.153846153846154,0.286417084729631
"34","N1B","N4D",0.571428571428572,0.5,0.166666666666667,0.283177064551028
"35","N20B","N4D",0.6,0.5,0.166666666666667,0.0923126398929738
"36","N4D","N4D",0,0,0,0
