"","Watershed1","Year1","Watershed2","Year2","Jacc_diss"
"1","1D",1992,"1D",1992,0
"2","1D",1993,"1D",1993,0
"3","1D",1994,"1D",1994,0
"4","1D",1995,"1D",1995,0
"5","1D",1996,"1D",1996,0
"6","1D",1997,"1D",1997,0
"7","1D",1998,"1D",1998,0
"8","1D",1999,"1D",1999,0
"9","1D",2000,"1D",2000,0
"10","1D",2001,"1D",2001,0
"11","1D",2001,"20B",2001,1
"12","1D",2002,"1D",2002,0
"13","1D",2003,"1D",2003,0
"14","1D",2004,"1D",2004,0
"15","1D",2005,"1D",2005,0
"16","1D",2006,"1D",2006,0
"17","1D",2007,"1D",2007,0
"18","1D",2008,"1D",2008,0
"19","1D",2009,"1D",2009,0
"20","1D",2010,"1D",2010,0
"21","1D",2011,"1D",2011,0
"22","1D",2012,"1D",2012,0
"23","1D",2013,"1D",2013,0
"24","1D",2013,"20B",2013,1
"25","1D",2013,"4B",2013,1
"26","20B",1992,"20B",1992,0
"27","20B",1993,"20B",1993,0
"28","20B",1994,"20B",1994,0
"29","20B",1995,"20B",1995,0
"30","20B",1996,"20B",1996,0
"31","20B",1997,"20B",1997,0
"32","20B",1998,"20B",1998,0
"33","20B",1999,"20B",1999,0
"34","20B",2000,"20B",2000,0
"35","20B",2001,"1D",2001,1
"36","20B",2001,"20B",2001,0
"37","20B",2002,"20B",2002,0
"38","20B",2003,"20B",2003,0
"39","20B",2004,"20B",2004,0
"40","20B",2005,"20B",2005,0
"41","20B",2006,"20B",2006,0
"42","20B",2007,"20B",2007,0
"43","20B",2008,"20B",2008,0
"44","20B",2009,"20B",2009,0
"45","20B",2010,"20B",2010,0
"46","20B",2011,"20B",2011,0
"47","20B",2012,"20B",2012,0
"48","20B",2013,"1D",2013,1
"49","20B",2013,"20B",2013,0
"50","4B",1992,"4B",1992,0
"51","4B",1993,"4B",1993,0
"52","4B",1994,"4B",1994,0
"53","4B",1995,"4B",1995,0
"54","4B",1995,"N4D",1995,0.333333333333333
"55","4B",1996,"4B",1996,0
"56","4B",1997,"4B",1997,0
"57","4B",1998,"4B",1998,0
"58","4B",1999,"4B",1999,0
"59","4B",2000,"4B",2000,0
"60","4B",2001,"4B",2001,0
"61","4B",2002,"4B",2002,0
"62","4B",2003,"4B",2003,0
"63","4B",2004,"4B",2004,0
"64","4B",2005,"4B",2005,0
"65","4B",2006,"4B",2006,0
"66","4B",2007,"4B",2007,0
"67","4B",2008,"4B",2008,0
"68","4B",2009,"4B",2009,0
"69","4B",2010,"4B",2010,0
"70","4B",2011,"4B",2011,0
"71","4B",2012,"4B",2012,0
"72","4B",2013,"1D",2013,1
"73","4B",2013,"4B",2013,0
"74","N1B",1992,"N1B",1992,0
"75","N1B",1993,"N1B",1993,0
"76","N1B",1994,"N1B",1994,0
"77","N1B",1995,"N1B",1995,0
"78","N1B",1996,"N1B",1996,0
"79","N1B",1997,"N1B",1997,0
"80","N1B",1998,"N1B",1998,0
"81","N1B",1999,"N1B",1999,0
"82","N1B",2000,"N1B",2000,0
"83","N1B",2001,"N1B",2001,0
"84","N1B",2002,"N1B",2002,0
"85","N1B",2003,"N1B",2003,0
"86","N1B",2004,"N1B",2004,0
"87","N1B",2005,"N1B",2005,0
"88","N1B",2006,"N1B",2006,0
"89","N1B",2007,"N1B",2007,0
"90","N1B",2008,"N1B",2008,0
"91","N1B",2009,"N1B",2009,0
"92","N1B",2010,"N1B",2010,0
"93","N1B",2011,"N1B",2011,0
"94","N1B",2012,"N1B",2012,0
"95","N1B",2013,"N1B",2013,0
"96","N20B",1992,"N20B",1992,0
"97","N20B",1992,"N4D",1992,0.6
"98","N20B",1993,"N20B",1993,0
"99","N20B",1994,"N20B",1994,0
"100","N20B",1995,"N20B",1995,0
"101","N20B",1996,"N20B",1996,0
"102","N20B",1997,"N20B",1997,0
"103","N20B",1998,"N20B",1998,0
"104","N20B",1999,"N20B",1999,0
"105","N20B",2000,"N20B",2000,0
"106","N20B",2001,"N20B",2001,0
"107","N20B",2002,"N20B",2002,0
"108","N20B",2003,"N20B",2003,0
"109","N20B",2004,"N20B",2004,0
"110","N20B",2005,"N20B",2005,0
"111","N20B",2006,"N20B",2006,0
"112","N20B",2007,"N20B",2007,0
"113","N20B",2008,"N20B",2008,0
"114","N20B",2009,"N20B",2009,0
"115","N20B",2010,"N20B",2010,0
"116","N20B",2011,"N20B",2011,0
"117","N20B",2012,"N20B",2012,0
"118","N20B",2013,"N20B",2013,0
"119","N4D",1992,"N20B",1992,0.6
"120","N4D",1992,"N4D",1992,0
"121","N4D",1993,"N4D",1993,0
"122","N4D",1994,"N4D",1994,0
"123","N4D",1995,"4B",1995,0.333333333333333
"124","N4D",1995,"N4D",1995,0
"125","N4D",1996,"N4D",1996,0
"126","N4D",1997,"N4D",1997,0
"127","N4D",1998,"N4D",1998,0
"128","N4D",1999,"N4D",1999,0
"129","N4D",2000,"N4D",2000,0
"130","N4D",2001,"N4D",2001,0
"131","N4D",2002,"N4D",2002,0
"132","N4D",2003,"N4D",2003,0
"133","N4D",2004,"N4D",2004,0
"134","N4D",2005,"N4D",2005,0
"135","N4D",2006,"N4D",2006,0
"136","N4D",2007,"N4D",2007,0
"137","N4D",2008,"N4D",2008,0
"138","N4D",2009,"N4D",2009,0
"139","N4D",2010,"N4D",2010,0
"140","N4D",2011,"N4D",2011,0
"141","N4D",2012,"N4D",2012,0
"142","N4D",2013,"N4D",2013,0
