AOU_code,Common_name,Order,Family,Genus,species,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
ACFL,Acadian Flycatcher ,Passeriformes,Tyrannidae,Empidonax ,virescens,5873,Tyrannidae,Passeriformes,AVIBASE-2778A3F4,48,5,8,35,5,13.3,9.1,6.1,4,17.1,71,19.9,52.1,27.5,58.8,12.6,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Insessorial,26.59,45.34,36.73,-87.99,3006134.68
AMCR,American Crow,Passeriformes,Corvidae,Corvus ,brachyrhynchos,6985,Corvidae,Passeriformes,AVIBASE-9E9F2476,13,4,9,0,4,51.1,35.4,14.7,17.7,59.3,309.6,109.1,199.9,35.3,177.3,448.8,Dunning,NA,NO,NA,NA,Human Modified,2,2,Omnivore,Omnivore,Terrestrial,24.53,63.75,46.23,-97.42,11573830.54
AMGO,American Goldfinch ,Passeriformes,Fringillidae,Spinus,tristis,10229,Fringillidae,Passeriformes,AVIBASE-C9ABA616,9,4,5,0,8,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,Dunning,,NO,,,Forest,1,1,Herbivore,Granivore,Insessorial,31.4,57.36,44.46,-96.32,7802444.22
AMRO,American Robin ,Passeriformes,Turdidae,Turdus,migratorius,8976,Turdidae,Passeriformes,AVIBASE-103427C5,14,8,6,0,5,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,Dunning,,NO,,,Forest,3,3,Omnivore,Invertivore,Generalist,15.92,70.58,50.87,-106.8,16455945.96
ATSP,American Tree Sparrow ,Passeriformes,Passerellidae,Spizelloides,arborea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAOR,Baltimore Oriole,Passeriformes,Icteridae,Icterus,galbula,10491,Icteridae,Passeriformes,AVIBASE-5110842F,23,10,12,1,10,21.1,13.3,5,6.4,23.4,92.1,25.5,67.4,27.4,73.3,32.8,Dunning,,NO,,,Forest,1,3,Omnivore,Invertivore,Insessorial,30.82,58.5,43.69,-91.8,4604558.64
BARS,Barn Swallow ,Passeriformes,Hirundinidae,Hirundo,rustica,7714,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,71.4,17.9,Dunning,,NO,,,Human Modified,3,3,Carnivore,Invertivore,Aerial,-37.53,71.13,47.56,34.57,51701054.06
BCCH,Black-capped Chickadee,Passeriformes,Paridae,Poecile,atricapillus,7216,Paridae,Passeriformes,AVIBASE-B1F0CC82,13,5,7,1,7,10.3,7.2,3.7,4,16.8,64.4,12,52.5,18.6,61.7,10.8,Dunning,,NO,,,Forest,1,1,Omnivore,Invertivore,Insessorial,34.2,65.98,50.08,-104.99,9078514.18
BEVI,Bell's Vireo ,Passeriformes,Vireonidae,Vireo,bellii,6417,Vireonidae,Passeriformes,AVIBASE-C3168495,13,3,10,0,4,13.5,7,3.7,3.7,19.2,55.7,10.8,44.9,19.4,44.1,8.5,Dunning,,NO,,,Shrubland,2,3,Carnivore,Invertivore,Insessorial,21.36,47.35,34.81,-99.81,2636566.53
BEWR,Bewick's Wren ,Passeriformes,Troglodytidae,Thryomanes,bewickii,8615,Troglodytidae,Passeriformes,AVIBASE-603194D3,5,2,3,0,4,15.5,10.1,2.6,3,17.5,54,7.3,46.1,13.8,51.2,9.9,Dunning,,NO,,,Shrubland,2,2,Carnivore,Invertivore,Generalist,16.27,50.41,33.54,-106.62,3360146.45
BGGN,Blue-gray Gnatcatcher,Passeriformes,Polioptilidae,Polioptila,caerulea,8571,Polioptilidae,Passeriformes,AVIBASE-A15C5071,8,3,3,2,7,11.3,7.4,2.8,2.3,15.9,50.8,9.6,40.8,19.1,49.1,5.8,Dunning,,NO,,,Woodland,2,3,Carnivore,Invertivore,Insessorial,14.44,46.6,33.81,-96.34,6582606.18
BHCO,Brown-headed Cowbird ,Passeriformes,Icteridae,Molothrus,ater,10527,Icteridae,Passeriformes,AVIBASE-1E1AB415,5,2,3,0,4,17.6,11.1,5.8,8.9,24.7,105,33.9,68.8,33,69.8,40.3,Dunning,,NO,,,Forest,2,3,Carnivore,Invertivore,Terrestrial,17,67.45,43,-101.66,11727469.53
BLGR,Blue Grosbeak ,Passeriformes,Cardinalidae,Passerina,caerulea,10712,Cardinalidae,Passeriformes,AVIBASE-A7A75EA1,22,7,14,1,7,17,12.3,7.4,10.9,20.3,86.1,19.9,67.2,22.9,64.4,27.4,Dunning,,NO,,,Forest,2,3,Carnivore,Invertivore,Generalist,9.17,46.7,32.93,-98.5,5300267.2
BLJA,Blue Jay,Passeriformes,Corvidae,Cyanocitta ,cristata,7025,Corvidae,Passeriformes,AVIBASE-1DA430B8,11,2,9,0,4,29.9,18.6,10.1,8.9,34.7,130,22.9,108.3,17.4,121.4,88,Dunning,NA,NO,NA,NA,Woodland,2,1,Omnivore,Omnivore,Terrestrial,24.53,56.76,43.18,-90.29,6665383.16
BRTH,Brown Thrasher,Passeriformes,Mimidae,Toxostoma,rufum,8839,Mimidae,Passeriformes,AVIBASE-C8F9F2D0,5,2,3,0,4,30.1,19.3,5.4,6.3,34.2,102.5,14,86.7,13.9,121.8,68.8,Dunning,,NO,,,Shrubland,1,2,Omnivore,Omnivore,Generalist,25.78,54.12,41.75,-92.94,5678627.88
CAGO,Canada Goose,Anseriformes,Anatidae,Branta,canadensis,408,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,,NO,,,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,26.42,73.07,53.3,-104.21,12236810.45
CARW,Carolina Wren,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,8613,Troglodytidae,Passeriformes,AVIBASE-5217F951,13,3,6,4,10,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,19,Dunning,,NO,,,Woodland,2,1,Carnivore,Invertivore,Insessorial,21.45,45.64,35.21,-87.93,3040027.22
CHSW,Chimney Swift ,Caprimulgiformes,Apodidae,Chaetura,pelagica,1136,Apodidae,Caprimulgiformes,AVIBASE-C3AD1AFF,5,1,3,1,4,6.3,3.5,2.9,2.4,11.6,124.4,86.8,36.6,70.3,43.8,23.6,Dunning,,NO,,,Human Modified,1,3,Carnivore,Invertivore,Aerial,25.48,53.93,40.95,-88.88,5841319.17
CLSW,Cliff Swallow,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,7697,Hirundinidae,Passeriformes,AVIBASE-F5C181CA,12,3,5,4,4,11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,Dunning,,NO,,,Grassland,3,3,Carnivore,Invertivore,Aerial,16.24,66.98,46.7,-108.51,11994340.08
COGR,Common Grackle ,Passeriformes,Icteridae,Quiscalus,quiscula,10535,Icteridae,Passeriformes,AVIBASE-8BBB3255,10,4,6,0,4,33,21.8,7.3,10.5,35.6,132.9,34.3,98.2,25.9,118.2,105.2,Dunning,,NO,,,Wetland,3,2,Carnivore,Omnivore,Terrestrial,24.53,61.37,44.95,-93.93,8216640.27
COHA,Cooper's Hawk ,Accipitriformes,Accipitridae,Accipiter,cooperii,3123,Accipitridae,Accipitriformes,AVIBASE-EB98812F,5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,,NO,,,Woodland,2,3,Carnivore,Vertivore,Aerial,23.28,53.31,41.25,-100.49,8393137.06
CONI,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,1005,Caprimulgidae,Caprimulgiformes,AVIBASE-24E39ACD,10,4,2,4,4,12.7,6.1,3.3,2.7,16.7,192.8,118.7,76.6,60.7,104,79.3,Dunning,,NO,,,Grassland,3,3,Carnivore,Invertivore,Aerial,7.21,65.4,45.23,-100.42,13037233.58
