Watershed,Date,Type,Year
4F,1992-09-20,WU,1992
N1B,1992-09-20,WP,1992
N20B,1992-09-20,WU,1992
1D,1992-04-23,PP,1992
20C,1992-04-23,PP,1992
N1B,1992-04-17,PP,1992
N20A,1992-04-14,PP,1992
N1A,1992-04-14,PP,1992
4A,1992-04-13,PP,1992
N4A,1992-04-11,PP,1992
4F,1993-04-26,PP,1993
1D,1993-04-24,PP,1993
N1A,1993-04-21,PP,1993
N4B,1993-04-21,PP,1993
N1B,1993-04-10,PP,1993
1D,1994-05-04,PP,1994
N1A,1994-05-03,PP,1994
N1B,1994-04-21,PP,1994
4B,1994-03-31,WU,1994
4A,1994-03-31,WU,1994
N4A,1994-03-31,WU,1994
N4D,1994-03-31,WU,1994
N1A,1995-04-24,PP,1995
1D,1995-04-19,PP,1995
N1B,1995-04-13,PP,1995
N1A,1996-05-02,PP,1996
N1A,1996-04-30,PP,1996
4F,1996-04-23,PU,1996
N20B,1996-03-26,PU ,1996
4F,1996-02-25,WU,1996
1D,1996-02-25,WP,1996
N1B,1996-02-25,PP,1996
N20B,1996-02-25,WU,1996
1D,1997-04-17,PP,1997
N1A,1997-04-07,PP,1997
N1B,1997-04-07,PP,1997
4B,1998-05-04,PP,1998
1D,1998-04-22,PP,1998
N1A,1998-04-22,PP,1998
N4D,1998-04-02,PP,1998
N1B,1998-04-02,PP,1998
N4B,1999-05-13,PP,1999
1D,1999-05-13,PP,1999
4A,1999-04-12,PP,1999
N1A,1999-04-06,PP,1999
N1B,1999-04-06,PP,1999
1D,2000-04-26,PP,2000
4F,2000-04-24,PP,2000
N1B,2000-04-21,PP,2000
4B,2000-04-17,PU ,2000
4B,2000-04-12,WU,2000
N1A,2000-04-11,PP,2000
N4A,2000-04-10,PP,2000
N1B,2001-04-13,PP,2001
N4D,2001-04-13,PP,2001
1D,2001-04-12,PP,2001
N1A,2001-04-09,PP,2001
N1A,2001-04-04,PP,2001
N4B,2001-04-04,PP,2001
N1A,2002-04-25,PP,2002
1D,2002-04-09,PP,2002
4A,2002-04-03,WU,2002
N4A,2002-04-03,WU,2002
4F,2002-03-28,WU,2002
N1B,2002-03-28,PP,2002
N1A,2002-03-28,PP,2002
N1A,2003-04-21,PP,2003
N1A,2003-04-19,PP,2003
4B,2003-04-11,PP,2003
1D,2003-04-10,PP,2003
N1B,2003-04-09,PP,2003
4F,2004-04-13,PP,2004
N4A,2004-04-06,PP,2004
1D,2004-04-01,PP,2004
N1B,2004-03-31,PP,2004
N1A,2004-03-12,PP,2004
N1A,2004-03-09,PP,2004
1D,2005-04-20,PP,2005
4B,2005-04-15,PP,2005
N1A,2005-04-14,PP,2005
N4B,2005-04-14,PP,2005
N1A,2005-04-08,PP,2005
N1B,2005-04-08,PP,2005
N4D,2005-04-08,PP,2005
N1A,2006-05-05,PP,2006
4A,2006-04-27,PP,2006
1D,2006-04-27,PP,2006
N1A,2006-04-27,PP,2006
N1B,2006-04-04,PP,2006
4F,2007-04-30,PP,2007
1D,2007-04-20,PP,2007
N1B,2007-04-09,PP,2007
N1A,2007-04-04,PP,2007
N4B,2007-04-04,PP,2007
N1A,2007-03-23,PP,2007
1D,2008-04-24,PP,2008
N1B,2008-04-22,PP,2008
N1A,2008-04-22,PP,2008
N1A,2008-04-01,PP,2008
N4A,2008-03-12,PP,2008
4B,2009-04-22,PP,2009
1D,2009-04-17,PP,2009
N1A,2009-04-07,PP,2009
N1B,2009-04-07,PP,2009
N4D,2009-04-07,PP,2009
N1A,2009-03-17,PP,2009
4A,2010-04-20,PP,2010
1D,2010-04-20,PP,2010
N1B,2010-04-03,PP,2010
N1A,2010-03-17,PP,2010
4F,2011-07-20,WP,2011
1D,2011-04-26,PP,2011
N1B,2011-04-13,PP,2011
4F,2011-04-13,PP,2011
N1A,2011-04-12,PP,2011
N4B,2011-03-24,PP,2011
N1A,2011-03-23,PP,2011
N1B,2012-04-11,PP,2012
1D,2012-04-09,PP,2012
N1A,2012-04-03,PP,2012
N20A,2012-03-31,PP,2012
N1A,2012-03-31,PP,2012
N4A,2012-03-27,PP,2012
20C,2012-03-15,PP,2012
4B,2013-04-13,PP,2013
1D,2013-04-08,PP,2013
N1A,2013-04-03,PP,2013
N1B,2013-04-03,PP,2013
N4D,2013-04-03,PP,2013
N1A,2013-03-20,PP,2013
4A,2014-04-15,PP,2014
1D,2014-04-11,PP,2014
N1B,2014-04-11,PP,2014
N1A,2014-03-28,PP,2014
N1A,2014-03-10,PP,2014
1D,2015-04-14,PP,2015
4F,2015-04-14,PP,2015
N1A,2015-03-31,PP,2015
N4B,2015-03-31,PP,2015
N1A,2015-03-26,PP,2015
N1B,2015-03-26,PP,2015
1D,2016-05-03,PP,2016
N20B,2016-04-13,PP,2016
N1B,2016-04-13,PP,2016
N1A,2016-04-12,PP,2016
N1A,2016-04-04,PP,2016
N4A,2016-03-17,PP,2016
1D,2017-04-13,PP,2017
4B,2017-04-13,PP,2017
20B,2017-04-13,PP,2017
N1A,2017-03-20,PP,2017
N4D,2017-03-20,PP,2017
N1B,2017-03-20,PP,2017
N1A,2017-03-16,PP,2017
N1B,2018-03-09,PP,2018
N1A,2018-03-12,PP,2018
1D,2018-04-23,PP,2018
4A,2018-04-23,PP,2018
N1A,2019-03-22,PP,2019
N4B,2019-03-22,PP,2019
N1A,2019-04-02,PP,2019
N1B,2019-04-02,PP,2019
4F,2019-04-02,PP,2019
1D,2019-04-15,PP,2019
