calcode,dateon,dateoff,limitCA,conCA,limitMG,conMG,limitK,conK,limitNA,conNA,limitNH4,conNH4,limitNO3,conNO3,limitCL,conCL,limitSO4,conSO4,labpH,fieldpH,pHFV,labConduct,fieldConduct,conductFV,sampVolume,prcpRG,subPPT,labType,valCode,invalCode,notes
KS31,8/17/1982,8/24/1982, ,0.17, ,0.016, ,0.01, ,0.008, ,0.07, ,0.75,,0.02, ,0.59,5.1,4.94,i,5.6,      .,      .,648.7,9.91,9.91,w ,w ,          ,
KS31,8/24/1982,8/31/1982, ,0.67, ,0.061, ,0.04, ,0.059, ,0.49, ,2.39, ,0.11, ,2.08,4.87,5.06,i,14.9,      .,      .,920.7,13.46,13.46,w ,w ,          ,
KS31,8/31/1982,9/7/1982, ,0.56, ,0.046, ,0.033, ,0.17, ,0.27, ,1.91, ,0.09, ,2.24,4.58,4.38,i,18.8,      .,      .,762.7,11.43,11.43,w ,w ,          ,
KS31,9/7/1982,9/14/1982, ,0.81, ,0.077, ,0.05, ,0.074, ,0.65, ,2.43, ,0.17, ,3.37,4.56,4.8,i,23.7,21.5,i,2865.9,41.4,41.4,w ,w ,          ,
KS31,9/14/1982,9/21/1982, ,0.37, ,0.032, ,0.031, ,0.082, ,0.58, ,1.52, ,0.13, ,1.24,5.58,5.73,i,8.8,9.6,i,2060.2,31.24,31.24,w ,w ,          ,
KS31,9/21/1982,9/28/1982, ,      ., ,      ., ,      ., ,      ., ,      ., ,      ., ,      ., ,      .,      .,      .,      .,      .,      .,      .,6.4,0.7,0.127,t ,t ,          ,
KS31,9/28/1982,10/5/1982, ,0.33, ,0.044, ,0.026, ,0.126, ,0.26, ,1.52, ,0.22, ,1.58,4.69,5.14,i,14.5,13.9,i,482.5,6.86,6.86,w ,w ,          ,
KS31,10/5/1982,10/12/1982, ,0.16, ,0.01, ,0.008, ,0.051, ,0.15, ,0.84, ,0.12, ,0.8,4.92,5.45,i,7.5,7.4,i,1738.4,25.65,25.65,w ,w ,          ,
KS31,10/12/1982,10/19/1982, ,      ., ,      ., ,      ., ,      ., ,      ., ,      ., ,      ., ,      .,      .,      .,      .,      .,      .,      .,6.9,0.7,0.127,t ,t ,          ,
KS31,10/19/1982,10/26/1982, ,      ., ,      ., ,      ., ,      ., ,      ., ,      ., ,      ., ,      .,      .,      .,      .,      .,      .,      .,0.9,0.7,0.127,t ,t ,          ,
