DataCode,RecType,RecDate,watershed,ppt,Comments
APT01,1,6/14/1982,HQ,11,
APT01,1,6/15/1982,HQ,8,
APT01,1,6/17/1982,HQ,1,
APT01,1,6/21/1982,HQ,12.5,
APT01,1,6/23/1982,HQ,35.5,
APT01,1,6/24/1982,HQ,19,
APT01,1,6/26/1982,HQ,4,
APT01,1,6/27/1982,HQ,3,
APT01,1,6/30/1982,HQ,57,
APT01,1,7/1/1982,HQ,8.5,
APT01,1,7/6/1982,HQ,1,
APT01,1,7/10/1982,HQ,37,
APT01,1,7/14/1982,HQ,8.5,
APT01,1,7/15/1982,HQ,2,
APT01,1,7/22/1982,HQ,33,
APT01,1,8/4/1982,HQ,14,
APT01,1,8/5/1982,HQ,12,
APT01,1,8/10/1982,HQ,22.5,
APT01,1,8/11/1982,HQ,1,
APT01,1,8/13/1982,HQ,3,
APT01,1,8/14/1982,HQ,2,
APT01,1,8/20/1982,HQ,1,
APT01,1,8/24/1982,HQ,10,
APT01,1,8/26/1982,HQ,11.5,
APT01,1,8/31/1982,HQ,1,
APT01,1,9/6/1982,HQ,11,
APT01,1,9/8/1982,HQ,6,
APT01,1,9/9/1982,HQ,9.5,
APT01,1,9/12/1982,HQ,1,
APT01,1,9/13/1982,HQ,1,
APT01,1,9/14/1982,HQ,25.5,
APT01,1,9/17/1982,HQ,31,
APT01,1,9/23/1982,HQ,1,
APT01,1,10/2/1982,HQ,7,
APT01,1,10/6/1982,HQ,3.5,
APT01,1,10/8/1982,HQ,22,
APT01,1,10/28/1982,HQ,5,
APT01,1,11/10/1982,HQ,1,
APT01,1,11/11/1982,HQ,5.5,
APT01,1,11/18/1982,HQ,1,
APT01,1,11/19/1982,HQ,1,
APT01,1,11/22/1982,HQ,7,
APT01,1,11/23/1982,HQ,2,
APT01,1,11/25/1982,HQ,2,
APT01,1,11/27/1982,HQ,9.5,
APT01,1,11/28/1982,HQ,7.5,
APT01,1,12/5/1982,HQ,3,
APT01,1,12/14/1982,HQ,5,
APT01,1,12/15/1982,HQ,13.5,
APT01,1,12/24/1982,HQ,15.2,
APT01,1,12/27/1982,HQ,24.5,
APT01,1,12/28/1982,HQ,1,
APT01,1,1/19/1983,HQ,4.8,
APT01,1,1/25/1983,HQ,6,
APT01,1,1/29/1983,HQ,9.6,
APT01,1,1/30/1983,HQ,3.3,
APT01,1,1/31/1983,HQ,3.5,
APT01,1,2/1/1983,HQ,12.5,
APT01,1,2/4/1983,HQ,0.5,
APT01,1,2/5/1983,HQ,3.5,
APT01,1,2/15/1983,HQ,0.3,
APT01,1,2/20/1983,HQ,3.5,
APT01,1,2/21/1983,HQ,0.5,
APT01,1,3/3/1983,HQ,1,
APT01,1,3/4/1983,HQ,15,
APT01,1,3/5/1983,HQ,1.5,
APT01,1,3/19/1983,HQ,5.4,
APT01,1,3/20/1983,HQ,1,
APT01,1,3/25/1983,HQ,7.8,
APT01,1,3/26/1983,HQ,26.2,
APT01,1,3/27/1983,HQ,1.2,
APT01,1,3/29/1983,HQ,0.5,
APT01,1,3/31/1983,HQ,5.3,
APT01,1,4/1/1983,020B,32,
APT01,1,4/1/1983,002C,28.9,
APT01,1,4/1/1983,004B,30.7,
APT01,1,4/1/1983,HQ,24.2,
APT01,1,4/4/1983,020B,11.8,4/01 to 4/05(values are mean of others)
APT01,1,4/4/1983,002C,11.8,4/01 to 4/05(values are mean of others)
APT01,1,4/4/1983,004B,11.5,4/01 to 4/05(values are mean of others)
APT01,1,4/4/1983,HQ,12.2,4/01 to 4/05(values are mean of others)
APT01,1,4/5/1983,020B,12.2,
APT01,1,4/5/1983,002C,12.2,
APT01,1,4/5/1983,004B,13,
APT01,1,4/5/1983,HQ,11.3,
APT01,1,4/8/1983,020B,1.5,
APT01,1,4/8/1983,002C,1.6,
APT01,1,4/8/1983,004B,1.3,
APT01,1,4/8/1983,HQ,5,
APT01,1,4/9/1983,020B,8,
APT01,1,4/9/1983,002C,8,
APT01,1,4/9/1983,004B,8,
APT01,1,4/9/1983,HQ,4.5,
APT01,1,4/11/1983,020B,2.1,
APT01,1,4/11/1983,002C,4,
APT01,1,4/11/1983,004B,2.3,
APT01,1,4/11/1983,HQ,5,
APT01,1,4/12/1983,020B,3.5,
APT01,1,4/12/1983,002C,1,
APT01,1,4/12/1983,004B,3,
APT01,1,4/12/1983,HQ,0.8,
APT01,1,4/13/1983,020B,1.5,
APT01,1,4/13/1983,002C,1.5,
APT01,1,4/13/1983,004B,1.5,
APT01,1,4/13/1983,HQ,1.3,
APT01,1,4/21/1983,020B,13,
APT01,1,4/21/1983,002C,14.5,
APT01,1,4/21/1983,004B,13.2,
APT01,1,4/21/1983,HQ,13.5,
APT01,1,4/27/1983,020B,21.6,
APT01,1,4/27/1983,002C,19,
APT01,1,4/27/1983,004B,22,
APT01,1,4/27/1983,HQ,23.8,
APT01,1,4/30/1983,020B,0.5,
APT01,1,4/30/1983,002C,0.4,
APT01,1,4/30/1983,004B,0.3,
APT01,1,4/30/1983,HQ,1.2,
APT01,1,5/5/1983,020B,0,
APT01,1,5/5/1983,002C,0.5,
APT01,1,5/5/1983,004B,0.5,
APT01,1,5/5/1983,HQ,0.5,
APT01,1,5/11/1983,020B,15,
APT01,1,5/11/1983,002C,16.6,
APT01,1,5/11/1983,004B,14.1,
APT01,1,5/11/1983,HQ,26.6,
APT01,1,5/13/1983,020B,33.2,
APT01,1,5/13/1983,002C,30.5,
APT01,1,5/13/1983,004B,28.8,
APT01,1,5/13/1983,HQ,30,
APT01,1,5/17/1983,020B,18,
APT01,1,5/17/1983,002C,18.3,
APT01,1,5/17/1983,004B,18.5,
APT01,1,5/17/1983,HQ,18.6,
APT01,1,5/18/1983,020B,0,
APT01,1,5/18/1983,002C,0.2,
APT01,1,5/18/1983,004B,0,
APT01,1,5/18/1983,HQ,0.5,
APT01,1,5/20/1983,020B,35,
APT01,1,5/20/1983,002C,34.6,
APT01,1,5/20/1983,004B,32.3,
APT01,1,5/20/1983,HQ,26.2,
APT01,1,5/21/1983,020B,7.5,
APT01,1,5/21/1983,002C,7,
APT01,1,5/21/1983,004B,7.9,
APT01,1,5/21/1983,HQ,8,
APT01,1,5/24/1983,020B,5,
APT01,1,5/24/1983,002C,5,
APT01,1,5/24/1983,004B,5,
APT01,1,5/24/1983,HQ,6,
APT01,1,6/3/1983,020B,9.7,
APT01,1,6/3/1983,002C,10,
APT01,1,6/3/1983,004B,10,
APT01,1,6/3/1983,HQ,10,
APT01,1,6/5/1983,020B,1.5,
APT01,1,6/5/1983,002C,1.9,
APT01,1,6/5/1983,004B,1.8,
APT01,1,6/5/1983,HQ,1.2,
APT01,1,6/10/1983,020B,12.8,
APT01,1,6/10/1983,002C,15.1,
APT01,1,6/10/1983,004B,14,
APT01,1,6/10/1983,HQ,12.4,
APT01,1,6/13/1983,020B,20,
APT01,1,6/13/1983,002C,22.9,
APT01,1,6/13/1983,004B,22.9,
APT01,1,6/13/1983,HQ,28.7,
APT01,1,6/18/1983,020B,2.3,
APT01,1,6/18/1983,002C,3.6,
APT01,1,6/18/1983,004B,2.4,
APT01,1,6/18/1983,HQ,4.4,
APT01,1,6/24/1983,020B,2.8,
APT01,1,6/24/1983,002C,1.4,
APT01,1,6/24/1983,004B,1,
APT01,1,6/24/1983,HQ,1.6,
APT01,1,6/25/1983,020B,2,
APT01,1,6/25/1983,002C,2,
APT01,1,6/25/1983,004B,3,
APT01,1,6/25/1983,HQ,3.8,
APT01,1,6/26/1983,020B,31.1,
APT01,1,6/26/1983,002C,29.3,
APT01,1,6/26/1983,004B,12.1,
APT01,1,6/26/1983,HQ,2.2,
APT01,1,6/27/1983,020B,22,
APT01,1,6/27/1983,002C,24.5,
APT01,1,6/27/1983,004B,22.9,
APT01,1,6/27/1983,HQ,5.6,
APT01,1,6/28/1983,020B,33.5,
APT01,1,6/28/1983,002C,33,
APT01,1,6/28/1983,004B,19.1,
APT01,1,6/28/1983,HQ,10.8,
APT01,1,6/29/1983,020B,3.5,
APT01,1,6/29/1983,002C,3.8,
APT01,1,6/29/1983,004B,4,
APT01,1,6/29/1983,HQ,3.2,
APT01,1,7/4/1983,020B,0.4,
APT01,1,7/4/1983,002C,0.2,
APT01,1,7/4/1983,004B,0.3,
APT01,1,7/4/1983,HQ,1.7,
APT01,1,7/31/1983,020B,2.5,
APT01,1,7/31/1983,002C,2,
APT01,1,7/31/1983,004B,3.7,
APT01,1,7/31/1983,HQ,4,
APT01,1,8/6/1983,020B,1.4,
APT01,1,8/6/1983,002C,1,
APT01,1,8/6/1983,004B,1.5,
APT01,1,8/6/1983,HQ,1.9,
APT01,1,8/14/1983,020B,0.5,
APT01,1,8/14/1983,002C,0,
APT01,1,8/14/1983,004B,0.5,
APT01,1,8/14/1983,HQ,1,
APT01,1,8/20/1983,020B,10.5,
APT01,1,8/20/1983,002C,12.2,
APT01,1,8/20/1983,004B,9.2,
APT01,1,8/20/1983,HQ,10.1,
APT01,1,8/23/1983,020B,7.6,
APT01,1,8/23/1983,002C,9,
APT01,1,8/23/1983,004B,8.3,
APT01,1,8/23/1983,HQ,10.5,
APT01,1,8/27/1983,020B,0.5,
APT01,1,8/27/1983,002C,1.6,
APT01,1,8/27/1983,004B,0,
APT01,1,8/27/1983,HQ,0,
APT01,1,8/29/1983,020B,1.4,
APT01,1,8/29/1983,002C,2.3,
APT01,1,8/29/1983,004B,1,
APT01,1,8/29/1983,HQ,0,
APT01,1,9/12/1983,020B,50.2,
APT01,1,9/12/1983,002C,53.7,
APT01,1,9/12/1983,004B,45,
APT01,1,9/12/1983,HQ,31,
APT01,1,9/14/1983,020B,2.5,
APT01,1,9/14/1983,002C,3,
APT01,1,9/14/1983,004B,4.5,
APT01,1,9/14/1983,HQ,5.9,
APT01,1,9/15/1983,020B,0.9,
APT01,1,9/15/1983,002C,0.7,
APT01,1,9/15/1983,004B,0.5,
APT01,1,9/15/1983,HQ,0.3,
APT01,1,9/19/1983,020B,11.3,
APT01,1,9/19/1983,002C,12.8,
APT01,1,9/19/1983,004B,17.3,
APT01,1,9/19/1983,HQ,20,
APT01,1,9/20/1983,020B,10.7,
APT01,1,9/20/1983,002C,8.8,
APT01,1,9/20/1983,004B,6.9,
APT01,1,9/20/1983,HQ,8,
APT01,1,10/4/1983,020B,2.8,
APT01,1,10/4/1983,002C,2.5,
APT01,1,10/4/1983,004B,2.9,
APT01,1,10/4/1983,HQ,2.8,
APT01,1,10/10/1983,020B,8.3,
APT01,1,10/10/1983,002C,9.8,
APT01,1,10/10/1983,004B,8.1,
APT01,1,10/10/1983,HQ,8,
APT01,1,10/11/1983,020B,45.5,
APT01,1,10/11/1983,002C,52.7,
APT01,1,10/11/1983,004B,42.7,
APT01,1,10/11/1983,HQ,48.4,
APT01,1,10/15/1983,020B,0.4,
APT01,1,10/15/1983,002C,0.2,
