DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,REPSITE,SPCODE,SPECIES,FIRSTINSTAR,SECTHIRDINSTAR,FORTHINSTAR,FIFTHINSTAR,FEMALE,MALE,TOTAL,COMMENTS
CGR02,3,1982,8,2,001d,fl,a,9,phoetaliot nebrascen,,7,6,,,,13,
CGR02,3,1982,8,2,001d,fl,a,15,melanoplus keeleri,,,1,1,,,2,
CGR02,3,1982,8,2,001d,fl,a,16,melanoplus bivittatu,,,,,,2,2,
CGR02,3,1982,8,2,001d,fl,a,27,orphulella speciosa,,,1,7,2,33,43,
CGR02,3,1982,8,2,001d,fl,a,29,mermiria bivittata,,1,,,,,1,
CGR02,3,1982,8,2,001d,fl,a,32,boopedon auriventr,,,,,1,,1,
CGR02,3,1982,8,9,001d,fl,b,9,phoetaliot nebrascen,,,2,,,,2,
CGR02,3,1982,8,9,001d,fl,b,10,melanoplus scudderi,,,1,1,,1,3,
CGR02,3,1982,8,9,001d,fl,b,15,melanoplus keeleri,,,,1,,1,2,
CGR02,3,1982,8,9,001d,fl,b,27,orphulella speciosa,,,,2,5,19,26,
CGR02,3,1982,7,29,001d,tu,a,7,hesperotet viridis,,,,,,1,1,
CGR02,3,1982,7,29,001d,tu,a,9,phoetaliot nebrascen,,9,1,,,,10,
CGR02,3,1982,7,29,001d,tu,a,12,melanoplus femurrubr,,2,,,,,2,
CGR02,3,1982,7,29,001d,tu,a,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,29,001d,tu,a,27,orphulella speciosa,,2,22,67,6,31,128,
CGR02,3,1982,7,29,001d,tu,b,9,phoetaliot nebrascen,,6,,,,,6,
CGR02,3,1982,7,29,001d,tu,b,16,melanoplus bivittatu,,,,,,2,2,
CGR02,3,1982,7,29,001d,tu,b,27,orphulella speciosa,,1,10,26,,5,42,
CGR02,3,1982,7,28,004b,fl,a,4,hypochlora alba,,1,1,2,3,3,10,
CGR02,3,1982,7,28,004b,fl,a,9,phoetaliot nebrascen,,31,,,,,31,
CGR02,3,1982,7,28,004b,fl,a,10,melanoplus scudderi,,14,,1,,,15,
CGR02,3,1982,7,28,004b,fl,a,15,melanoplus keeleri,,9,,,,,9,
CGR02,3,1982,7,28,004b,fl,a,16,melanoplus bivittatu,,,,,,2,2,
CGR02,3,1982,7,28,004b,fl,a,8,hesperotet species,,1,,,,,1,
CGR02,3,1982,7,28,004b,fl,a,27,orphulella speciosa,,,,3,,,3,
CGR02,3,1982,7,28,004b,fl,a,29,mermiria bivittata,,,,,1,,1,
CGR02,3,1982,7,28,004b,fl,a,32,boopedon auriventr,,,1,,,,1,
CGR02,3,1982,7,30,004b,fl,b,4,hypochlora alba,,1,2,2,2,5,12,
CGR02,3,1982,7,30,004b,fl,b,6,hesperotet speciosus,,,,,1,,1,
CGR02,3,1982,7,30,004b,fl,b,9,phoetaliot nebrascen,,5,,,,,5,
CGR02,3,1982,7,30,004b,fl,b,10,melanoplus scudderi,,3,5,,,,8,
CGR02,3,1982,7,30,004b,fl,b,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,30,004b,fl,b,16,melanoplus bivittatu,,,1,,,,1,
CGR02,3,1982,7,30,004b,fl,b,27,orphulella speciosa,,1,3,1,,1,6,
CGR02,3,1982,7,30,004b,fl,b,29,mermiria bivittata,,,1,,,1,2,
CGR02,3,1982,7,28,004b,tu,a,4,hypochlora alba,,1,,,,,1,
CGR02,3,1982,7,28,004b,tu,a,9,phoetaliot nebrascen,,2,,,,,2,
CGR02,3,1982,7,28,004b,tu,a,10,melanoplus scudderi,,4,,,,,4,
CGR02,3,1982,7,28,004b,tu,a,12,melanoplus femurrubr,,13,,,,,13,
CGR02,3,1982,7,28,004b,tu,a,15,melanoplus keeleri,,,1,,,,1,
CGR02,3,1982,7,28,004b,tu,a,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1982,7,28,004b,tu,a,29,mermiria bivittata,,,,,,1,1,
CGR02,3,1982,7,28,004b,tu,b,4,hypochlora alba,,1,,,,,1,
CGR02,3,1982,7,28,004b,tu,b,9,phoetaliot nebrascen,,9,,,,,9,
CGR02,3,1982,7,28,004b,tu,b,10,melanoplus scudderi,,3,,,,,3,
CGR02,3,1982,7,28,004b,tu,b,12,melanoplus femurrubr,,5,,,,,5,
CGR02,3,1982,7,28,004b,tu,b,27,orphulella speciosa,,2,,,,,2,
CGR02,3,1982,7,28,004b,tu,b,29,mermiria bivittata,,2,,,,,2,
CGR02,3,1982,8,2,000b,fl,a,7,hesperotet viridis,,,,,1,,1,
CGR02,3,1982,8,2,000b,fl,a,9,phoetaliot nebrascen,,22,,,,,22,
CGR02,3,1982,8,2,000b,fl,a,10,melanoplus scudderi,,3,3,,,,6,
CGR02,3,1982,8,2,000b,fl,a,15,melanoplus keeleri,,1,3,,,,4,
CGR02,3,1982,8,2,000b,fl,a,8,hesperotet species,,5,,,,,5,
CGR02,3,1982,8,2,000b,fl,a,27,orphulella speciosa,,1,1,,1,2,5,
CGR02,3,1982,8,2,000b,fl,a,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,8,2,000b,fl,b,9,phoetaliot nebrascen,,43,8,,,,51,
CGR02,3,1982,8,2,000b,fl,b,15,melanoplus keeleri,,6,10,2,,,18,
CGR02,3,1982,8,2,000b,fl,b,27,orphulella speciosa,,1,1,2,,,4,
CGR02,3,1982,8,2,000b,fl,b,31,pseudopoma brachypte,,,,,2,,2,
CGR02,3,1982,7,29,000b,tu,a,4,hypochlora alba,,2,,1,,1,4,
CGR02,3,1982,7,29,000b,tu,a,9,phoetaliot nebrascen,1,1,,,,,2,
CGR02,3,1982,7,29,000b,tu,a,10,melanoplus scudderi,,2,,,,,2,
CGR02,3,1982,7,29,000b,tu,a,12,melanoplus femurrubr,2,,,,,,2,
CGR02,3,1982,7,29,000b,tu,a,29,mermiria bivittata,,,1,,,,1,
CGR02,3,1982,7,29,000b,tu,a,31,pseudopoma brachypte,,,,,1,1,2,
CGR02,3,1982,7,29,000b,tu,b,2,schistocer lineata,,1,,,,,1,
CGR02,3,1982,7,29,000b,tu,b,7,hesperotet viridis,,,,,,1,1,
CGR02,3,1982,7,29,000b,tu,b,10,melanoplus scudderi,,4,,,,,4,
CGR02,3,1982,7,29,000b,tu,b,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,28,n01b,fl,a,6,hesperotet speciosus,,,,,,1,1,
CGR02,3,1982,7,28,n01b,fl,a,9,phoetaliot nebrascen,,21,,,,,21,
CGR02,3,1982,7,28,n01b,fl,a,10,melanoplus scudderi,,3,2,,,,5,
CGR02,3,1982,7,28,n01b,fl,a,12,melanoplus femurrubr,,3,,,,,3,
CGR02,3,1982,7,28,n01b,fl,a,15,melanoplus keeleri,,4,,,,,4,
CGR02,3,1982,7,28,n01b,fl,a,27,orphulella speciosa,,1,,,,1,2,
CGR02,3,1982,7,28,n01b,fl,a,29,mermiria bivittata,,,,,,1,1,
CGR02,3,1982,7,28,n01b,fl,b,6,hesperotet speciosus,,,,,,1,1,
CGR02,3,1982,7,28,n01b,fl,b,9,phoetaliot nebrascen,,6,,,,,6,
CGR02,3,1982,7,28,n01b,fl,b,10,melanoplus scudderi,,2,,,,,2,
CGR02,3,1982,7,28,n01b,fl,b,27,orphulella speciosa,,,1,,,,1,
CGR02,3,1982,7,29,n01b,tu,a,4,hypochlora alba,,2,2,,3,,7,
CGR02,3,1982,7,29,n01b,tu,a,7,hesperotet viridis,,,,,,1,1,
CGR02,3,1982,7,29,n01b,tu,a,9,phoetaliot nebrascen,,52,,,,,52,
CGR02,3,1982,7,29,n01b,tu,a,10,melanoplus scudderi,,17,4,,,,21,
CGR02,3,1982,7,29,n01b,tu,a,12,melanoplus femurrubr,,28,,,,,28,
CGR02,3,1982,7,29,n01b,tu,a,27,orphulella speciosa,,,3,,,1,4,
CGR02,3,1982,7,29,n01b,tu,a,31,pseudopoma brachypte,,,,,,1,1,
CGR02,3,1982,7,29,n01b,tu,b,4,hypochlora alba,,2,3,,,2,7,
CGR02,3,1982,7,29,n01b,tu,b,6,hesperotet speciosus,,,1,,,,1,
CGR02,3,1982,7,29,n01b,tu,b,7,hesperotet viridis,,,1,,,1,2,
CGR02,3,1982,7,29,n01b,tu,b,9,phoetaliot nebrascen,,11,,,,,11,
CGR02,3,1982,7,29,n01b,tu,b,10,melanoplus scudderi,,8,,,,,8,
CGR02,3,1982,7,29,n01b,tu,b,12,melanoplus femurrubr,,2,,,,,2,
CGR02,3,1982,7,29,n01b,tu,b,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,29,n01b,tu,b,27,orphulella speciosa,,,,,,1,1,
CGR02,3,1982,7,28,n04d,fl,a,4,hypochlora alba,,,3,2,1,1,7,
CGR02,3,1982,7,28,n04d,fl,a,9,phoetaliot nebrascen,,19,,,,,19,
CGR02,3,1982,7,28,n04d,fl,a,10,melanoplus scudderi,,9,1,,,,10,
CGR02,3,1982,7,28,n04d,fl,a,15,melanoplus keeleri,,2,1,,,,3,
CGR02,3,1982,7,28,n04d,fl,a,26,syrbula admirabil,,1,,,,,1,
CGR02,3,1982,7,28,n04d,fl,a,27,orphulella speciosa,,2,,,,1,3,
CGR02,3,1982,7,28,n04d,fl,b,4,hypochlora alba,,1,5,8,1,1,16,
CGR02,3,1982,7,28,n04d,fl,b,6,hesperotet speciosus,,,,,,1,1,
CGR02,3,1982,7,28,n04d,fl,b,9,phoetaliot nebrascen,,19,,,,,19,
CGR02,3,1982,7,28,n04d,fl,b,10,melanoplus scudderi,,5,1,,,,6,
CGR02,3,1982,7,28,n04d,fl,b,15,melanoplus keeleri,,3,2,,,,5,
CGR02,3,1982,7,28,n04d,fl,b,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1982,7,28,n04d,fl,b,31,pseudopoma brachypte,,,,,1,1,2,
CGR02,3,1982,7,30,n04d,tu,a,4,hypochlora alba,,,1,,,,1,
CGR02,3,1982,7,30,n04d,tu,a,7,hesperotet viridis,,,,,,2,2,
CGR02,3,1982,7,30,n04d,tu,a,9,phoetaliot nebrascen,,24,3,,,,27,
CGR02,3,1982,7,30,n04d,tu,a,10,melanoplus scudderi,,4,3,,,,7,
CGR02,3,1982,7,30,n04d,tu,a,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,30,n04d,tu,a,15,melanoplus keeleri,,,1,,,,1,
CGR02,3,1982,7,30,n04d,tu,a,27,orphulella speciosa,,,,2,,,2,
CGR02,3,1982,7,30,n04d,tu,a,47,arphia xanthopte,,,,,,1,1,
CGR02,3,1982,7,30,n04d,tu,b,4,hypochlora alba,,2,1,,1,2,6,
CGR02,3,1982,7,30,n04d,tu,b,9,phoetaliot nebrascen,1,2,,,,,3,
CGR02,3,1982,7,30,n04d,tu,b,10,melanoplus scudderi,,2,,,,,2,
CGR02,3,1982,7,30,n04d,tu,b,12,melanoplus femurrubr,,2,,,,,2,
CGR02,3,1982,7,28,n00b,fl,a,4,hypochlora alba,,1,7,1,,4,13,
CGR02,3,1982,7,28,n00b,fl,a,6,hesperotet speciosus,,,,,,1,1,
CGR02,3,1982,7,28,n00b,fl,a,7,hesperotet viridis,,,,,,1,1,
CGR02,3,1982,7,28,n00b,fl,a,9,phoetaliot nebrascen,,26,,,,,26,
CGR02,3,1982,7,28,n00b,fl,a,10,melanoplus scudderi,,12,7,,,,19,
CGR02,3,1982,7,28,n00b,fl,a,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,28,n00b,fl,a,15,melanoplus keeleri,,15,2,1,,,18,
CGR02,3,1982,7,28,n00b,fl,a,27,orphulella speciosa,,1,2,3,,,6,
CGR02,3,1982,7,28,n00b,fl,a,29,mermiria bivittata,,,,,,1,1,
CGR02,3,1982,7,28,n00b,fl,b,4,hypochlora alba,,,,,1,,1,
CGR02,3,1982,7,28,n00b,fl,b,9,phoetaliot nebrascen,,9,,,,,9,
CGR02,3,1982,7,28,n00b,fl,b,10,melanoplus scudderi,,5,1,,,,6,
CGR02,3,1982,7,28,n00b,fl,b,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,28,n00b,fl,b,15,melanoplus keeleri,,4,,,,,4,
CGR02,3,1982,7,28,n00b,fl,b,27,orphulella speciosa,,3,3,3,1,,10,
CGR02,3,1982,7,28,n00b,fl,b,31,pseudopoma brachypte,,,,,1,,1,
CGR02,3,1982,7,29,n00b,tu,a,4,hypochlora alba,,,,2,1,,3,
CGR02,3,1982,7,29,n00b,tu,a,9,phoetaliot nebrascen,,13,1,,,,14,
CGR02,3,1982,7,29,n00b,tu,a,10,melanoplus scudderi,,1,,,,,1,
CGR02,3,1982,7,29,n00b,tu,a,12,melanoplus femurrubr,,5,,,,,5,
CGR02,3,1982,7,29,n00b,tu,a,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,29,n00b,tu,a,8,hesperotet species,,1,,,,,1,
CGR02,3,1982,7,29,n00b,tu,a,27,orphulella speciosa,,3,2,3,,,8,
CGR02,3,1982,7,29,n00b,tu,a,32,boopedon auriventr,,,,1,,,1,
CGR02,3,1982,7,29,n00b,tu,b,2,schistocer lineata,,,,1,,,1,
CGR02,3,1982,7,29,n00b,tu,b,4,hypochlora alba,,1,6,1,3,1,12,
CGR02,3,1982,7,29,n00b,tu,b,9,phoetaliot nebrascen,1,18,,,,,19,
CGR02,3,1982,7,29,n00b,tu,b,10,melanoplus scudderi,,2,2,,,,4,
CGR02,3,1982,7,29,n00b,tu,b,12,melanoplus femurrubr,,1,,,,,1,
CGR02,3,1982,7,29,n00b,tu,b,17,melanoplus confusus,,,,,1,,1,
CGR02,3,1982,7,29,n00b,tu,b,8,hesperotet species,,2,,,,,2,
CGR02,3,1982,7,29,n00b,tu,b,27,orphulella speciosa,,1,3,1,,1,6,
CGR02,3,1982,7,29,n00b,tu,b,29,mermiria bivittata,,1,,,,,1,
CGR02,3,1982,7,29,n00b,tu,b,31,pseudopoma brachypte,,,,,,2,2,
CGR02,3,1982,7,7,001d,fl,a,9,phoetaliot nebrascen,1,4,,,,,5,
CGR02,3,1982,7,7,001d,fl,a,10,melanoplus scudderi,,1,,,,,1,
CGR02,3,1982,7,7,001d,fl,a,16,melanoplus bivittatu,,1,,2,,1,4,
CGR02,3,1982,7,7,001d,fl,a,17,melanoplus confusus,,,,,,2,2,
CGR02,3,1982,7,7,001d,fl,a,27,orphulella speciosa,,51,14,,,,65,
CGR02,3,1982,7,7,001d,fl,a,29,mermiria bivittata,,,1,,,,1,
CGR02,3,1982,7,8,001d,tu,a,9,phoetaliot nebrascen,,5,,,,,5,
CGR02,3,1982,7,8,001d,tu,a,27,orphulella speciosa,,112,20,,,,132,
CGR02,3,1982,7,8,001d,tu,b,9,phoetaliot nebrascen,,1,,,,,1,
CGR02,3,1982,7,8,001d,tu,b,15,melanoplus keeleri,,1,,,,,1,
CGR02,3,1982,7,8,001d,tu,b,27,orphulella speciosa,,14,1,,,,15,
CGR02,3,1982,7,8,001d,tu,b,16,melanoplus bivittatu,,,,,,1,1,
CGR02,3,1982,7,12,004b,fl,a,4,hypochlora alba,1,2,4,,,,7,
CGR02,3,1982,7,12,004b,fl,a,6,hesperotet speciosus,,,1,1,,1,3,
CGR02,3,1982,7,12,004b,fl,a,9,phoetaliot nebrascen,5,3,,,,,8,
CGR02,3,1982,7,12,004b,fl,a,10,melanoplus scudderi,2,6,,,,,8,
CGR02,3,1982,7,12,004b,fl,a,15,melanoplus keeleri,,13,,,,,13,
CGR02,3,1982,7,12,004b,fl,a,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1982,7,12,004b,fl,a,32,boopedon auriventr,,1,,,,,1,
CGR02,3,1982,7,12,004b,fl,b,4,hypochlora alba,,2,,,,,2,
CGR02,3,1982,7,12,004b,fl,b,6,hesperotet speciosus,,,1,,,,1,
CGR02,3,1982,7,12,004b,fl,b,9,phoetaliot nebrascen,,1,,,,,1,
CGR02,3,1982,7,12,004b,fl,b,10,melanoplus scudderi,3,2,,,,,5,
CGR02,3,1982,7,12,004b,fl,b,16,melanoplus bivittatu,,1,,,,,1,
CGR02,3,1982,7,12,004b,fl,b,31,pseudopoma brachypte,,,,,1,,1,
CGR02,3,1982,7,12,004b,tu,a,4,hypochlora alba,,1,1,,,,2,
CGR02,3,1982,7,12,004b,tu,a,6,hesperotet speciosus,,,1,,,,1,
CGR02,3,1982,7,12,004b,tu,a,10,melanoplus scudderi,1,,,,,,1,
CGR02,3,1982,7,12,004b,tu,a,16,melanoplus bivittatu,,,1,,,1,2,
CGR02,3,1982,7,12,004b,tu,a,29,mermiria bivittata,,1,,,,,1,
CGR02,3,1982,7,12,004b,tu,a,31,pseudopoma brachypte,,,,1,,1,2,
CGR02,3,1982,7,12,004b,tu,a,32,boopedon auriventr,,2,,,,,2,
CGR02,3,1982,7,12,004b,tu,b,4,hypochlora alba,,1,,,,,1,
CGR02,3,1982,7,12,004b,tu,b,6,hesperotet speciosus,,,1,,,,1,
CGR02,3,1982,7,7,000b,fl,a,6,hesperotet speciosus,,,1,1,,,2,
CGR02,3,1982,7,7,000b,fl,a,9,phoetaliot nebrascen,1,,,,,,1,
CGR02,3,1982,7,7,000b,fl,a,10,melanoplus scudderi,7,4,,,,,11,
CGR02,3,1982,7,7,000b,fl,a,15,melanoplus keeleri,3,2,,,,,5,
CGR02,3,1982,7,7,000b,fl,a,27,orphulella speciosa,,1,,,,,1,
CGR02,3,1982,7,7,000b,fl,a,29,mermiria bivittata,,1,,,,,1,
CGR02,3,1982,7,7,000b,fl,a,31,pseudopoma brachypte,,,,,1,1,2,
CGR02,3,1982,7,7,000b,fl,b,4,hypochlora alba,1,,1,,,,2,
CGR02,3,1982,7,7,000b,fl,b,10,melanoplus scudderi,2,2,,,,,4,
