"","AOU_code","Watershed_name","Species","numyears","numpresent","percyears","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","chiPval","chi_fearly","chi_flate","runsPval","numtransitions","trend","classification","Common_name","Order","Family","Genus","species","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"1","AMGO","N4D","AMGO",18,11,0.611111111111111,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0.555555555555556,0.666666666666667,0.961334689923048,12,0,"Random","American Goldfinch","Passeriformes","Fringillidae","Spinus","tristis",10229,"Fringillidae","Passeriformes","AVIBASE-C9ABA616",9,4,5,0,8,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,"Dunning",NA,"NO",NA,NA,"Forest",1,1,"Herbivore","Granivore","Insessorial",31.4,57.36,44.46,-96.32,7802444.22
"2","AMRO","N4D","AMRO",18,4,0.222222222222222,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.222222222222222,0.222222222222222,0.188336053460484,5,0,"Random","American Robin","Passeriformes","Turdidae","Turdus","migratorius",8976,"Turdidae","Passeriformes","AVIBASE-103427C5",14,8,6,0,5,23.4,12.5,5.6,6.8,32.7,127,36.9,90.3,29,95.7,78.5,"Dunning",NA,"NO",NA,NA,"Forest",3,3,"Omnivore","Invertivore","Generalist",15.92,70.58,50.87,-106.8,16455945.96
"3","ATSP","N4D","ATSP",18,10,0.555555555555556,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0.154728923485379,0.333333333333333,0.777777777777778,0.077454180172153,6,0,"Random","American Tree Sparrow","Passeriformes","Passerellidae","Spizelloides","arborea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BAOR","N4D","BAOR",18,1,0.0555555555555556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111111111,0,0.00233886749052363,1,0,"Random","Baltimore Oriole","Passeriformes","Icteridae","Icterus","galbula",10491,"Icteridae","Passeriformes","AVIBASE-5110842F",23,10,12,1,10,21.1,13.3,5,6.4,23.4,92.1,25.5,67.4,27.4,73.3,32.8,"Dunning",NA,"NO",NA,NA,"Forest",1,3,"Omnivore","Invertivore","Insessorial",30.82,58.5,43.69,-91.8,4604558.64
"5","BEVI","N4D","BEVI",18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Bell's Vireo","Passeriformes","Vireonidae","Vireo","bellii",6417,"Vireonidae","Passeriformes","AVIBASE-C3168495",13,3,10,0,4,13.5,7,3.7,3.7,19.2,55.7,10.8,44.9,19.4,44.1,8.5,"Dunning",NA,"NO",NA,NA,"Shrubland",2,3,"Carnivore","Invertivore","Insessorial",21.36,47.35,34.81,-99.81,2636566.53
"6","BHCO","N4D","BHCO",18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Brown-headed Cowbird","Passeriformes","Icteridae","Molothrus","ater",10527,"Icteridae","Passeriformes","AVIBASE-1E1AB415",5,2,3,0,4,17.6,11.1,5.8,8.9,24.7,105,33.9,68.8,33,69.8,40.3,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Terrestrial",17,67.45,43,-101.66,11727469.53
"7","BLGR","N4D","BLGR",18,2,0.111111111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.111111111111111,0.111111111111111,0.223657644522152,3,0,"Random","Blue Grosbeak","Passeriformes","Cardinalidae","Passerina","caerulea",10712,"Cardinalidae","Passeriformes","AVIBASE-A7A75EA1",22,7,14,1,7,17,12.3,7.4,10.9,20.3,86.1,19.9,67.2,22.9,64.4,27.4,"Dunning",NA,"NO",NA,NA,"Forest",2,3,"Carnivore","Invertivore","Generalist",9.17,46.7,32.93,-98.5,5300267.2
"8","BRTH","N4D","BRTH",18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Brown Thrasher","Passeriformes","Mimidae","Toxostoma","rufum",8839,"Mimidae","Passeriformes","AVIBASE-C8F9F2D0",5,2,3,0,4,30.1,19.3,5.4,6.3,34.2,102.5,14,86.7,13.9,121.8,68.8,"Dunning",NA,"NO",NA,NA,"Shrubland",1,2,"Omnivore","Omnivore","Generalist",25.78,54.12,41.75,-92.94,5678627.88
"9","COYE","N4D","COYE",18,15,0.833333333333333,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0.205903210732068,1,0.666666666666667,0.82172383111637,6,0,"Random","Common Yellowthroat","Passeriformes","Parulidae","Geothlypis","trichas",10595,"Parulidae","Passeriformes","AVIBASE-BA4C8A02",23,7,16,0,5,12.7,7.9,3,3.3,20.2,54.7,8.5,44.3,16.1,49.4,9.5,"Dunning",NA,"NO",NA,NA,"Wetland",1,3,"Carnivore","Invertivore","Insessorial",18.49,65.84,44.7,-101.34,12826786.25
"10","DICK","N4D","DICK",18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Dickcissel","Passeriformes","Cardinalidae","Spiza","americana",10710,"Cardinalidae","Passeriformes","AVIBASE-592E58CE",9,4,5,0,4,15.1,9.8,5.5,7.5,22.3,77.9,20.3,56.8,26.4,56.1,26.2,"Dunning",NA,"NO",NA,NA,"Grassland",3,3,"Omnivore","Omnivore","Terrestrial",28.75,51.42,39.97,-94.69,3462252.57
