"","Species","Watershed_name","Common_name","numyears","numpresent","percyears","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","chiPval","chi_fearly","chi_flate","runsPval","numtransitions","trend","classification","order","family","rarity_on_landscape","rarity source","diet: plant","diet: vertebrate","diet: invertebrate","diet","diet source","litters_per_year","litter_size","litter freq & size citation","biomass (g)","biomass source","Notes","Home Range?"
"1","Blarina_hylophaga","1D","Elliot's short-tailed shrew",22,14,0.636363636363636,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0.65761917660119,0.727272727272727,0.545454545454545,0.28769781774044,9,0,"Random","Eulipotyphla","Soricidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",30,30,40,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.5",6.5,"Schmidly, D. J. and Bradley, R. D. 2016. The Mammals of Texas, 7th Edition.",14.5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"2","Chaetodipus_hispidus","1D","Hispid pocket mouse",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Heteromyidae","Uncommon","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.34,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",32,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"3","Cryptotis_parva","1D","North American least shrew",22,2,0.0909090909090909,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.45831769413308,0.181818181818182,0,0.173136414144782,3,0,"Random","Soricomorpha","Soricidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",10,0,90,"Omnivore","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","2.5",4.55,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"4","Microtus_ochrogaster","1D","Prairie vole",22,10,0.454545454545455,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0.198958931092402,0.272727272727273,0.636363636363636,0.344325113902638,10,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Herbivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.07",3.87,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",38,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"5","Mus_musculus","1D","House mouse",22,1,0.0454545454545455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,"No_change-absent","Rodentia","Muridae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",5.54,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",16.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"6","Neotoma_floridana","1D","Eastern woodrat",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.5",3.11,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",244.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"7","Peromyscus_leucopus","1D","White-footed mouse",22,6,0.272727272727273,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.632142422148543,0.363636363636364,0.181818181818182,0.342430184086096,8,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",4.27,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.2,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"8","Peromyscus_maniculatus","1D","Deer mouse",22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.6",4.76,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.3,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"9","Reithrodontomys_megalotis","1D","Western harvest mouse",22,13,0.590909090909091,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0.636363636363636,0.545454545454545,0.857664480549411,13,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",4.18,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",9.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"10","Reithrodontomys_montanus","1D","Plains harvest mouse",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Cricetidae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","NA",3.94,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",10.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
