DATACODE,RECTYPE,RECYEAR,RECMONTH,RECDAY,WATERSHED,SOILTYPE,TRANSECT,PLOTNUM,LVGRASS,FORBS,CUYRDEAD,PRYRDEAD,WOODY,COMMENTS
PAB01,1,1984,9,20,001d,fl,a,1,21.85,10.81,17.52,,,
PAB01,1,1984,9,20,001d,fl,a,2,15.67,1.10,8.99,,,
PAB01,1,1984,9,20,001d,fl,a,3,28.65,8.83,11.31,,,
PAB01,1,1984,9,20,001d,fl,a,4,27.39,15.69,15.64,,,
PAB01,1,1984,9,20,001d,fl,a,5,20.89,0.17,15.78,,,
PAB01,1,1984,9,20,001d,fl,b,2,25.83,1.14,21.15,,,
PAB01,1,1984,9,20,001d,fl,b,3,19.69,0.27,17.70,,,
PAB01,1,1984,9,20,001d,fl,b,4,29.43,0.47,20.92,,,
PAB01,1,1984,9,20,001d,fl,b,5,21.70,6.38,32.45,,,
PAB01,1,1984,9,20,001d,fl,b,1,5.14,9.16,4.52,,,
PAB01,1,1984,9,20,001d,fl,c,2,23.95,0.03,17.64,,,
PAB01,1,1984,9,20,001d,fl,c,1,29.86,0.28,15.71,,,
PAB01,1,1984,9,20,001d,fl,c,3,17.96,0.00,20.45,,,
PAB01,1,1984,9,20,001d,fl,c,4,18.67,2.48,15.59,,,
PAB01,1,1984,9,20,001d,fl,c,5,17.92,2.00,7.15,,,
PAB01,1,1984,9,20,001d,fl,d,1,19.95,2.51,9.40,,,
PAB01,1,1984,9,20,001d,fl,d,3,19.39,6.94,14.65,,,
PAB01,1,1984,9,20,001d,fl,d,4,20.66,0.93,16.16,,,
PAB01,1,1984,9,20,001d,fl,d,5,14.17,2.83,13.44,,,
PAB01,1,1984,9,20,001d,fl,d,2,29.17,3.01,23.60,,,
PAB01,1,1984,9,20,001d,tu,a,5,17.75,0.30,20.44,,,
PAB01,1,1984,9,20,001d,tu,a,1,21.67,5.61,17.23,,,
PAB01,1,1984,9,20,001d,tu,a,4,27.55,2.08,22.33,,,
PAB01,1,1984,9,20,001d,tu,a,3,29.58,4.31,19.97,,,
PAB01,1,1984,9,20,001d,tu,a,2,19.13,9.72,28.40,,,
PAB01,1,1984,9,20,001d,tu,b,1,18.09,,22.32,,,
PAB01,1,1984,9,20,001d,tu,b,2,,2.39,27.92,,,
PAB01,1,1984,9,20,001d,tu,b,3,22.86,6.05,32.85,,,
PAB01,1,1984,9,20,001d,tu,b,4,24.29,3.50,19.43,,,
PAB01,1,1984,9,20,001d,tu,b,5,28.48,1.85,18.06,,,
PAB01,1,1984,9,20,001d,tu,c,1,26.75,1.07,31.03,,,
PAB01,1,1984,9,20,001d,tu,c,2,25.83,0.80,23.00,,,
PAB01,1,1984,9,20,001d,tu,c,3,16.49,2.73,15.32,,,
PAB01,1,1984,9,20,001d,tu,c,4,18.86,0.00,19.34,,,
PAB01,1,1984,9,20,001d,tu,c,5,25.00,0.00,18.05,,,
PAB01,1,1984,9,20,001d,tu,d,4,47.27,0.91,47.01,,,
PAB01,1,1984,9,20,001d,tu,d,5,25.27,2.89,33.76,,,
PAB01,1,1984,9,20,001d,tu,d,3,25.32,1.21,18.74,,,
PAB01,1,1984,9,20,001d,tu,d,2,21.78,0.69,19.38,,,
PAB01,1,1984,9,20,001d,tu,d,1,14.30,1.88,15.26,,,
PAB01,1,1984,9,28,004b,fl,a,5,16.69,22.47,15.04,27.92,,
PAB01,1,1984,9,28,004b,fl,a,4,8.35,14.06,6.02,19.15,,
PAB01,1,1984,9,28,004b,fl,a,3,12.46,13.54,12.15,16.72,,
PAB01,1,1984,9,28,004b,fl,a,2,7.46,7.75,13.13,9.67,,
PAB01,1,1984,9,28,004b,fl,a,1,8.53,8.02,6.71,26.57,,
PAB01,1,1984,9,28,004b,fl,b,1,5.21,15.95,10.55,26.97,,
PAB01,1,1984,9,28,004b,fl,b,2,11.00,2.73,17.65,27.67,,
PAB01,1,1984,9,28,004b,fl,b,3,10.34,9.10,9.81,26.99,,
PAB01,1,1984,9,28,004b,fl,b,4,13.65,6.57,19.64,22.11,,
PAB01,1,1984,9,28,004b,fl,b,5,14.66,12.99,12.10,19.85,,
PAB01,1,1984,9,28,004b,fl,c,5,21.10,,,18.41,,
PAB01,1,1984,9,28,004b,fl,c,4,15.95,5.62,19.00,9.72,,
PAB01,1,1984,9,28,004b,fl,c,3,22.92,8.11,24.95,21.17,,
PAB01,1,1984,9,28,004b,fl,c,2,24.33,7.98,19.83,25.43,,
PAB01,1,1984,9,28,004b,fl,c,1,12.14,1.32,15.37,,,
PAB01,1,1984,9,28,004b,fl,d,1,14.57,1.09,18.79,21.38,,
PAB01,1,1984,9,28,004b,fl,d,2,8.87,12.09,5.00,21.84,,
PAB01,1,1984,9,28,004b,fl,d,3,13.50,1.83,19.48,15.85,,
PAB01,1,1984,9,28,004b,fl,d,4,12.00,13.72,11.21,6.69,,
PAB01,1,1984,9,28,004b,fl,d,5,9.25,11.26,9.36,14.73,,
PAB01,1,1984,9,29,004b,tu,a,5,21.69,4.76,24.06,32.76,,
PAB01,1,1984,9,29,004b,tu,a,4,16.10,9.27,22.37,52.16,,
PAB01,1,1984,9,29,004b,tu,a,3,8.96,6.99,11.82,40.97,,
PAB01,1,1984,9,29,004b,tu,a,2,17.49,2.91,11.71,27.36,,
PAB01,1,1984,9,29,004b,tu,a,1,36.26,,,44.88,,
PAB01,1,1984,9,29,004b,tu,b,1,14.61,10.18,14.86,14.25,,
PAB01,1,1984,9,29,004b,tu,b,2,11.66,2.19,17.04,8.59,,
PAB01,1,1984,9,29,004b,tu,b,3,14.28,8.14,17.93,17.69,,
PAB01,1,1984,9,29,004b,tu,b,4,15.47,0.79,10.65,48.61,,
PAB01,1,1984,9,29,004b,tu,b,5,10.87,3.03,14.96,24.34,,
PAB01,1,1984,9,29,004b,tu,c,5,8.02,2.08,20.87,36.02,,
PAB01,1,1984,9,29,004b,tu,c,4,20.67,4.73,19.35,43.97,,
PAB01,1,1984,9,29,004b,tu,c,3,14.56,1.75,9.81,30.32,,
PAB01,1,1984,9,29,004b,tu,c,2,17.50,4.09,26.76,17.08,,
PAB01,1,1984,9,29,004b,tu,c,1,21.68,17.48,21.54,18.00,,
PAB01,1,1984,9,29,004b,tu,d,5,15.73,11.81,18.68,46.86,,
PAB01,1,1984,9,29,004b,tu,d,4,9.42,13.62,12.58,55.40,,
PAB01,1,1984,9,29,004b,tu,d,3,24.48,6.72,25.24,22.95,,
PAB01,1,1984,9,29,004b,tu,d,2,,,,,,
PAB01,1,1984,9,29,004b,tu,d,1,14.30,2.81,15.96,23.34,,
PAB01,1,1984,9,27,020b,fl,a,2,17.12,2.05,19.68,96.17,,
PAB01,1,1984,9,27,020b,fl,a,3,8.12,14.01,22.21,76.95,,
PAB01,1,1984,9,27,020b,fl,a,4,9.24,9.53,10.78,91.22,,
PAB01,1,1984,9,27,020b,fl,a,5,6.28,17.13,9.77,64.95,,
PAB01,1,1984,9,27,020b,fl,a,1,13.52,3.75,13.17,111.55,,
PAB01,1,1984,9,27,020b,fl,b,3,8.75,0.00,13.04,99.60,,
PAB01,1,1984,9,27,020b,fl,b,5,7.37,5.30,12.52,61.42,,
PAB01,1,1984,9,27,020b,fl,b,1,,4.90,20.61,52.86,,
PAB01,1,1984,9,27,020b,fl,b,2,13.55,0.63,11.45,63.18,,
PAB01,1,1984,9,27,020b,fl,b,4,8.07,0.00,17.42,86.82,,
PAB01,1,1984,9,27,020b,fl,c,4,4.83,24.68,5.20,55.04,,
PAB01,1,1984,9,27,020b,fl,c,1,9.12,0.00,13.49,38.80,,
PAB01,1,1984,9,27,020b,fl,c,2,8.32,0.25,10.56,32.77,,
PAB01,1,1984,9,27,020b,fl,c,3,10.78,4.81,11.16,48.02,,
PAB01,1,1984,9,27,020b,fl,c,5,14.67,1.97,14.43,57.75,,
PAB01,1,1984,9,27,020b,fl,d,1,11.65,4.81,12.17,77.98,,
PAB01,1,1984,9,27,020b,fl,d,5,11.56,0.46,14.43,40.74,,
PAB01,1,1984,9,27,020b,fl,d,4,19.81,8.72,9.74,78.62,,
PAB01,1,1984,9,27,020b,fl,d,3,15.37,4.31,10.74,43.01,,
PAB01,1,1984,9,27,020b,fl,d,2,4.08,17.50,3.74,54.84,,
PAB01,1,1984,9,28,020b,tu,a,3,16.55,6.12,21.58,53.29,,
PAB01,1,1984,9,28,020b,tu,a,1,8.91,10.93,30.14,50.81,,
PAB01,1,1984,9,28,020b,tu,a,2,14.36,7.84,24.98,63.74,,
PAB01,1,1984,9,28,020b,tu,a,4,6.85,15.27,26.79,48.85,,
PAB01,1,1984,9,28,020b,tu,a,5,6.34,4.51,18.18,112.97,,
PAB01,1,1984,9,28,020b,tu,b,5,,,,51.97,,
PAB01,1,1984,9,28,020b,tu,b,1,6.11,0.83,12.80,99.96,,
PAB01,1,1984,9,28,020b,tu,b,2,12.38,4.86,13.00,99.92,,
PAB01,1,1984,9,28,020b,tu,b,3,9.28,5.02,8.79,100.58,,
PAB01,1,1984,9,28,020b,tu,b,4,4.84,43.26,6.09,80.68,,
PAB01,1,1984,9,28,020b,tu,c,1,12.42,4.31,16.31,110.62,,
PAB01,1,1984,9,28,020b,tu,c,2,21.19,0.44,31.89,49.98,,
PAB01,1,1984,9,28,020b,tu,c,3,16.29,0.00,16.16,84.40,,
PAB01,1,1984,9,28,020b,tu,c,4,6.30,3.56,30.19,50.52,,
